quarter,weekly_trend_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
2026Q1,OPPOSING,227,219,114,105,8,0,52.054794520547944,119,52.42290748898679,1.9976424703540292,1.6067866410445362,1.4543339150668992,1.226367666549863,59,57,BULL
2026Q2,ALIGNED,218,214,111,103,4,0,51.86915887850467,98,44.95412844036697,1.4605861634981379,1.8747711726549732,1.0849072572830532,1.3861933469120187,67,56,BEAR
2026Q2,MIXED,280,274,135,139,4,2,49.27007299270073,143,51.07142857142857,1.518736940044315,1.5740549191935869,1.2039600344547035,1.1354269586984396,93,61,BEAR
2026Q2,OPPOSING,304,293,145,148,5,6,49.48805460750853,148,48.68421052631579,1.8350122449239674,1.6467980221843819,1.2453400196333568,1.1563343191875948,68,62,BEAR
2026Q2,ALIGNED,288,283,147,136,2,3,51.9434628975265,146,50.69444444444444,2.348200271284073,1.6377148251863085,1.3452944793261943,1.0589014191936867,67,61,BULL
2026Q2,MIXED,328,323,166,157,5,0,51.39318885448916,146,44.51219512195122,1.5699962688601659,1.38520618949175,1.2057020440606911,1.0070732453865319,100,61,BULL
2026Q2,OPPOSING,209,206,95,111,2,1,46.116504854368934,97,46.411483253588514,1.790470689465903,1.404118120079695,1.2568923593273795,1.0628659046556985,67,55,BULL
2026Q3,ALIGNED,106,105,40,65,1,0,38.095238095238095,50,47.16981132075472,1.1533894055283997,1.4688470394378226,0.8510743858698022,1.0612376863074249,41,37,BEAR
2026Q3,MIXED,251,248,109,139,2,1,43.95161290322581,116,46.21513944223108,1.8214285573040312,1.7162236381855238,1.2118842845973505,1.1382799325463726,88,41,BEAR
2026Q3,OPPOSING,201,194,115,79,1,6,59.27835051546392,110,54.72636815920398,1.6572067532278778,1.3206110646790246,1.0780885780885776,1.0397992111868022,67,41,BEAR
2026Q3,ALIGNED,211,204,87,117,5,2,42.64705882352941,97,45.97156398104266,1.4460380752731528,1.5298688908926141,1.1101939744118852,1.0811310293845886,70,40,BULL
2026Q3,MIXED,225,215,97,118,8,2,45.116279069767444,106,47.111111111111114,1.6603811965378612,1.7990174495167035,1.2260457449000595,1.3359667592092404,82,41,BULL
2026Q3,OPPOSING,101,97,52,45,4,0,53.608247422680414,45,44.554455445544555,1.7445172968523848,1.571556546738281,1.2966393225721142,1.0611303344867378,39,32,BULL
