research_period,relative_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,relative_feature,context_feature
DISCOVERY,MIXED,ALIGNED,148,135,69,66,0,13,51.111111111111114,43.91891891891892,1.0239895490035142,0.9264543057281392,0.6777313624742354,0.6659951074775796,62,84,relative_consensus_5d,trend_5d_binary_state
DISCOVERY,MIXED,OPPOSING,190,174,91,83,0,16,52.298850574712645,49.473684210526315,1.0030022692035365,0.9914530349985086,0.6965563699856121,0.7257027937517624,74,91,relative_consensus_5d,trend_5d_binary_state
DISCOVERY,UNKNOWN,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,0.9549312853678329,0.7626422621142857,83,6,relative_consensus_5d,trend_5d_binary_state
VALIDATION,BOTH_RELATIVE_ALIGNED,ALIGNED,1618,1580,780,800,33,5,49.36708860759494,46.78615574783684,1.809012237660661,1.6251389484749243,1.2552283899540249,1.1736034845124945,110,159,relative_consensus_5d,trend_5d_binary_state
VALIDATION,BOTH_RELATIVE_ALIGNED,OPPOSING,211,210,111,99,1,0,52.857142857142854,53.08056872037915,1.4863186205071872,1.2952362136918754,1.1536890824938697,0.9166945466711306,92,91,relative_consensus_5d,trend_5d_binary_state
VALIDATION,BOTH_RELATIVE_OPPOSING,ALIGNED,227,224,85,139,1,2,37.94642857142857,36.563876651982376,1.146739209943934,1.4413455951868563,0.8288488897136164,1.1372053505293946,87,83,relative_consensus_5d,trend_5d_binary_state
VALIDATION,BOTH_RELATIVE_OPPOSING,OPPOSING,1670,1638,833,805,30,2,50.85470085470085,48.26347305389221,1.7389712585415387,1.585255683156203,1.240141240428672,1.144117009530878,110,159,relative_consensus_5d,trend_5d_binary_state
VALIDATION,MIXED,ALIGNED,220,211,101,110,1,8,47.867298578199055,45.45454545454545,1.101532332875781,1.2495165281322698,0.7875572446090229,0.8431631342699024,79,109,relative_consensus_5d,trend_5d_binary_state
VALIDATION,MIXED,OPPOSING,188,177,88,89,1,10,49.717514124293785,53.723404255319146,1.3629380625028202,1.3871898858704397,0.8307791929664848,0.9036193420712593,73,93,relative_consensus_5d,trend_5d_binary_state
DISCOVERY,MIXED,ALIGNED,515,500,233,267,0,15,46.6,41.74757281553398,1.2818762128785604,1.2783064685754355,0.8718297101449393,0.9161562612589433,110,116,relative_multi_horizon_state,market_daily_regime_state
DISCOVERY,MIXED,MIXED,146,143,70,73,1,2,48.95104895104895,32.87671232876713,1.3648081702647485,1.551022457343046,0.9318469940231269,1.1526996012147492,83,17,relative_multi_horizon_state,market_daily_regime_state
DISCOVERY,MIXED,OPPOSING,513,502,258,244,4,7,51.39442231075697,46.978557504873294,1.2261558346307155,1.223952910872506,0.9347826086956464,0.9209888511875972,106,116,relative_multi_horizon_state,market_daily_regime_state
DISCOVERY,MIXED,UNKNOWN,213,209,113,96,0,4,54.066985645933016,54.460093896713616,1.1719895876953947,1.2302962457808821,0.8874397504961711,0.9482129832239253,91,14,relative_multi_horizon_state,market_daily_regime_state
DISCOVERY,RELATIVE_ALIGNED,ALIGNED,511,507,243,264,0,4,47.928994082840234,44.81409001956947,1.3949370324408854,1.35850619231811,0.934279439094453,0.9903995750009325,102,118,relative_multi_horizon_state,market_daily_regime_state
DISCOVERY,RELATIVE_ALIGNED,MIXED,149,147,75,72,2,0,51.02040816326531,46.97986577181208,1.4712329938446462,1.257340650966,0.9348639102430791,0.7868056752968079,77,17,relative_multi_horizon_state,market_daily_regime_state
DISCOVERY,RELATIVE_ALIGNED,OPPOSING,595,576,282,294,2,17,48.958333333333336,45.88235294117647,1.176150806650993,1.201975877636627,0.8603877480784674,0.8466888418506233,112,120,relative_multi_horizon_state,market_daily_regime_state
DISCOVERY,RELATIVE_ALIGNED,UNKNOWN,84,82,42,40,0,2,51.21951219512195,48.80952380952381,1.3133588990093181,1.1842956277351977,0.875530643245394,0.8785454563600428,53,14,relative_multi_horizon_state,market_daily_regime_state
DISCOVERY,RELATIVE_OPPOSING,ALIGNED,562,543,304,239,0,19,55.98526703499079,45.90747330960854,1.1835826102989644,1.0145772161094788,0.8860977659515832,0.7188878329309727,106,117,relative_multi_horizon_state,market_daily_regime_state
DISCOVERY,RELATIVE_OPPOSING,MIXED,154,153,82,71,1,0,53.59477124183007,49.35064935064935,1.5644381054873002,1.2703607197718478,1.289658317325771,1.069266238909535,85,17,relative_multi_horizon_state,market_daily_regime_state
DISCOVERY,RELATIVE_OPPOSING,OPPOSING,511,499,262,237,4,8,52.50501002004008,48.336594911937375,1.450938864274995,1.3516558482295824,0.9499208399300062,0.8651999467569393,104,117,relative_multi_horizon_state,market_daily_regime_state
DISCOVERY,RELATIVE_OPPOSING,UNKNOWN,77,76,25,51,0,1,32.89473684210526,38.96103896103896,1.002575011049699,1.4408739927773822,0.7308584686774965,1.0433486523413105,61,13,relative_multi_horizon_state,market_daily_regime_state
