research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,RELATIVE_ALIGNED,1071,1046,502,544,4,21,47.992351816443595,42.857142857142854,1.2719914329921587,1.2635333444798382,0.8853288364249572,0.9286670181272525,111,152,BEAR,directional_stock_vs_qqq_5d_pct
DISCOVERY,RELATIVE_OPPOSING,939,919,462,457,7,13,50.272034820457016,46.538871139510114,1.3798188735690358,1.3105761931337492,0.971912617030757,0.9212742585133598,111,151,BEAR,directional_stock_vs_qqq_5d_pct
DISCOVERY,UNKNOWN,85,85,51,34,0,0,60.0,62.35294117647059,1.1100691652303463,1.1081486965637677,0.8330600196785714,0.9782391694948989,64,6,BEAR,directional_stock_vs_qqq_5d_pct
DISCOVERY,FLAT,18,15,7,8,0,3,46.666666666666664,38.888888888888886,0.4820487800722975,0.7025954396308609,0.428412416741955,0.4478346803917713,1,18,BULL,directional_stock_vs_qqq_5d_pct
DISCOVERY,RELATIVE_ALIGNED,971,958,486,472,1,12,50.73068893528184,46.34397528321318,1.3256593904220677,1.2981790291673057,0.8901734104046197,0.9282841823056239,110,150,BULL,directional_stock_vs_qqq_5d_pct
DISCOVERY,RELATIVE_OPPOSING,1005,977,520,457,2,26,53.22415557830092,47.2636815920398,1.2267877004103314,1.1622625705500256,0.9176316364430731,0.7982583454281732,111,151,BULL,directional_stock_vs_qqq_5d_pct
DISCOVERY,UNKNOWN,58,56,40,16,0,2,71.42857142857143,58.62068965517241,1.4071615972588365,0.9347596301101113,1.2087938245852592,0.45958900428979943,37,6,BULL,directional_stock_vs_qqq_5d_pct
VALIDATION,FLAT,30,29,15,14,0,1,51.724137931034484,46.666666666666664,0.7269039416212856,0.7518789789886149,0.5368924055725588,0.691867475119866,1,30,BEAR,directional_stock_vs_qqq_5d_pct
VALIDATION,RELATIVE_ALIGNED,1005,986,502,484,10,9,50.912778904665316,47.76119402985075,1.6647242352836376,1.5567912360400387,1.1678045274883193,1.1469356999330218,111,156,BEAR,directional_stock_vs_qqq_5d_pct
VALIDATION,RELATIVE_OPPOSING,981,962,477,485,14,5,49.58419958419958,48.11416921508665,1.6324153719426608,1.5751140949998939,1.1963737243634303,1.1144971702220297,110,157,BEAR,directional_stock_vs_qqq_5d_pct
VALIDATION,FLAT,32,30,13,17,0,2,43.333333333333336,62.5,0.7340613617435379,0.6151953384424917,0.6336130119155874,0.6112955151007395,1,32,BULL,directional_stock_vs_qqq_5d_pct
VALIDATION,RELATIVE_ALIGNED,983,954,462,492,25,4,48.42767295597484,47.30417090539166,1.8269204931690095,1.6018287593989682,1.2402072376167634,1.1290438275589993,111,158,BULL,directional_stock_vs_qqq_5d_pct
VALIDATION,RELATIVE_OPPOSING,1103,1079,529,550,18,6,49.02687673772011,46.056210335448775,1.6209873417238767,1.5289347464445082,1.1318879855465176,1.1341977745872165,111,158,BULL,directional_stock_vs_qqq_5d_pct
DISCOVERY,RELATIVE_ALIGNED,2051,2009,991,1018,5,37,49.32802389248382,44.61238420282789,1.2884273245874516,1.2733889140155987,0.8858665686454718,0.9131427329057544,112,152,ALL,directional_stock_vs_market_avg_5d_pct
DISCOVERY,RELATIVE_OPPOSING,1979,1928,998,930,9,42,51.76348547717842,46.94290045477514,1.2947947816925744,1.2262080214507172,0.9374061521300733,0.8619442343153806,112,152,ALL,directional_stock_vs_market_avg_5d_pct
DISCOVERY,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,0.9549312853678329,0.7626422621142857,83,6,ALL,directional_stock_vs_market_avg_5d_pct
VALIDATION,RELATIVE_ALIGNED,2009,1959,973,986,35,15,49.668198060234815,47.386759581881535,1.7209159235622282,1.5657756507859073,1.1995386389849965,1.1230322567169502,112,159,ALL,directional_stock_vs_market_avg_5d_pct
VALIDATION,RELATIVE_OPPOSING,2125,2081,1025,1056,32,12,49.255165785679964,47.38823529411765,1.621758216673079,1.5375878367075497,1.1451162156635586,1.1198847834723853,112,159,ALL,directional_stock_vs_market_avg_5d_pct
DISCOVERY,RELATIVE_ALIGNED,1055,1029,492,537,4,22,47.8134110787172,43.127962085308056,1.2659210227491937,1.2639728997961377,0.8868432869330913,0.912358937022204,112,152,BEAR,directional_stock_vs_market_avg_5d_pct
