research_period,volume_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,volume_feature,context_feature
VALIDATION,BOTH_BELOW_BASELINE,CONSENSUS_ALIGNED,570,556,240,316,8,6,43.16546762589928,42.280701754385966,1.5236959602303557,1.5388422907465167,1.0002719747254658,1.1329714355846308,111,131,opening_participation_state,market_prior_5d_consensus
VALIDATION,BOTH_BELOW_BASELINE,CONSENSUS_OPPOSING,560,544,285,259,7,9,52.38970588235294,51.25,1.5422334607387342,1.5071661553308962,1.1766975892587372,1.0776607487654828,110,135,opening_participation_state,market_prior_5d_consensus
VALIDATION,BOTH_BELOW_BASELINE,MIXED,105,105,43,62,0,0,40.95238095238095,53.333333333333336,1.3673221134508386,1.540371911378837,0.8409837617122575,1.1491875923190507,70,13,opening_participation_state,market_prior_5d_consensus
VALIDATION,MIXED,CONSENSUS_ALIGNED,678,663,321,342,12,3,48.41628959276018,46.017699115044245,1.5029699405081987,1.4470916685168063,1.0846707579477504,1.0646077400043366,112,143,opening_participation_state,market_prior_5d_consensus
VALIDATION,MIXED,CONSENSUS_OPPOSING,609,599,330,269,7,3,55.09181969949916,47.61904761904762,1.7993359958624828,1.4134787590888487,1.3315411433611912,1.0005904205917544,111,139,opening_participation_state,market_prior_5d_consensus
VALIDATION,MIXED,MIXED,100,99,50,49,1,0,50.505050505050505,52.0,1.3765730699266583,1.6647151471158623,1.1143492497447927,1.2550616567199016,65,13,opening_participation_state,market_prior_5d_consensus
DISCOVERY,BOTH_ABOVE_BASELINE,OTHER,1126,1110,551,559,5,11,49.63963963963964,43.250444049733574,1.4455835072737386,1.3739774290082507,1.0179120832135378,1.0400647722763205,112,146,opening_participation_state,positive_candidate_state
DISCOVERY,BOTH_ABOVE_BASELINE,POSITIVE_CANDIDATE,347,339,165,174,7,1,48.67256637168141,46.39769452449568,1.4092746328007781,1.549256179497064,0.9830056647784129,1.1416434355502336,99,116,opening_participation_state,positive_candidate_state
DISCOVERY,BOTH_BELOW_BASELINE,OTHER,926,890,451,439,0,36,50.674157303370784,45.14038876889849,1.1088165583509682,1.1172304000694095,0.7800794417346117,0.7539976223466096,112,142,opening_participation_state,positive_candidate_state
DISCOVERY,BOTH_BELOW_BASELINE,POSITIVE_CANDIDATE,248,243,123,120,0,5,50.617283950617285,48.79032258064516,1.3156018726529783,1.3349755994092019,0.9090190384656114,0.8311221297448341,87,109,opening_participation_state,positive_candidate_state
DISCOVERY,MIXED,OTHER,1041,1021,519,502,1,19,50.83251714005877,45.43707973102786,1.2412715469670081,1.1352912414442666,0.8930697785186948,0.7961914142657714,112,148,opening_participation_state,positive_candidate_state
DISCOVERY,MIXED,POSITIVE_CANDIDATE,232,229,124,105,1,2,54.148471615720524,49.13793103448276,1.409691838545569,1.1451911532233372,1.0132617872696188,0.8367200279182248,91,105,opening_participation_state,positive_candidate_state
DISCOVERY,UNKNOWN,OTHER,235,228,137,91,0,7,60.08771929824562,62.12765957446808,1.1499177874265323,1.1250709455499674,0.843756792538578,0.8835154615205827,97,16,opening_participation_state,positive_candidate_state
DISCOVERY,UNKNOWN,POSITIVE_CANDIDATE,18,18,10,8,0,0,55.55555555555556,61.111111111111114,1.2062764544756954,1.3645030160668865,0.8766202107869856,0.9986365082779869,16,4,opening_participation_state,positive_candidate_state
VALIDATION,BOTH_ABOVE_BASELINE,OTHER,1254,1227,603,624,22,5,49.1442542787286,46.96969696969697,1.7597342252725507,1.6237959287106867,1.2219607155294692,1.1600195486810956,112,158,opening_participation_state,positive_candidate_state
VALIDATION,BOTH_ABOVE_BASELINE,POSITIVE_CANDIDATE,258,247,126,121,10,1,51.012145748987855,51.16279069767442,2.204096034807066,1.8816934386532778,1.7606819411568846,1.3597244872352587,88,111,opening_participation_state,positive_candidate_state
VALIDATION,BOTH_BELOW_BASELINE,OTHER,997,971,432,539,12,14,44.490216271884655,45.53660982948846,1.442227957646226,1.4916905695828162,1.0097919216646216,1.0774465327284497,112,153,opening_participation_state,positive_candidate_state
VALIDATION,BOTH_BELOW_BASELINE,POSITIVE_CANDIDATE,238,234,136,98,3,1,58.11965811965812,54.621848739495796,1.8396007709413638,1.6625071660988509,1.344237749737144,1.2277565132862707,90,102,opening_participation_state,positive_candidate_state
VALIDATION,MIXED,OTHER,1166,1145,576,569,15,6,50.30567685589519,47.16981132075472,1.5224556509394955,1.4524757521836966,1.1201496984362846,1.0575940176910716,112,158,opening_participation_state,positive_candidate_state
VALIDATION,MIXED,POSITIVE_CANDIDATE,221,216,125,91,5,0,57.870370370370374,47.05882352941177,2.159652756298754,1.4245316887099522,1.6879440200843951,1.0575371930453548,89,103,opening_participation_state,positive_candidate_state
DISCOVERY,BOTH_ABOVE_BASELINE,NEGATIVE_CANDIDATE,58,58,26,32,0,0,44.827586206896555,43.10344827586207,1.47088135477035,1.2558974091129875,0.9999408325934237,0.9981502239846203,44,41,opening_participation_state,negative_candidate_state
DISCOVERY,BOTH_ABOVE_BASELINE,OTHER,1415,1391,690,701,12,12,49.60460100647016,44.02826855123675,1.435642549961427,1.4218010103323098,0.9996297667530528,1.0537561307240264,112,147,opening_participation_state,negative_candidate_state
DISCOVERY,BOTH_BELOW_BASELINE,NEGATIVE_CANDIDATE,88,82,52,30,0,6,63.41463414634146,43.18181818181818,1.1150759051896568,0.9667200912522301,0.9425535499155007,0.4842950263519855,57,51,opening_participation_state,negative_candidate_state
DISCOVERY,BOTH_BELOW_BASELINE,OTHER,1086,1051,522,529,0,35,49.66698382492864,46.13259668508287,1.1555310476926752,1.179150949436058,0.8070874881515446,0.7845100258159214,112,143,opening_participation_state,negative_candidate_state
DISCOVERY,MIXED,NEGATIVE_CANDIDATE,74,73,43,30,0,1,58.9041095890411,45.945945945945944,1.3608466540119049,0.9720737354959768,1.0355087830146537,0.6394318264531167,50,51,opening_participation_state,negative_candidate_state
DISCOVERY,MIXED,OTHER,1199,1177,600,577,2,20,50.97706032285472,46.121768140116764,1.2664800121253932,1.147280294799494,0.9110593618499054,0.8177952240758913,112,148,opening_participation_state,negative_candidate_state
DISCOVERY,UNKNOWN,NEGATIVE_CANDIDATE,9,9,2,7,0,0,22.22222222222222,44.44444444444444,0.35954711507564774,2.0530648011310224,0.16934573410031598,1.1843986113947338,9,5,opening_participation_state,negative_candidate_state
DISCOVERY,UNKNOWN,OTHER,244,237,145,92,0,7,61.18143459915612,62.704918032786885,1.1832284106152329,1.10850468558716,0.920791775311054,0.8394791908891179,98,15,opening_participation_state,negative_candidate_state
VALIDATION,BOTH_ABOVE_BASELINE,NEGATIVE_CANDIDATE,70,69,28,41,0,1,40.57971014492754,35.714285714285715,1.2484170579410259,1.629924932013069,0.7542368344014934,1.1147302140077961,50,45,opening_participation_state,negative_candidate_state
VALIDATION,BOTH_ABOVE_BASELINE,OTHER,1442,1405,701,704,32,5,49.8932384341637,48.26629680998613,1.8640598484161792,1.669640954601132,1.3269830456675336,1.2049144125434732,112,159,opening_participation_state,negative_candidate_state
VALIDATION,BOTH_BELOW_BASELINE,NEGATIVE_CANDIDATE,73,72,30,42,0,1,41.666666666666664,32.87671232876713,1.0818744917354235,1.4657240345935971,0.6949025487256422,1.1948805119488124,55,44,opening_participation_state,negative_candidate_state
VALIDATION,BOTH_BELOW_BASELINE,OTHER,1162,1133,538,595,15,14,47.484554280670785,48.19277108433735,1.5462559546993513,1.5283083897420497,1.0862997143484887,1.1035986359217527,112,155,opening_participation_state,negative_candidate_state
VALIDATION,MIXED,NEGATIVE_CANDIDATE,84,83,27,56,1,0,32.53012048192771,40.476190476190474,1.118378198865658,1.2630101231091553,0.8985197545236601,1.1357015625583056,53,56,opening_participation_state,negative_candidate_state
VALIDATION,MIXED,OTHER,1303,1278,674,604,19,6,52.73865414710485,47.58250191864927,1.6565792628033469,1.4599504066845133,1.1774659803990604,1.0408790950664726,112,159,opening_participation_state,negative_candidate_state
DISCOVERY,BOTH_ABOVE_BASELINE,MULTIPLE,383,379,178,201,1,3,46.96569920844327,41.775456919060055,1.6580158117534574,1.5133055794281374,1.1492348086553916,1.1356008821796912,97,130,opening_participation_state,aligned_exhaustion_state
DISCOVERY,BOTH_ABOVE_BASELINE,NONE,872,855,437,418,8,9,51.111111111111114,45.29816513761468,1.3410564314362194,1.3296972054053866,0.9607655686050736,0.9945070723044352,111,143,opening_participation_state,aligned_exhaustion_state
DISCOVERY,BOTH_ABOVE_BASELINE,ONE,218,215,101,114,3,0,46.97674418604651,42.6605504587156,1.432679186505238,1.5853141252949448,0.9225658002045449,1.3156447760168848,98,117,opening_participation_state,aligned_exhaustion_state
DISCOVERY,BOTH_BELOW_BASELINE,MULTIPLE,240,234,114,120,0,6,48.717948717948715,50.0,1.3364188004634225,1.4791754053745545,0.9645406900177365,1.0763787122642965,87,105,opening_participation_state,aligned_exhaustion_state
DISCOVERY,BOTH_BELOW_BASELINE,NONE,702,670,352,318,0,32,52.53731343283582,44.87179487179487,1.0726708416773962,1.0035517790999209,0.7858369553686657,0.6477536663075651,112,140,opening_participation_state,aligned_exhaustion_state
DISCOVERY,BOTH_BELOW_BASELINE,ONE,232,229,108,121,0,3,47.161572052401745,44.827586206896555,1.2037842865611277,1.3195424693953348,0.7579273968134724,0.9075730169122636,94,98,opening_participation_state,aligned_exhaustion_state
DISCOVERY,MIXED,MULTIPLE,265,263,119,144,0,2,45.247148288973385,38.490566037735846,1.542913315728153,1.3781544508898598,1.077255789869118,0.9818204852093566,95,121,opening_participation_state,aligned_exhaustion_state
DISCOVERY,MIXED,NONE,797,777,420,357,2,18,54.054054054054056,49.184441656210794,1.174957227223863,1.021132068503854,0.855783131258773,0.7704918032786867,112,147,opening_participation_state,aligned_exhaustion_state
DISCOVERY,MIXED,ONE,211,210,104,106,0,1,49.523809523809526,44.07582938388626,1.2981007022267683,1.2723665488526594,1.0195035460992927,0.8589369529366939,91,114,opening_participation_state,aligned_exhaustion_state
DISCOVERY,UNKNOWN,MULTIPLE,13,13,10,3,0,0,76.92307692307692,92.3076923076923,2.0384592312358296,1.1211317945164827,1.840246319365792,1.1187441280925354,11,5,opening_participation_state,aligned_exhaustion_state
DISCOVERY,UNKNOWN,NONE,223,216,127,89,0,7,58.7962962962963,61.88340807174888,1.1265359019538952,1.0683631284086434,0.8306414397784943,0.8365997776867763,98,14,opening_participation_state,aligned_exhaustion_state
DISCOVERY,UNKNOWN,ONE,17,17,10,7,0,0,58.8235294117647,41.1764705882353,0.8368341225890104,2.125472678212028,0.8353599156037219,1.5712074303405474,16,7,opening_participation_state,aligned_exhaustion_state
VALIDATION,BOTH_ABOVE_BASELINE,MULTIPLE,505,490,237,253,15,0,48.36734693877551,46.13861386138614,2.122793805815204,1.8455729283344153,1.567176361756541,1.408450704225355,107,144,opening_participation_state,aligned_exhaustion_state
VALIDATION,BOTH_ABOVE_BASELINE,NONE,772,752,378,374,14,6,50.265957446808514,48.83419689119171,1.6477217669497641,1.5638795981815368,1.1545337842748244,1.0810041700636024,112,153,opening_participation_state,aligned_exhaustion_state
VALIDATION,BOTH_ABOVE_BASELINE,ONE,235,232,114,118,3,0,49.13793103448276,47.234042553191486,1.8353677423408754,1.6271813751945556,1.3532860914269826,1.2698819907644916,98,111,opening_participation_state,aligned_exhaustion_state
VALIDATION,BOTH_BELOW_BASELINE,MULTIPLE,319,311,132,179,7,1,42.443729903536976,41.692789968652036,1.7970984408392343,1.8098487197184288,1.1695654050321433,1.3733468972533005,94,125,opening_participation_state,aligned_exhaustion_state
VALIDATION,BOTH_BELOW_BASELINE,NONE,645,628,300,328,4,13,47.77070063694268,49.30232558139535,1.3030003859631443,1.3536716066145231,0.9451683867951243,1.0268453285444668,107,148,opening_participation_state,aligned_exhaustion_state
VALIDATION,BOTH_BELOW_BASELINE,ONE,271,266,136,130,4,1,51.12781954887218,49.07749077490775,1.7048583235549377,1.5956910536865248,1.2331086477334303,1.1278195488721803,97,115,opening_participation_state,aligned_exhaustion_state
VALIDATION,MIXED,MULTIPLE,370,365,184,181,5,0,50.41095890410959,48.648648648648646,1.945722171660939,1.6340538452440012,1.349336860675645,1.1169594138201377,99,135,opening_participation_state,aligned_exhaustion_state
VALIDATION,MIXED,NONE,762,746,391,355,11,5,52.41286863270778,47.24409448818898,1.4337294402475957,1.343943330588828,1.0673108248878898,0.9726728289596663,111,156,opening_participation_state,aligned_exhaustion_state
VALIDATION,MIXED,ONE,255,250,126,124,4,1,50.4,44.705882352941174,1.7256765143304365,1.4891117239298917,1.2390973279800648,1.198594750981601,103,126,opening_participation_state,aligned_exhaustion_state
DISCOVERY,HIGH,CONSENSUS_ALIGNED,365,363,186,177,1,1,51.239669421487605,45.205479452054796,1.5169917843949312,1.4400259099658463,1.1192629654575106,1.0037445392136504,101,123,c2_rvol_20d_discovery_state,market_prior_5d_consensus
DISCOVERY,HIGH,CONSENSUS_OPPOSING,387,376,187,189,8,3,49.734042553191486,45.21963824289406,1.4905917266890947,1.5445193033215319,0.9888220120378242,1.1797026502908783,101,125,c2_rvol_20d_discovery_state,market_prior_5d_consensus
DISCOVERY,HIGH,MIXED,32,31,19,12,0,1,61.29032258064516,50.0,1.8664296536433282,1.3688264684490485,1.3318715030243329,0.8606538473849441,30,6,c2_rvol_20d_discovery_state,market_prior_5d_consensus
DISCOVERY,LOW,CONSENSUS_ALIGNED,399,388,196,192,0,11,50.51546391752577,43.35839598997494,1.139065094721514,1.142096181316873,0.7840342124019916,0.8022199798183527,109,125,c2_rvol_20d_discovery_state,market_prior_5d_consensus
DISCOVERY,LOW,CONSENSUS_OPPOSING,369,359,191,168,0,10,53.203342618384404,47.696476964769644,1.2046008805305584,1.1295632323109954,0.9217245339694379,0.7060108437024621,105,118,c2_rvol_20d_discovery_state,market_prior_5d_consensus
DISCOVERY,LOW,MIXED,16,16,5,11,0,0,31.25,43.75,1.4114453350001548,1.6296919748593472,0.758035810106594,1.2848925772149395,16,6,c2_rvol_20d_discovery_state,market_prior_5d_consensus
DISCOVERY,MODERATE,CONSENSUS_ALIGNED,1139,1111,554,557,1,27,49.86498649864986,43.1079894644425,1.2898488936192198,1.1523492395858304,0.9117307271989309,0.827250608272497,111,141,c2_rvol_20d_discovery_state,market_prior_5d_consensus
DISCOVERY,MODERATE,CONSENSUS_OPPOSING,1127,1103,560,543,4,20,50.77062556663645,47.02750665483585,1.2284360907787228,1.2321921266581575,0.8815542093168937,0.8882750599694721,111,142,c2_rvol_20d_discovery_state,market_prior_5d_consensus
DISCOVERY,MODERATE,MIXED,86,85,35,50,0,1,41.1764705882353,47.674418604651166,1.4366392499915257,1.5222656110063102,1.1395859808657063,1.160571375518598,64,6,c2_rvol_20d_discovery_state,market_prior_5d_consensus
DISCOVERY,UNKNOWN,CONSENSUS_ALIGNED,46,44,25,19,0,2,56.81818181818182,65.21739130434783,1.236110835980876,1.2684551927485164,0.9650363920561931,1.037725611642224,35,8,c2_rvol_20d_discovery_state,market_prior_5d_consensus
DISCOVERY,UNKNOWN,CONSENSUS_OPPOSING,64,61,31,30,0,3,50.81967213114754,62.5,0.9236141575794601,1.284298279261059,0.6349123008862757,0.9615146306149052,52,6,c2_rvol_20d_discovery_state,market_prior_5d_consensus
DISCOVERY,UNKNOWN,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.037823061218928,0.9549312853678329,0.7626422621142857,83,6,c2_rvol_20d_discovery_state,market_prior_5d_consensus
VALIDATION,HIGH,CONSENSUS_ALIGNED,419,402,194,208,17,0,48.25870646766169,45.82338902147971,1.6967855915331163,1.8267405244559214,1.1737089201877855,1.3693113169552955,104,134,c2_rvol_20d_discovery_state,market_prior_5d_consensus
VALIDATION,HIGH,CONSENSUS_OPPOSING,365,355,190,165,10,0,53.521126760563384,47.945205479452056,2.109425082503433,1.6025952537148582,1.6933333333333342,1.2010569300984866,101,127,c2_rvol_20d_discovery_state,market_prior_5d_consensus
VALIDATION,HIGH,MIXED,65,64,35,29,1,0,54.6875,49.23076923076923,1.7936790605724398,1.5311203620587615,1.2743936063834567,1.115241635687737,44,13,c2_rvol_20d_discovery_state,market_prior_5d_consensus
VALIDATION,LOW,CONSENSUS_ALIGNED,399,386,180,206,7,6,46.63212435233161,44.86215538847118,1.4838733889664149,1.439455683568669,0.993561460273871,1.0976478973628003,105,130,c2_rvol_20d_discovery_state,market_prior_5d_consensus
VALIDATION,LOW,CONSENSUS_OPPOSING,365,358,208,150,3,4,58.100558659217874,53.97260273972603,1.5723309398075487,1.3873127482480987,1.2260457449000595,1.020877631464423,107,128,c2_rvol_20d_discovery_state,market_prior_5d_consensus
VALIDATION,LOW,MIXED,67,67,30,37,0,0,44.776119402985074,50.74626865671642,1.4038766535290257,1.4284623647625108,0.8069665321623607,1.0522390047683712,52,12,c2_rvol_20d_discovery_state,market_prior_5d_consensus
VALIDATION,MODERATE,CONSENSUS_ALIGNED,1163,1145,514,631,12,6,44.890829694323145,44.45399828030954,1.5566828215213753,1.5364067000490593,1.0908281389136127,1.0925714285714223,112,146,c2_rvol_20d_discovery_state,market_prior_5d_consensus
VALIDATION,MODERATE,CONSENSUS_OPPOSING,1096,1070,549,521,15,11,51.308411214953274,48.26642335766423,1.790595476313798,1.530252033819669,1.2711448221943424,1.0565027083573941,111,146,c2_rvol_20d_discovery_state,market_prior_5d_consensus
VALIDATION,MODERATE,MIXED,195,193,98,95,2,0,50.77720207253886,53.333333333333336,1.4006824075917508,1.6550097129676948,1.044188861985469,1.2471938139186831,90,13,c2_rvol_20d_discovery_state,market_prior_5d_consensus
