research_period,candidate_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,candidate_feature,context_feature
DISCOVERY,ALL3_CLEARED_POSITIVE_REVERSAL,BEAR,82,78,45,33,4,0,57.69230769230769,50.0,1.5084676467339682,1.3579086829038907,1.2462003064000464,0.9416196467659601,54,51,all3_positive_reversal_candidate,direction
DISCOVERY,ALL3_CLEARED_POSITIVE_REVERSAL,BULL,53,51,30,21,2,0,58.8235294117647,45.283018867924525,1.3750452202621883,1.984359026355824,1.1029524716581078,1.3759543585871303,44,25,all3_positive_reversal_candidate,direction
DISCOVERY,OTHER,BEAR,2039,1994,982,1012,7,38,49.247743229689064,45.31633153506621,1.2980927232257722,1.2653153632511907,0.9142284631882025,0.9162065408652333,112,158,all3_positive_reversal_candidate,direction
DISCOVERY,OTHER,BULL,1999,1955,1023,932,1,43,52.327365728900254,47.12356178089045,1.269410585803216,1.195746607697405,0.8930601110642028,0.8350202429149826,112,158,all3_positive_reversal_candidate,direction
VALIDATION,ALL3_CLEARED_POSITIVE_REVERSAL,BEAR,65,63,39,24,2,0,61.904761904761905,55.38461538461539,2.2377787403990235,1.997157453138488,2.1754945119401348,1.4588019479810332,44,32,all3_positive_reversal_candidate,direction
VALIDATION,ALL3_CLEARED_POSITIVE_REVERSAL,BULL,47,46,31,15,1,0,67.3913043478261,57.4468085106383,2.2095786292914967,1.0883939788978159,1.696996272747194,0.9007287714605485,34,29,all3_positive_reversal_candidate,direction
VALIDATION,OTHER,BEAR,1951,1914,955,959,22,15,49.89550679205852,47.66786263454639,1.6149660873698144,1.5389560504002004,1.1536890824938697,1.11663530999352,112,159,all3_positive_reversal_candidate,direction
VALIDATION,OTHER,BULL,2071,2017,973,1044,42,12,48.239960337134356,46.644133268952196,1.6916714875449856,1.5594130514917628,1.168404789494007,1.1285084964970389,112,159,all3_positive_reversal_candidate,direction
DISCOVERY,ALL3_CLEARED_POSITIVE_REVERSAL,MODERATE_CLUSTER,89,86,52,34,3,0,60.46511627906977,49.438202247191015,1.578166778845859,1.5954848283989995,1.2393413861725833,1.0026987296223957,53,59,all3_positive_reversal_candidate,relevant_level_cluster_state
DISCOVERY,ALL3_CLEARED_POSITIVE_REVERSAL,TIGHT_CLUSTER,28,28,15,13,0,0,53.57142857142857,42.857142857142854,1.0860094836675371,0.8577935001946951,0.9392042834698149,0.7835116425424749,24,25,all3_positive_reversal_candidate,relevant_level_cluster_state
DISCOVERY,ALL3_CLEARED_POSITIVE_REVERSAL,WIDE_CLUSTER,18,15,8,7,3,0,53.333333333333336,50.0,1.428146380339383,2.8057318145564043,1.1900844729110083,2.0067931722731425,14,14,all3_positive_reversal_candidate,relevant_level_cluster_state
DISCOVERY,OTHER,MODERATE_CLUSTER,2395,2345,1201,1144,3,47,51.21535181236674,46.84759916492693,1.2254233245298047,1.170363309283653,0.8883704235462984,0.849925705794952,112,157,all3_positive_reversal_candidate,relevant_level_cluster_state
DISCOVERY,OTHER,TIGHT_CLUSTER,801,766,406,360,1,34,53.00261096605744,45.81772784019975,0.9946873520084502,0.959470036531291,0.7520430502866119,0.6410149681157528,106,155,all3_positive_reversal_candidate,relevant_level_cluster_state
DISCOVERY,OTHER,UNKNOWN,31,31,11,20,0,0,35.483870967741936,32.25806451612903,0.7866794512160007,1.3234698102829332,0.32563536325186376,1.1661461833418938,31,2,all3_positive_reversal_candidate,relevant_level_cluster_state
DISCOVERY,OTHER,WIDE_CLUSTER,811,807,387,420,4,0,47.95539033457249,45.252774352651045,1.7612112570685954,1.6740965540587016,1.2523888911478869,1.2383136355618243,108,152,all3_positive_reversal_candidate,relevant_level_cluster_state
VALIDATION,ALL3_CLEARED_POSITIVE_REVERSAL,MODERATE_CLUSTER,61,59,33,26,2,0,55.932203389830505,52.459016393442624,1.7904859979230754,1.464072930527136,1.511764705882349,0.9611493322541367,45,43,all3_positive_reversal_candidate,relevant_level_cluster_state
VALIDATION,ALL3_CLEARED_POSITIVE_REVERSAL,TIGHT_CLUSTER,16,16,11,5,0,0,68.75,56.25,1.9326060930240145,0.6116031207999412,1.2099174648855553,0.35417373662855006,16,14,all3_positive_reversal_candidate,relevant_level_cluster_state
VALIDATION,ALL3_CLEARED_POSITIVE_REVERSAL,WIDE_CLUSTER,35,34,26,8,1,0,76.47058823529412,62.857142857142854,3.1189848668841433,2.33930436477842,3.0963928239751115,1.6576639080231919,21,21,all3_positive_reversal_candidate,relevant_level_cluster_state
VALIDATION,OTHER,MODERATE_CLUSTER,2213,2186,1057,1129,13,14,48.353156450137234,46.769091730682334,1.4178281125279133,1.3798252085938134,1.03330662596404,1.0121457489878543,112,159,all3_positive_reversal_candidate,relevant_level_cluster_state
VALIDATION,OTHER,TIGHT_CLUSTER,551,537,267,270,1,13,49.720670391061454,46.64246823956443,1.1606797868436145,1.1646282139121256,0.8721848351595033,0.8839087806138407,107,150,all3_positive_reversal_candidate,relevant_level_cluster_state
VALIDATION,OTHER,WIDE_CLUSTER,1258,1208,604,604,50,0,50.0,48.012718600953896,2.2870129662870187,2.0165217420401764,1.6681082509634009,1.5288677019556387,111,159,all3_positive_reversal_candidate,relevant_level_cluster_state
