symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature,state
MRK,3,3,0,3,0,0,0.0,33.333333333333336,0.13743073988867724,2.411613023091221,0.04201327619528726,2.1599605035793634,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
MRNA,2,2,0,2,0,0,0.0,0.0,2.2759771721147524,1.0968934233174408,2.2759771721147524,1.0968934233174408,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
MS,3,3,2,1,0,0,66.66666666666667,66.66666666666667,0.9986214618277964,1.856957607867409,0.9244428172623725,0.44391561026955234,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
MSFT,3,3,0,3,0,0,0.0,0.0,1.3100667824929408,0.7186505657037155,1.060587589906126,0.6058409151588501,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
MU,3,3,2,1,0,0,66.66666666666667,66.66666666666667,2.8694774515227874,1.9212697125434588,3.7007964691200823,1.84949734001091,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
NEE,2,2,2,0,0,0,100.0,50.0,1.0781723587416516,0.33729586916757043,1.0781723587416516,0.33729586916757043,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
NFLX,3,3,1,2,0,0,33.333333333333336,33.333333333333336,0.41238497804674906,1.0568752165271669,0.4045781208411069,0.7885384273656241,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
NKE,3,3,0,3,0,0,0.0,66.66666666666667,0.23390154821253262,2.6692539951618843,0.2724616748186272,2.2532729103725986,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
NOW,1,1,0,1,0,0,0.0,0.0,0.8889076295060351,2.9462258070345615,0.8889076295060351,2.9462258070345615,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
NVDA,2,2,1,1,0,0,50.0,50.0,1.0398687872715264,0.9039027319583585,1.0398687872715264,0.9039027319583585,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
ORCL,3,3,3,0,0,0,100.0,66.66666666666667,4.286206439372033,1.410261790017988,1.0022427810485048,1.1634426689094453,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
OXY,5,5,3,2,0,0,60.0,80.0,1.9250137863837888,0.5145709664953697,1.7780344766305227,0.22423185879276142,1,5,pd_failed_break_candidate,PD_FAILED_BREAK
PANW,1,1,1,0,0,0,100.0,0.0,1.9292272774166823,0.3404002888682666,1.9292272774166823,0.3404002888682666,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
PEP,1,1,0,1,0,0,0.0,0.0,0.1988071570576675,2.217942345924449,0.1988071570576675,2.217942345924449,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
PFE,6,5,2,3,0,1,40.0,50.0,0.5405986082526205,1.0120799460442624,0.4558680607363953,1.205641571042526,1,6,pd_failed_break_candidate,PD_FAILED_BREAK
PLTR,3,3,1,2,0,0,33.333333333333336,66.66666666666667,5.438007670868637,0.6158500635496057,5.209674141318356,0.7463789535914801,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
PYPL,4,4,2,2,0,0,50.0,0.0,1.121145622584924,0.8003371816475477,0.6208613509237009,0.6344697800468253,1,4,pd_failed_break_candidate,PD_FAILED_BREAK
QCOM,1,1,1,0,0,0,100.0,100.0,0.8985441310281984,0.18767060964513904,0.8985441310281984,0.18767060964513904,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
QQQ,3,3,2,1,0,0,66.66666666666667,66.66666666666667,0.6685083983016438,0.43018496626680425,0.9179585750983552,0.34267427535719863,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
RBLX,1,1,1,0,0,0,100.0,100.0,1.2966393225721142,2.2228102672664627,1.2966393225721142,2.2228102672664627,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
REGN,2,2,0,2,0,0,0.0,0.0,1.7694804901980075,0.9401685269330693,1.7694804901980075,0.9401685269330693,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
RTX,1,1,1,0,0,0,100.0,100.0,0.6512691806716052,0.2160307526130212,0.6512691806716052,0.2160307526130212,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
SBUX,5,5,3,2,0,0,60.0,20.0,0.8295641536950706,1.2839712676042219,0.6501806057238211,0.9865684060382721,1,5,pd_failed_break_candidate,PD_FAILED_BREAK
SCHW,2,2,1,1,0,0,50.0,50.0,0.7069074664247055,0.4975300604182796,0.7069074664247055,0.4975300604182796,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
SHOP,1,1,0,1,0,0,0.0,0.0,0.39896084616812655,2.6257190573390226,0.39896084616812655,2.6257190573390226,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
SLB,2,2,0,2,0,0,0.0,0.0,0.7906122903043501,0.9949094863235042,0.7906122903043501,0.9949094863235042,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
