quarter,daily_trend_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
2026Q1,MIXED,238,237,128,109,1,0,54.0084388185654,111,46.63865546218487,1.8349240653531815,1.3382929304792448,1.2057202765195036,1.0143047072588371,99,57,BEAR
2026Q1,OPPOSING,217,213,116,97,4,0,54.460093896713616,103,47.465437788018434,1.582224244875768,1.257125988602368,1.2946498206208052,0.8893875842007402,80,58,BEAR
2026Q1,ALIGNED,296,290,145,145,5,1,50.0,128,43.24324324324324,1.5032425703816579,1.4765118749079946,1.031762565228891,1.0311616835518738,86,58,BULL
2026Q1,MIXED,251,246,122,124,5,0,49.59349593495935,124,49.40239043824701,1.666984086792623,1.5738539066626147,1.3129293104947317,1.1487964989059125,97,61,BULL
2026Q1,OPPOSING,289,279,148,131,7,3,53.04659498207885,139,48.09688581314879,1.694966448582852,1.4984004776566093,1.2150723582415524,1.1566820276497678,88,58,BULL
2026Q2,ALIGNED,199,196,95,101,3,0,48.46938775510204,85,42.71356783919598,1.5414398727966814,1.6760895973675498,1.2522495500899937,1.1899222229608402,83,57,BEAR
2026Q2,MIXED,278,270,130,140,4,4,48.148148148148145,142,51.07913669064748,1.574521413528997,1.7241086379980295,1.0276756080933849,1.3855100197631365,99,61,BEAR
2026Q2,OPPOSING,325,315,166,149,6,4,52.698412698412696,162,49.84615384615385,1.7139518820439619,1.6529786477459878,1.296296296296283,1.0747663551401834,92,59,BEAR
2026Q2,ALIGNED,301,294,160,134,3,4,54.42176870748299,151,50.16611295681063,2.0860698179447565,1.5632750802575615,1.2166113661500195,1.0376641701942848,88,61,BULL
2026Q2,MIXED,306,303,148,155,3,0,48.84488448844885,137,44.77124183006536,1.788247345218086,1.5102114112469491,1.319508158623437,1.0605598366972524,104,60,BULL
2026Q2,OPPOSING,218,215,100,115,3,0,46.51162790697674,101,46.330275229357795,1.7905418604413532,1.315594935341811,1.1867156860971817,0.9876314945586744,84,56,BULL
2026Q3,ALIGNED,124,122,54,68,2,0,44.26229508196721,56,45.16129032258065,1.8392120601708128,1.6795487207855668,1.338886771235655,1.1413139035380757,55,34,BEAR
2026Q3,MIXED,236,229,113,116,1,6,49.34497816593886,121,51.271186440677965,1.5755494821400369,1.5486772507980804,1.0170938518992787,1.1410069522849657,98,41,BEAR
2026Q3,OPPOSING,198,196,97,99,1,1,49.48979591836735,99,50.0,1.5790122677873544,1.4048528828267794,1.115000857326792,1.0324329432109738,85,41,BEAR
2026Q3,ALIGNED,217,207,83,124,8,2,40.09661835748792,96,44.23963133640553,1.4762529211593145,1.4967339419987353,1.118967529347171,1.1480214948705396,87,41,BULL
2026Q3,MIXED,183,177,88,89,4,2,49.717514124293785,84,45.90163934426229,1.6258808283851451,1.660425100224193,1.2235126417456184,1.1982623351786332,87,38,BULL
2026Q3,OPPOSING,137,132,65,67,5,0,49.24242424242424,68,49.63503649635037,1.7300217124065114,1.8807256539081274,1.1710333198013927,1.3244270413451573,62,37,BULL
