research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,UNKNOWN,11,11,4,7,0,0,36.36363636363637,4,36.36363636363637,0.6351344885550589,0.9040626161026197,0.21525946997328796,0.6981896498459819,11,1,ALL,ema9_vs_sma50_ok
VALIDATION,FAVORABLE,2901,2836,1409,1427,43,22,49.68265162200282,1372,47.29403653912444,1.7222059813182493,1.5394771576470732,1.207674943566584,1.1250092517208277,112,159,ALL,ema9_vs_sma50_ok
VALIDATION,OPPOSING,1233,1204,589,615,24,5,48.920265780730894,587,47.60746147607461,1.5469884420620998,1.579070722707439,1.1185045250777004,1.1070836556525459,112,159,ALL,ema9_vs_sma50_ok
DISCOVERY,FAVORABLE,1475,1440,732,708,10,25,50.833333333333336,670,45.42372881355932,1.348079078045116,1.2886800486688466,0.9690816797415821,0.9144548031159192,112,158,BEAR,ema9_vs_sma50_ok
DISCOVERY,OPPOSING,641,627,295,332,1,13,47.04944178628389,294,45.86583463338533,1.2187565870220456,1.2213551414792936,0.815252396989262,0.9209888511875972,111,151,BEAR,ema9_vs_sma50_ok
DISCOVERY,UNKNOWN,5,5,0,5,0,0,0.0,1,20.0,0.17315945837152807,1.5269640385043035,0.13144717075612142,1.636083664827398,5,1,BEAR,ema9_vs_sma50_ok
DISCOVERY,FAVORABLE,1466,1435,766,669,2,29,53.37979094076655,716,48.84038199181446,1.3160438660289173,1.2233536188981904,0.9490475327152894,0.8618597294712894,112,158,BULL,ema9_vs_sma50_ok
DISCOVERY,OPPOSING,580,565,283,282,1,14,50.08849557522124,247,42.58620689655172,1.163772703472214,1.2064176263700293,0.8304350418061472,0.8241998747573425,112,147,BULL,ema9_vs_sma50_ok
DISCOVERY,UNKNOWN,6,6,4,2,0,0,66.66666666666667,3,50.0,1.0201136803746682,0.38497809743454986,1.0835396173031384,0.24609331127464673,6,1,BULL,ema9_vs_sma50_ok
VALIDATION,FAVORABLE,1464,1431,719,712,21,12,50.24458420684836,689,47.06284153005465,1.7038490487586202,1.5861042416479334,1.1970778908867168,1.1465986986534942,112,159,BEAR,ema9_vs_sma50_ok
VALIDATION,OPPOSING,552,546,275,271,3,3,50.366300366300365,277,50.18115942028985,1.4525714623221457,1.467865722848222,1.1146189178715056,1.0229315542726307,109,145,BEAR,ema9_vs_sma50_ok
VALIDATION,FAVORABLE,1437,1405,690,715,22,10,49.11032028469751,683,47.529575504523315,1.7409078249280592,1.4919739906482843,1.2235126417456184,1.0875787063537363,112,159,BULL,ema9_vs_sma50_ok
VALIDATION,OPPOSING,681,658,314,344,21,2,47.72036474164134,310,45.521292217327456,1.6235202670495512,1.6692104582761431,1.118967529347171,1.1703561116458212,112,152,BULL,ema9_vs_sma50_ok
DISCOVERY,FAVORABLE,2719,2660,1388,1272,12,47,52.18045112781955,1281,47.112909157778596,1.3335296107459509,1.2572797281801529,0.959595959595966,0.8882127784866044,112,158,ALL,ema20_vs_sma50_ok
DISCOVERY,OPPOSING,1443,1407,688,719,2,34,48.898365316275765,646,44.76784476784477,1.2114213973608547,1.2185078067583532,0.835521922991324,0.866256189654566,112,158,ALL,ema20_vs_sma50_ok
DISCOVERY,UNKNOWN,11,11,4,7,0,0,36.36363636363637,4,36.36363636363637,0.6351344885550589,0.9040626161026197,0.21525946997328796,0.6981896498459819,11,1,ALL,ema20_vs_sma50_ok
VALIDATION,FAVORABLE,2692,2631,1308,1323,40,21,49.71493728620297,1272,47.25111441307578,1.7071763500145238,1.52084539215352,1.204593168481221,1.1042153359715279,112,159,ALL,ema20_vs_sma50_ok
VALIDATION,OPPOSING,1442,1409,690,719,27,6,48.970901348474094,687,47.64216366158114,1.6004421405185245,1.608114868068762,1.133091967450227,1.15160636872162,112,159,ALL,ema20_vs_sma50_ok
DISCOVERY,FAVORABLE,1367,1336,684,652,10,21,51.19760479041916,629,46.013167520117044,1.3550404538907037,1.294594243886175,0.9851982294988442,0.9284508505388769,112,158,BEAR,ema20_vs_sma50_ok
DISCOVERY,OPPOSING,749,731,343,388,1,17,46.92202462380301,335,44.72630173564753,1.2246986808131979,1.220268873274198,0.828424904438675,0.902371711604285,111,154,BEAR,ema20_vs_sma50_ok
DISCOVERY,UNKNOWN,5,5,0,5,0,0,0.0,1,20.0,0.17315945837152807,1.5269640385043035,0.13144717075612142,1.636083664827398,5,1,BEAR,ema20_vs_sma50_ok
DISCOVERY,FAVORABLE,1352,1324,704,620,2,26,53.17220543806646,652,48.22485207100592,1.3117801117970775,1.2195512200661498,0.945729822200118,0.8618597294712894,112,158,BULL,ema20_vs_sma50_ok
DISCOVERY,OPPOSING,694,676,345,331,1,17,51.03550295857988,311,44.81268011527378,1.1970918796291472,1.2166071744523481,0.8540654210205887,0.830156132295605,112,153,BULL,ema20_vs_sma50_ok
DISCOVERY,UNKNOWN,6,6,4,2,0,0,66.66666666666667,3,50.0,1.0201136803746682,0.38497809743454986,1.0835396173031384,0.24609331127464673,6,1,BULL,ema20_vs_sma50_ok
VALIDATION,FAVORABLE,1368,1337,676,661,20,11,50.56095736724009,643,47.00292397660819,1.6971211782541928,1.5787586919949872,1.198534464996998,1.133264412193539,112,159,BEAR,ema20_vs_sma50_ok
VALIDATION,OPPOSING,648,640,318,322,4,4,49.6875,323,49.84567901234568,1.5040010535998596,1.5008898119377327,1.1347308426253027,1.0824152105406635,110,148,BEAR,ema20_vs_sma50_ok
VALIDATION,FAVORABLE,1324,1294,632,662,20,10,48.84080370942813,629,47.507552870090635,1.7175656815614522,1.461007481139074,1.2129395052868077,1.0730045635861902,112,159,BULL,ema20_vs_sma50_ok
VALIDATION,OPPOSING,794,769,372,397,23,2,48.37451235370611,364,45.84382871536524,1.67914972782746,1.6956234781102064,1.1316048094492812,1.2040871038309053,112,155,BULL,ema20_vs_sma50_ok
