quarter,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n,feature
2025Q2,MARKET_NOT_OPPOSING,601,592,316,276,0,9,53.37837837837838,50.91514143094842,1.2080943500416497,1.1577251714948567,111,25,market_exhaustion_state
2025Q2,OPPOSING_MARKET_MULTIPLE_EXHAUSTION,13,13,3,10,0,0,23.076923076923077,38.46153846153846,0.7534755024170807,1.7517101372991335,10,5,market_exhaustion_state
2025Q2,OPPOSING_MARKET_NOT_MULTIPLE_EXHAUSTION,75,73,39,34,0,2,53.42465753424658,52.0,1.0530482966366368,1.1565777445856862,54,5,market_exhaustion_state
2025Q3,MARKET_NOT_OPPOSING,950,932,450,482,3,15,48.283261802575105,41.68421052631579,1.1717089039796333,1.2360995979238645,112,64,market_exhaustion_state
2025Q3,OPPOSING_MARKET_MULTIPLE_EXHAUSTION,78,76,34,42,1,1,44.73684210526316,35.8974358974359,1.3722578468051618,1.2844537370704223,53,43,market_exhaustion_state
2025Q3,OPPOSING_MARKET_NOT_MULTIPLE_EXHAUSTION,597,582,259,323,5,10,44.50171821305842,43.71859296482412,1.0949090245133775,1.2531475907088465,110,53,market_exhaustion_state
2025Q4,MARKET_NOT_OPPOSING,912,886,447,439,1,25,50.45146726862303,46.38157894736842,1.4039881719933642,1.304720227878413,112,64,market_exhaustion_state
2025Q4,OPPOSING_MARKET_MULTIPLE_EXHAUSTION,129,126,66,60,0,3,52.38095238095238,51.16279069767442,1.3669384717428714,1.3264650132979976,68,48,market_exhaustion_state
2025Q4,OPPOSING_MARKET_NOT_MULTIPLE_EXHAUSTION,661,641,355,286,4,16,55.38221528861155,48.71406959152799,1.372459383313257,1.2543997648478014,112,59,market_exhaustion_state
2026Q1,MARKET_NOT_OPPOSING,868,855,434,421,13,0,50.760233918128655,45.046082949308754,1.5186936281099552,1.5360080790356452,112,61,market_exhaustion_state
2026Q1,OPPOSING_MARKET_MULTIPLE_EXHAUSTION,160,157,75,82,3,0,47.77070063694268,45.0,2.0299274625645944,1.4967758301441574,74,49,market_exhaustion_state
2026Q1,OPPOSING_MARKET_NOT_MULTIPLE_EXHAUSTION,541,529,301,228,8,4,56.89981096408317,51.57116451016636,1.7642709431756578,1.2961612541902037,110,54,market_exhaustion_state
2026Q2,MARKET_NOT_OPPOSING,921,905,430,475,10,6,47.51381215469613,45.928338762214985,1.7167833947350561,1.600128590386692,112,62,market_exhaustion_state
2026Q2,OPPOSING_MARKET_MULTIPLE_EXHAUSTION,129,126,53,73,3,0,42.06349206349206,34.883720930232556,2.18261408363294,1.708832327290707,73,47,market_exhaustion_state
2026Q2,OPPOSING_MARKET_NOT_MULTIPLE_EXHAUSTION,577,562,316,246,9,6,56.22775800711744,53.726169844020795,1.7404366627150318,1.5171134778058977,109,56,market_exhaustion_state
2026Q3,MARKET_NOT_OPPOSING,657,632,280,352,18,7,44.30379746835443,46.118721461187214,1.567682949561905,1.511390029464278,112,41,market_exhaustion_state
2026Q3,OPPOSING_MARKET_MULTIPLE_EXHAUSTION,99,99,44,55,0,0,44.44444444444444,45.45454545454545,1.691603904716168,1.939885274900028,65,30,market_exhaustion_state
2026Q3,OPPOSING_MARKET_NOT_MULTIPLE_EXHAUSTION,339,332,176,156,3,4,53.01204819277108,51.91740412979351,1.6814040351763968,1.6318269177949636,104,36,market_exhaustion_state
