feature,direction,bucket,n,c3_confirmed_n,c3_confirmation_pct,binary_n,favorable_first_pct,avg_feature_value,median_feature_value
c1_favorable_vwap_distance_pct,BEAR,"(0.117, 0.192]",812,348,42.857142857142854,806,48.26302729528536,0.15159183218816671,0.14924855209566545
c1_favorable_vwap_distance_pct,BEAR,"(0.192, 1.323]",821,394,47.990255785627284,794,50.377833753148614,0.31367271418374254,0.2667754346124429
c1_favorable_vwap_distance_pct,BULL,"(-0.0009999999999889, 0.0365]",835,385,46.10778443113772,804,47.2636815920398,0.018903449291778063,0.019281754639677295
c1_favorable_vwap_distance_pct,BULL,"(0.0365, 0.0723]",848,400,47.16981132075472,829,52.834740651387214,0.05408824535476081,0.05463926868383151
c1_favorable_vwap_distance_pct,BULL,"(0.0723, 0.117]",820,391,47.68292682926829,808,51.60891089108911,0.09397904448273826,0.09409104714933614
c1_favorable_vwap_distance_pct,BULL,"(0.117, 0.192]",879,409,46.53014789533561,870,48.735632183908045,0.15130154736888776,0.14923003651372557
c1_favorable_vwap_distance_pct,BULL,"(0.192, 1.323]",871,412,47.30195177956372,841,51.96195005945303,0.3149607593701153,0.2703070023104326
c2_favorable_vwap_distance_pct,BEAR,"(-0.0008190000000000001, 0.102]",851,408,47.94359576968272,809,50.18541409147095,0.05800652279001692,0.06041150876493484
c2_favorable_vwap_distance_pct,BEAR,"(0.102, 0.189]",847,380,44.8642266824085,835,50.65868263473054,0.14363462793109935,0.1433285202557366
c2_favorable_vwap_distance_pct,BEAR,"(0.189, 0.302]",854,402,47.07259953161593,850,50.23529411764706,0.24165820342699276,0.23875363698414032
c2_favorable_vwap_distance_pct,BEAR,"(0.302, 0.5]",843,401,47.568208778173194,835,50.29940119760479,0.3887389773648031,0.3820363257253212
c2_favorable_vwap_distance_pct,BEAR,"(0.5, 3.119]",809,373,46.10630407911001,784,47.95918367346939,0.7959370881058032,0.6937774217026682
c2_favorable_vwap_distance_pct,BULL,"(-0.0008190000000000001, 0.102]",841,411,48.870392390011894,804,49.62686567164179,0.059480667225240084,0.061248735169550095
c2_favorable_vwap_distance_pct,BULL,"(0.102, 0.189]",844,399,47.274881516587676,831,51.50421179302046,0.14527887864343988,0.14597594310827855
c2_favorable_vwap_distance_pct,BULL,"(0.189, 0.302]",837,393,46.95340501792115,829,52.5934861278649,0.2425974110826192,0.23959319741102547
c2_favorable_vwap_distance_pct,BULL,"(0.302, 0.5]",848,390,45.990566037735846,836,52.15311004784689,0.38609041241156117,0.37675781533191843
c2_favorable_vwap_distance_pct,BULL,"(0.5, 3.119]",883,404,45.75311438278596,852,46.5962441314554,0.7903621500365733,0.6946653683282067
c2_vwap_penetration_pct,BEAR,"(-0.00099479, 0.0333]",837,410,48.98446833930705,807,49.44237918215613,0.0160647809399053,0.015502570447537944
c2_vwap_penetration_pct,BEAR,"(0.0333, 0.0715]",824,381,46.237864077669904,803,49.93773349937734,0.05186798110399791,0.05182611337285417
c2_vwap_penetration_pct,BEAR,"(0.0715, 0.123]",854,408,47.7751756440281,842,50.475059382422806,0.0955527110943399,0.09490691681110755
c2_vwap_penetration_pct,BEAR,"(0.123, 0.22]",841,387,46.016646848989296,835,50.538922155688624,0.16422408179245196,0.16157111338597074
c2_vwap_penetration_pct,BEAR,"(0.22, 2.989]",848,378,44.575471698113205,826,49.03147699757869,0.385190391167583,0.314994384643758
