research_period,direction,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,BEAR,NOT_POSITIVE_CANDIDATE,1527,1491,737,754,5,31,49.4299128101945,45.31761624099541,1.281317073433052,1.2626312200804437,0.917228551499653,0.9481169344219106,112,158,positive_candidate_participation_state
DISCOVERY,BEAR,POSITIVE_BOTH_ABOVE,225,218,104,114,6,1,47.706422018348626,44.44444444444444,1.3911330625662675,1.5867871097725235,0.9479166666666631,1.1553736911782329,85,78,positive_candidate_participation_state
DISCOVERY,BEAR,POSITIVE_BOTH_BELOW,194,190,95,95,0,4,50.0,44.329896907216494,1.273096880934554,1.2522673252067336,0.8435514451951063,0.7925504125200891,80,79,positive_candidate_participation_state
DISCOVERY,BEAR,POSITIVE_MIXED,157,155,81,74,0,2,52.25806451612903,48.40764331210191,1.4792071872483332,0.8838257931613461,1.036885942546327,0.7733724914341576,74,72,positive_candidate_participation_state
DISCOVERY,BEAR,POSITIVE_UNKNOWN,18,18,10,8,0,0,55.55555555555556,61.111111111111114,1.2062764544756954,1.3645030160668865,0.8766202107869856,0.9986365082779869,16,4,positive_candidate_participation_state
DISCOVERY,BULL,NOT_POSITIVE_CANDIDATE,1801,1758,921,837,1,42,52.389078498293514,46.196557468073294,1.2550329547633794,1.1659333242712102,0.8857242097950767,0.8180062061019604,112,158,positive_candidate_participation_state
DISCOVERY,BULL,POSITIVE_BOTH_ABOVE,122,121,61,60,1,0,50.413223140495866,50.0,1.4427324467578677,1.4800392998906833,1.0788468240751687,1.0315623685330526,68,38,positive_candidate_participation_state
DISCOVERY,BULL,POSITIVE_BOTH_BELOW,54,53,28,25,0,1,52.83018867924528,64.81481481481481,1.4683049910487993,1.6321127326551055,1.2457204682169816,0.9219517411112437,42,30,positive_candidate_participation_state
DISCOVERY,BULL,POSITIVE_MIXED,75,74,43,31,1,0,58.108108108108105,50.666666666666664,1.2641730419277823,1.6923159736197717,0.9110593618499054,1.2201995582298713,51,33,positive_candidate_participation_state
VALIDATION,BEAR,NOT_POSITIVE_CANDIDATE,1639,1610,793,817,16,13,49.254658385093165,47.162904209884076,1.5499774355929319,1.5131530777211584,1.1086637298090978,1.115241635687737,112,158,positive_candidate_participation_state
VALIDATION,BEAR,POSITIVE_BOTH_ABOVE,144,138,75,63,5,1,54.34782608695652,51.388888888888886,2.1577455822202345,1.9294200403873114,1.746864617445311,1.324099540184675,64,59,positive_candidate_participation_state
VALIDATION,BEAR,POSITIVE_BOTH_BELOW,128,126,71,55,1,1,56.34920634920635,51.5625,1.756823086989208,1.6985564302675835,1.4014787632235515,1.180318337965099,67,56,positive_candidate_participation_state
VALIDATION,BEAR,POSITIVE_MIXED,105,103,55,48,2,0,53.398058252427184,50.476190476190474,2.097644939745679,1.4953227191408611,1.598714908590214,1.0575371930453548,69,53,positive_candidate_participation_state
VALIDATION,BULL,NOT_POSITIVE_CANDIDATE,1778,1733,818,915,33,12,47.20138488170802,46.11923509561305,1.6194478427017445,1.539361318975523,1.1168566330113334,1.0867009162894647,112,159,positive_candidate_participation_state
VALIDATION,BULL,POSITIVE_BOTH_ABOVE,114,109,51,58,5,0,46.788990825688074,50.87719298245614,2.2626439749167493,1.8214072048839716,1.7672809523339632,1.3674570149724028,62,52,positive_candidate_participation_state
VALIDATION,BULL,POSITIVE_BOTH_BELOW,110,108,65,43,2,0,60.18518518518518,58.18181818181818,1.93592389408569,1.6205589314297804,1.3288818075390367,1.2553702706888594,65,46,positive_candidate_participation_state
VALIDATION,BULL,POSITIVE_MIXED,116,113,70,43,3,0,61.94690265486726,43.96551724137931,2.215780521282142,1.3604536008199053,1.7374007493152483,1.0546212464137374,64,50,positive_candidate_participation_state
