symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,c1_close,c2_close,c1_volume,c2_volume,opening_2m_volume,entry_price,opening_2m_rvol_20d,a49_opening_2m_dollar_activity,a49_log10_opening_2m_dollar_activity,a49_log10_entry_price
UNH,2025-10-15,BEAR,AE2_RECLAIM,2,2025-10-15 13:31:00+00:00,358.625,357.81,111002.0,36662.0,147664.0,357.81,0.5862963007079358,52926122.47,7.723670077411483,2.5536524739734743
UNH,2025-10-20,BEAR,AE2_RECLAIM,2,2025-10-20 13:31:00+00:00,358.07,357.74,88006.0,35968.0,123974.0,357.74,0.5451910877743843,44379500.739999995,7.647182412202374,2.5535675026539852
UNH,2025-10-22,BEAR,AE2_RECLAIM,2,2025-10-22 13:31:00+00:00,363.19,362.97,116088.0,51415.0,167503.0,362.97,0.8443500133581341,60824103.269999996,7.784075714844755,2.5598707314469435
UNH,2025-10-28,BEAR,AE2_RECLAIM,2,2025-10-28 13:31:00+00:00,376.78,376.7199,427288.0,174406.0,601694.0,376.7199,3.2212496453217265,226695783.5194,8.355443442441086,2.576018562151554
UNH,2025-11-05,BULL,AE2_RECLAIM,2,2025-11-05 14:31:00+00:00,327.4245,328.225,231376.0,39709.0,271085.0,328.225,1.3391708142421361,88791657.63700001,7.948372163837026,2.516171656999065
UNH,2025-11-07,BEAR,AE2_RECLAIM,2,2025-11-07 14:31:00+00:00,319.5301,317.815,181085.0,92032.0,273117.0,317.815,1.349208976053155,87111258.2385,7.940074286751533,2.5021743908685123
UNH,2025-11-24,BEAR,AE2_RECLAIM,2,2025-11-24 14:31:00+00:00,323.955,323.75,176102.0,32854.0,208956.0,323.75,0.8575051604775135,67685605.91,7.8304963209966205,2.510209777089308
UNH,2025-12-03,BEAR,AE2_RECLAIM,2,2025-12-03 14:31:00+00:00,325.75,325.75,98166.0,10719.0,108885.0,325.75,0.5366978920985117,35469288.75,7.549852479843602,2.5128844243846222
UNH,2025-12-04,BULL,AE2_RECLAIM,2,2025-12-04 14:31:00+00:00,340.475,340.5812,125392.0,47061.0,172453.0,340.5812,0.9165304782935664,58720933.05320001,7.768792947736295,2.5322206713376763
UNH,2025-12-10,BEAR,AE2_RECLAIM,2,2025-12-10 14:31:00+00:00,322.41,322.225,78389.0,24108.0,102497.0,322.225,0.6288140220428772,33041597.790000003,7.519061040300955,2.5081592323614412
UNH,2025-12-12,BULL,AE2_RECLAIM,2,2025-12-12 14:31:00+00:00,338.24,339.42,129513.0,54979.0,184492.0,339.42,1.238870665023721,62467449.300000004,7.795653772993391,2.530737429124053
UNH,2025-12-15,BULL,AE2_RECLAIM,2,2025-12-15 14:31:00+00:00,342.33,343.15,123727.0,32278.0,156005.0,343.15,1.0475793969224985,53431659.61,7.7277986637631315,2.5354840032266903
UNH,2025-12-22,BULL,AE2_RECLAIM,2,2025-12-22 14:31:00+00:00,323.53,325.8,239860.0,89716.0,329576.0,325.8,2.4479403419641397,106831378.6,8.028698832760757,2.5129510799724906
UNH,2025-12-29,BULL,AE2_RECLAIM,2,2025-12-29 14:31:00+00:00,331.34,333.61,80155.0,43834.0,123989.0,333.61,1.0543596110428457,41182018.44,7.614707628728626,2.5232390601903063
UNH,2026-01-02,BEAR,AE2_RECLAIM,2,2026-01-02 14:31:00+00:00,330.58,330.5,165679.0,39716.0,205395.0,330.5,1.8158631085256582,67896301.82,7.831846119745791,2.519171463821659
UNH,2026-01-08,BULL,AE2_RECLAIM,2,2026-01-08 14:31:00+00:00,341.71,342.63,107990.0,32607.0,140597.0,342.63,1.1534933709635076,48073399.31,7.681904832538025,2.5348253862536922
