research_period,direction,c1_to_c2_close_progress_pct__frozen_quintile,binary_n,favorable_n,adverse_n,ff_pct,feature,c2_to_c1_volume_ratio__frozen_quintile,clv_change_pp__frozen_quintile,vwap_distance_change_pp__frozen_quintile
DISCOVERY,BULL,,43,23,20,53.48837209302326,vwap_distance_change_pp,,,4
DISCOVERY,BULL,,23,15,8,65.21739130434783,vwap_distance_change_pp,,,5
VALIDATION,BEAR,,62,35,27,56.45161290322581,vwap_distance_change_pp,,,1
VALIDATION,BEAR,,24,12,12,50.0,vwap_distance_change_pp,,,2
VALIDATION,BEAR,,23,14,9,60.869565217391305,vwap_distance_change_pp,,,3
VALIDATION,BEAR,,78,45,33,57.69230769230769,vwap_distance_change_pp,,,4
VALIDATION,BEAR,,33,16,17,48.484848484848484,vwap_distance_change_pp,,,5
VALIDATION,BULL,,40,20,20,50.0,vwap_distance_change_pp,,,1
VALIDATION,BULL,,26,18,8,69.23076923076923,vwap_distance_change_pp,,,2
VALIDATION,BULL,,27,22,5,81.48148148148148,vwap_distance_change_pp,,,3
VALIDATION,BULL,,50,28,22,56.0,vwap_distance_change_pp,,,4
VALIDATION,BULL,,26,15,11,57.69230769230769,vwap_distance_change_pp,,,5
