name,kind,size_bytes,sha256,project,action,destination,reason,duplicate_of,applied,note
audit_a39_transition_candidate_robustness_v1.py,file,5153,345b2a6093778c3736d108ccc672793602015b309e693d4069aa248e035ce049,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a39_transition_candidate_robustness_v1.py,Source move may break paths/imports; review first,,False,
audit_a39_vwap_q3_exact_a37_independence_v1_1.py,file,5127,038ca8fdced5b4b16e09070ec6fecaea8ea78b6a22a7de139d0335315853e7af,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a39_vwap_q3_exact_a37_independence_v1_1.py,Source move may break paths/imports; review first,,False,
audit_a39_vwap_q3_exhaustion_independence_v1.py,file,4885,e4143058f079f0b9afe339674e0f792f2da0b078fd70df4dd380179f3828dbff,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a39_vwap_q3_exhaustion_independence_v1.py,Source move may break paths/imports; review first,,False,
audit_a39_vwap_q3_exhaustion_independence_v1_1.py,file,5618,c3bc2d0ef9af3e25f17e202bcdc3b12cf6148ce953e421672cc13874545b1e5c,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a39_vwap_q3_exhaustion_independence_v1_1.py,Source move may break paths/imports; review first,,False,
audit_a39_vwap_q3_prior_survivor_independence_v1.py,file,5566,a7caf6169bd639ee53d629800fe2675969efe6194bab897beca08f8935f5bf7b,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a39_vwap_q3_prior_survivor_independence_v1.py,Source move may break paths/imports; review first,,False,
audit_a41_benchmark_opening_bar_parity_v1.py,file,2973,38610d3572092d1aca560c4cb6cede80e8873e4bf41215e4fad7c86f1003a6dc,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a41_benchmark_opening_bar_parity_v1.py,Source move may break paths/imports; review first,,False,
audit_a42_candidate_redundancy_a37_a38_v1.py,file,4611,34e2d97a9f51e34fd27dd742114f6b3610860180953df040d15cbff11cfb010a,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a42_candidate_redundancy_a37_a38_v1.py,Source move may break paths/imports; review first,,False,
audit_a42_candidate_robustness_v1.py,file,3709,33fc2ec0244f1da7e1212c9d09bbb5312203165da304f8eada51dc3e83f90138,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a42_candidate_robustness_v1.py,Source move may break paths/imports; review first,,False,
audit_a51_4_direction_quarter_distribution_v1.py,file,1666,e3f871a00517559980ca83742832c4c69e1dd9a283e8f4a7a69cdeecb56c7246,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a51_4_direction_quarter_distribution_v1.py,Source move may break paths/imports; review first,,False,
audit_a51_a39_bucket_artifact_integrity_v1.py,file,2961,a2953f377c8d08ab9f20ab48901938642bed91bb3c4bb6b07efd95fd21f929b3,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a51_a39_bucket_artifact_integrity_v1.py,Source move may break paths/imports; review first,,False,
