source,destination,project,phase,role,sha256,dependency_count,dependencies,status,reason
audit_a51_a39_bucket_artifact_integrity_v1.py,scripts\second1m\a37_a56\audit_a51_a39_bucket_artifact_integrity_v1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,a2953f377c8d08ab9f20ab48901938642bed91bb3c4bb6b07efd95fd21f929b3,0,,SAFE_WAVE1,
audit_a51_a39_original_bucket_semantics_v1.py,scripts\second1m\a37_a56\audit_a51_a39_original_bucket_semantics_v1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,23bebdfd3a8fb0239072bfbc0562101fb94d36d09dc7e05f340a408dc12849a1,0,,SAFE_WAVE1,
audit_a51_a39_summary_reproducibility_v1.py,scripts\second1m\a37_a56\audit_a51_a39_summary_reproducibility_v1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,1b6ec7fb067c19e9a247b6bb0b24d40790ee37272ad332960265ba9d65a3d908,0,,SAFE_WAVE1,
BUILD_6_1_0_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,pine\orb\legacy\BUILD_6_1_0_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,orb,legacy,PINE_SOURCE,fbb50169d51bfaf62e6b862288b3d2a25f5ab2442d3585ca3b7021f352bd76e9,0,,SAFE_WAVE1,
BUILD_6_1_0A_MTF_PARITY_PROBE.pine,pine\orb\legacy\BUILD_6_1_0A_MTF_PARITY_PROBE.pine,orb,legacy,AUDIT_DIAGNOSTIC,cc40b65dc78ac980e3bb420e585cfe540f63ec1b9e53441a10da98166b2e0092,0,,SAFE_WAVE1,
BUILD_6_1_1_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,pine\orb\legacy\BUILD_6_1_1_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,orb,legacy,PINE_SOURCE,654d06f712e10a36270cacef8eea311bec5f860749955b5a69e664896d0f42ab,0,,SAFE_WAVE1,
BUILD_6_1_2_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,pine\orb\legacy\BUILD_6_1_2_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,orb,legacy,PINE_SOURCE,d7b1e3c857540818a9fc8d1a4f22bbbcb7001bbc7fb01b16f62a489dcf15b75c,0,,SAFE_WAVE1,
BUILD_6_1_3_MTF_STRUCTURAL_MARKET_CONTEXT.pine,pine\orb\legacy\BUILD_6_1_3_MTF_STRUCTURAL_MARKET_CONTEXT.pine,orb,legacy,PINE_SOURCE,96796e81f63d69f80e7b72ce937c53836d0ea23286a8be98cc3accf99087483b,0,,SAFE_WAVE1,
build_9k_dp4_candidate_matrix_v1.py,scripts\pmpd\9k\build_9k_dp4_candidate_matrix_v1.py,pmpd,9k,RESEARCH_OR_UTILITY,e6aadecdf6373e691fa841613008dbb484db0c9c9291afbe73021bc29a5bed4f,0,,SAFE_WAVE1,
build_9m_oos_research_frames_v1.py,scripts\pmpd\9m\build_9m_oos_research_frames_v1.py,pmpd,9m,RESEARCH_OR_UTILITY,1c0d8e9c02f22e53d322ffef6db1d044b4bbc8ad8782b0134bbf3a1d2c25c699,0,,SAFE_WAVE1,
build_a41_market_open_impulse_features_v1.py,scripts\second1m\a37_a56\build_a41_market_open_impulse_features_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,904257f7ffa42e69ce2305b00aa41fbd0c6f47a939ff49b6482898130a061962,0,,SAFE_WAVE1,
