name,extension,bytes,sha256,project,phase,role,proposed_destination,executable_reference_count,executable_references,disposition
audit_9m_engine_interfaces.py,.py,3584,df6d6169156f04fef8de56a16dbb88578b2b755506814e2b3f0a841aae68167d,pmpd,9m,AUDIT_DIAGNOSTIC,scripts\pmpd\9m\audit_9m_engine_interfaces.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
audit_9n_3i_24case_market_data_coverage.py,.py,6756,2483fb1a3e84c6f4486a9895952cb88eb7aae4ff91107eb9983e7f3030ceab5c,pmpd,9n,AUDIT_DIAGNOSTIC,scripts\pmpd\9n\audit_9n_3i_24case_market_data_coverage.py,1,research_outputs\pmpd\docs_history\README_9N_3I.md,DEPENDENCY_REVIEW_REQUIRED
audit_9n_3j_alternate_market_data_sources.py,.py,7974,767fb9d6ed10cc45dd721506d00b3fa5d8f67890d57a3c165e9d18cd32b3d8ff,pmpd,9n,AUDIT_DIAGNOSTIC,scripts\pmpd\9n\audit_9n_3j_alternate_market_data_sources.py,1,research_outputs\pmpd\docs_history\README_9N_3J.md,DEPENDENCY_REVIEW_REQUIRED
audit_9n_machine_readable_pine_export_interface_v1.py,.py,2253,c4203c9a5a1b2554e9701b9d74d83c4267c5f84b738c70d8d57ff082c357a43f,pmpd,9n,AUDIT_DIAGNOSTIC,scripts\pmpd\9n\audit_9n_machine_readable_pine_export_interface_v1.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
audit_9n_preserved_tv_parity_evidence_v1.py,.py,4561,cf4e7936b9c755b078ad2397f07f2cab415d05acd4b0e714c38c38fe33dc9f0b,pmpd,9n,AUDIT_DIAGNOSTIC,scripts\pmpd\9n\audit_9n_preserved_tv_parity_evidence_v1.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
audit_9n_v4_runner_forensics.py,.py,2632,3c925c767964b460c943b22833350937deef502b860de817994cd005be9dbc79,pmpd,9n,AUDIT_DIAGNOSTIC,scripts\pmpd\9n\audit_9n_v4_runner_forensics.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
audit_a37_geometry_candidate_robustness_v1.py,.py,4153,96e65052bf5a47911ad9e72a3d0827cede7c0761e216a29bf768fd6389b80aa8,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a37_geometry_candidate_robustness_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a37_geometry_redundancy_interactions_v1.py,.py,8360,81afe9d6054d34fe5d6316f1740c765031d2599313df64ede271a207f3d65b2f,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a37_geometry_redundancy_interactions_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a37_geometry_survivor_temporal_direction_v1.py,.py,3910,5c928d647383a3a876091a0eef3a8267923bf4b9136a891762c358d9919ddf3d,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a37_geometry_survivor_temporal_direction_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a37_session_level_geometry_replication_v1.py,.py,5710,4f2cba8beafa59c245c81ede4ea28f0236cae604dab72ef6cf970661da59dedd,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a37_session_level_geometry_replication_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a38_candidate_replication_v1.py,.py,3062,ddccb8a34a2679d10d2df89041a8845c117a56e467867bd6a08cbe573e555976,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a38_candidate_replication_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a38_remaining_level_breakout_burden_v1.py,.py,3586,2346f207347873adf93942ec35f74002a7e79973ca10b07ee87a8a8f0bb2a967,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a38_remaining_level_breakout_burden_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a38_survivor_family_overlap_v1.py,.py,4120,bb6125a22dbcc70d905ac3836b4553609006cb6a9c81cba92e55b28b329f6ae4,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a38_survivor_family_overlap_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a38_vs_a37_independence_v1.py,.py,5368,a9041dafe8d0f6368c63fff603795e13a82c71eca7d8148c2b25dfafe0864d22,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a38_vs_a37_independence_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a39_frozen_transition_buckets_v1.py,.py,2246,a76385023851e2007aa1132c438df63f2345767baafa63229d539de68aec995e,unclassified,review,CANONICAL_OR_FROZEN,scripts\unclassified\review\audit_a39_frozen_transition_buckets_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a39_transition_candidate_robustness_v1.py,.py,5153,345b2a6093778c3736d108ccc672793602015b309e693d4069aa248e035ce049,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a39_transition_candidate_robustness_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a39_vwap_q3_exact_a37_independence_v1_1.py,.py,5127,038ca8fdced5b4b16e09070ec6fecaea8ea78b6a22a7de139d0335315853e7af,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a39_vwap_q3_exact_a37_independence_v1_1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a39_vwap_q3_exhaustion_independence_v1.py,.py,4885,e4143058f079f0b9afe339674e0f792f2da0b078fd70df4dd380179f3828dbff,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a39_vwap_q3_exhaustion_independence_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a39_vwap_q3_exhaustion_independence_v1_1.py,.py,5618,c3bc2d0ef9af3e25f17e202bcdc3b12cf6148ce953e421672cc13874545b1e5c,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a39_vwap_q3_exhaustion_independence_v1_1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a39_vwap_q3_prior_survivor_independence_v1.py,.py,5566,a7caf6169bd639ee53d629800fe2675969efe6194bab897beca08f8935f5bf7b,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a39_vwap_q3_prior_survivor_independence_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a41_benchmark_opening_bar_parity_v1.py,.py,2973,38610d3572092d1aca560c4cb6cede80e8873e4bf41215e4fad7c86f1003a6dc,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a41_benchmark_opening_bar_parity_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a42_candidate_redundancy_a37_a38_v1.py,.py,4611,34e2d97a9f51e34fd27dd742114f6b3610860180953df040d15cbff11cfb010a,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a42_candidate_redundancy_a37_a38_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a42_candidate_robustness_v1.py,.py,3709,33fc2ec0244f1da7e1212c9d09bbb5312203165da304f8eada51dc3e83f90138,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a42_candidate_robustness_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a51_4_direction_quarter_distribution_v1.py,.py,1666,e3f871a00517559980ca83742832c4c69e1dd9a283e8f4a7a69cdeecb56c7246,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a51_4_direction_quarter_distribution_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a51_a39_bucket_artifact_integrity_v1.py,.py,2961,a2953f377c8d08ab9f20ab48901938642bed91bb3c4bb6b07efd95fd21f929b3,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a51_a39_bucket_artifact_integrity_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a51_a39_original_bucket_semantics_v1.py,.py,2448,23bebdfd3a8fb0239072bfbc0562101fb94d36d09dc7e05f340a408dc12849a1,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a51_a39_original_bucket_semantics_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
audit_a51_a39_summary_reproducibility_v1.py,.py,3405,1b6ec7fb067c19e9a247b6bb0b24d40790ee37272ad332960265ba9d65a3d908,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\audit_a51_a39_summary_reproducibility_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
BUILD_6_1_0_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,.pine,36794,fbb50169d51bfaf62e6b862288b3d2a25f5ab2442d3585ca3b7021f352bd76e9,orb,legacy,RESEARCH_EXECUTABLE,pine\orb\legacy\BUILD_6_1_0_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,0,,MOVE_CANDIDATE_AFTER_REVIEW
BUILD_6_1_0A_MTF_PARITY_PROBE.pine,.pine,4683,cc40b65dc78ac980e3bb420e585cfe540f63ec1b9e53441a10da98166b2e0092,orb,legacy,AUDIT_DIAGNOSTIC,pine\orb\legacy\BUILD_6_1_0A_MTF_PARITY_PROBE.pine,0,,MOVE_CANDIDATE_AFTER_REVIEW
BUILD_6_1_1_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,.pine,37709,654d06f712e10a36270cacef8eea311bec5f860749955b5a69e664896d0f42ab,orb,legacy,RESEARCH_EXECUTABLE,pine\orb\legacy\BUILD_6_1_1_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,0,,MOVE_CANDIDATE_AFTER_REVIEW
BUILD_6_1_2_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,.pine,37731,d7b1e3c857540818a9fc8d1a4f22bbbcb7001bbc7fb01b16f62a489dcf15b75c,orb,legacy,RESEARCH_EXECUTABLE,pine\orb\legacy\BUILD_6_1_2_MTF_STRUCTURAL_RESEARCH_ENGINE.pine,0,,MOVE_CANDIDATE_AFTER_REVIEW
BUILD_6_1_3_MTF_STRUCTURAL_MARKET_CONTEXT.pine,.pine,40989,96796e81f63d69f80e7b72ce937c53836d0ea23286a8be98cc3accf99087483b,orb,legacy,RESEARCH_EXECUTABLE,pine\orb\legacy\BUILD_6_1_3_MTF_STRUCTURAL_MARKET_CONTEXT.pine,0,,MOVE_CANDIDATE_AFTER_REVIEW
build_9k_dp4_candidate_matrix_v1.py,.py,5792,e6aadecdf6373e691fa841613008dbb484db0c9c9291afbe73021bc29a5bed4f,pmpd,9k,RESEARCH_EXECUTABLE,scripts\pmpd\9k\build_9k_dp4_candidate_matrix_v1.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
build_9m_oos_research_frames_v1.py,.py,4773,1c0d8e9c02f22e53d322ffef6db1d044b4bbc8ad8782b0134bbf3a1d2c25c699,pmpd,9m,RESEARCH_EXECUTABLE,scripts\pmpd\9m\build_9m_oos_research_frames_v1.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
build_a41_market_open_impulse_features_v1.py,.py,5965,904257f7ffa42e69ce2305b00aa41fbd0c6f47a939ff49b6482898130a061962,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a41_market_open_impulse_features_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a42_predeclared_opening_location_features_v1.py,.py,4007,1f6aaaa1dfbb80bd50cc66b18415e57db4751db4a2cf1300c78e5f1419429696,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a42_predeclared_opening_location_features_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a43_predeclared_opening_relative_strength_features_v1.py,.py,3019,f41dc1f8014f48cb6893260fca522d58e56b3ad907235020b3207f5da2888817,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a43_predeclared_opening_relative_strength_features_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a44_predeclared_prior_day_structure_features_v1.py,.py,2490,111b35a68b397e0e55efa79bddabe10f2d42c60ea327ce5dd3c7157da3fd6156,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a44_predeclared_prior_day_structure_features_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a45_predeclared_overnight_transition_features_v1.py,.py,3172,ef638aa6c5354bbdfc9b50f99b156df3f03daefdc8774bc7742c76dde50cb910,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a45_predeclared_overnight_transition_features_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a47_predeclared_entry_area_confluence_features_v1.py,.py,2874,4f769ccbb8ef3685287e7304d01de52179ec4c6be95b159e7054e02beb0023d2,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a47_predeclared_entry_area_confluence_features_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a49_predeclared_opening_liquidity_features_v1.py,.py,2693,7821261dc4bec22c7bbfbf41c2efd534ab0d0e24227532d71fcae882025664d2,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a49_predeclared_opening_liquidity_features_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a51_five_candidate_certified_matrix_and_independence_v1.py,.py,6403,f1d34184c213a4f1b1dc4bf321b44f23cb4c0b5c913994f9bb96bfd438ce5a3d,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a51_five_candidate_certified_matrix_and_independence_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a51_retained_v2_evidence_matrix_v1.py,.py,10821,93e0ecbc859e1a8ddd65d589cbcb3d6de876e88c89e83f0353056d37bceabbc8,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a51_retained_v2_evidence_matrix_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a51_retained_v2_evidence_matrix_v2.py,.py,5148,1f31d0a2cc70a1f23844392e1164cb0f5c00a9bb5117140fad5ed3876786bbc0,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a51_retained_v2_evidence_matrix_v2.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a51_retained_v2_evidence_matrix_v3.py,.py,5022,57ddcfedf3f954e2d9b07d51a67d7a23f95af7cf0c5ca881ed1e51d31a12253a,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a51_retained_v2_evidence_matrix_v3.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a51_retained_v2_evidence_matrix_v4.py,.py,5021,20e9aa6443736cc4bfeebc629094382c8ce199b8c7400bd8627777319e210909,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a51_retained_v2_evidence_matrix_v4.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a52_predeclared_v2_architecture_v1.py,.py,4904,1a35e54ec06e74824662fc3eb31b254ac4adec16e2db7f66da4deeaf5e1b658b,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a52_predeclared_v2_architecture_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a53_candidate_model_v2_prospective_protocol_v1.py,.py,5061,e4bf78d9456c675d2419d145b8084dac7d103ac2caf1cd3f16118b6f435c9cf4,unclassified,review,CANONICAL_OR_FROZEN,scripts\unclassified\review\build_a53_candidate_model_v2_prospective_protocol_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
build_a56_1e_ae2_parity_test_set_v1.py,.py,4744,ec6f7c1cc00a1268e24262d50bca7efa1d402c1e40a6b0de1c5b95bf34f2e06c,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\build_a56_1e_ae2_parity_test_set_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
certify_9m_2026_timestamp_coverage.py,.py,6075,b52c8a658b267749f3bef129c3c1f5fcbd360b6574eef1d5ad1670585d84e484,pmpd,9m,AUDIT_DIAGNOSTIC,scripts\pmpd\9m\certify_9m_2026_timestamp_coverage.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
certify_9n_v4_engine_semantics_v2.py,.py,4460,2e4400db49040c59d3813329c9137bcfc78e9027b29623129bf4887db5f78ed9,pmpd,9n,AUDIT_DIAGNOSTIC,scripts\pmpd\9n\certify_9n_v4_engine_semantics_v2.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
certify_9n_v4_reconstruction_static_v1.py,.py,1980,4651c6c0c845a7b3d211bebb7ff4f6c46f3d019f1ba75dd06719a6ee643b6f12,pmpd,9n,AUDIT_DIAGNOSTIC,scripts\pmpd\9n\certify_9n_v4_reconstruction_static_v1.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
certify_existing_v2.ps1,.ps1,6042,3bab2288647007f270bd470e62ba6f3de03c14625b5471da57281cfa87989e46,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\certify_existing_v2.ps1,0,,MANUAL_CLASSIFICATION_REQUIRED
certify_existing_v2.py,.py,5126,37dccf44aa6f31a0d5f9018d0db2c0f989d9cd84d35595715aab9359f4805628,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\certify_existing_v2.py,0,,MANUAL_CLASSIFICATION_REQUIRED
certify_existing_v2_v2.py,.py,7713,7776ba8e664f261db15bbf099b47df8adf4f33587bb90d660b73f077382035e7,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\certify_existing_v2_v2.py,0,,MANUAL_CLASSIFICATION_REQUIRED
certify_v2_full50.py,.py,10509,0e1c8de64c3d95c78584d252de49f232cf55d0ba823ca1cbc7e65a03024c7fee,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\certify_v2_full50.py,0,,MANUAL_CLASSIFICATION_REQUIRED
certify_v2_outcome_independence.py,.py,7799,9b69f03249e2a44eb14090f7e02af9faae053dafc1353002c703585fba0f3624,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\certify_v2_outcome_independence.py,0,,MANUAL_CLASSIFICATION_REQUIRED
cleanup_tradingresearch_root.py,.py,8550,9acb400f62e817cd06eac5a306547e554bff69266325dbeecfae852d7184e656,utilities,cleanup,RESEARCH_EXECUTABLE,scripts\utilities\cleanup\cleanup_tradingresearch_root.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
cleanup_tradingresearch_stage2.py,.py,6942,d80a4337cc4562582ab0a21d8c2a7b8825afd51375104c3d3263d78e02a19a1c,utilities,cleanup,RESEARCH_EXECUTABLE,scripts\utilities\cleanup\cleanup_tradingresearch_stage2.py,2,cleanup_tradingresearch_stage2.py | cleanup_tradingresearch_stage2_fixed.py,DEPENDENCY_REVIEW_REQUIRED
cleanup_tradingresearch_stage2_fixed.py,.py,6922,4e2c3ef0b039e5b4098b9597747645aeee1fbde894234ca0d0182e2957d30c3d,utilities,cleanup,PATCH_OR_FIX,scripts\utilities\cleanup\cleanup_tradingresearch_stage2_fixed.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
cleanup_tradingresearch_stage3_audit.py,.py,12962,407af47e4c429bfea52693a3233b08da8f91dbe410c6d0fefa2ec2db55788fb7,utilities,cleanup,AUDIT_DIAGNOSTIC,scripts\utilities\cleanup\cleanup_tradingresearch_stage3_audit.py,1,cleanup_tradingresearch_stage3_audit.py,DEPENDENCY_REVIEW_REQUIRED
derive_and_certify_dp4_structural_clearance.py,.py,7512,383a1f5fc98222685f9d271c6c5e34ed4da841a2346639a8743b38437d46da30,pmpd,legacy,AUDIT_DIAGNOSTIC,scripts\pmpd\legacy\derive_and_certify_dp4_structural_clearance.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
diagnose_9n_3h_vrtx_level_source.py,.py,3566,5346ea13353279282278cbd4aa0e8bb769b2b5394f9d2b7d0a0efda2bce2c562,pmpd,9n,AUDIT_DIAGNOSTIC,scripts\pmpd\9n\diagnose_9n_3h_vrtx_level_source.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
diagnose_a37_cluster_span_parity_v1.py,.py,3142,30ca9f274cc8fa9c1e246007529635ed7b9bb7f8247ff2e9ae286c5590db148d,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\diagnose_a37_cluster_span_parity_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
diagnose_v2_export_schema.py,.py,1703,53e92a4aaba16c84d3e82eb27c4bd4cf6ae5759983dd9207c13ebe50930fd81b,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\diagnose_v2_export_schema.py,0,,MANUAL_CLASSIFICATION_REQUIRED
diagnose_v2_runtime_vs_artifact.py,.py,3077,7669230023b3f97d9d87288145b33afac55246a80fca430f63489f51b9694d80,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\diagnose_v2_runtime_vs_artifact.py,0,,MANUAL_CLASSIFICATION_REQUIRED
diagnose_v2_runtime_vs_artifact_v2.py,.py,3358,7dc806bbe59e78a81610799165c757545592b8a842e0ff81c8a60061f46a9396,unclassified,review,AUDIT_DIAGNOSTIC,scripts\unclassified\review\diagnose_v2_runtime_vs_artifact_v2.py,0,,MANUAL_CLASSIFICATION_REQUIRED
evaluate_a52_frozen_v2_architecture_outcomes_v1.py,.py,2757,cda5330b7e1534997017503579ff51741908a1cd9cb7102a79f8c102d0647bdd,unclassified,review,CANONICAL_OR_FROZEN,scripts\unclassified\review\evaluate_a52_frozen_v2_architecture_outcomes_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
evaluate_a52_v2_robustness_v1.py,.py,2706,72b706bfc3e0fff7bee73501391c78ee43333407ab96e65ad38be33027384c1b,unclassified,review,RESEARCH_EXECUTABLE,scripts\unclassified\review\evaluate_a52_v2_robustness_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
extract_9n_v4_source_semantics_utf8_v1.py,.py,6141,043744687280b29504942054da750b686bae885d46e34881c2de4122774ed393,pmpd,9n,UTILITY_OR_UNKNOWN,scripts\pmpd\9n\extract_9n_v4_source_semantics_utf8_v1.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
extract_9n_v4_source_semantics_v1.py,.py,4083,77678be135de0a1c71b11d4b8b38e384a5d41db0f135a3d447816f66c656e11f,pmpd,9n,UTILITY_OR_UNKNOWN,scripts\pmpd\9n\extract_9n_v4_source_semantics_v1.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
extract_a51_a39_original_predictor_bucketing_scope_v1.py,.py,1317,497325b5701410e0c09babbea4433def99f3467f6a79590126793eab1c608572,unclassified,review,UTILITY_OR_UNKNOWN,scripts\unclassified\review\extract_a51_a39_original_predictor_bucketing_scope_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
extract_a51_original_frozen_candidate_definitions_v1.py,.py,1533,aa6061873002095d588fcee98789d87a137f9aedbd5d3c87f138886cd26182e0,unclassified,review,CANONICAL_OR_FROZEN,scripts\unclassified\review\extract_a51_original_frozen_candidate_definitions_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
find_altc2_latest_available_date_v1.py,.py,6093,d6f0a1c3ff101cb008d1d2f2af93fbae832445662274e5d71958c934b73dbef6,unclassified,review,UTILITY_OR_UNKNOWN,scripts\unclassified\review\find_altc2_latest_available_date_v1.py,0,,MANUAL_CLASSIFICATION_REQUIRED
find_vrtx_massive_partition.py,.py,795,62c9c1bfbeed3919f1032808facb4a139077d7ce4a3d8e892548efe993c033e7,market_data,utilities,UTILITY_OR_UNKNOWN,scripts\market_data\utilities\find_vrtx_massive_partition.py,0,,MOVE_CANDIDATE_AFTER_REVIEW
freeze_9j_vwap_v2_validation_protocol.py,.py,5110,2316a9d57abf49b86b205f4b89f30bc5e0b66e688eb6402721a18e69b5294dfe,pmpd,9j,CANONICAL_OR_FROZEN,scripts\pmpd\9j\freeze_9j_vwap_v2_validation_protocol.py,0,,PROVENANCE_REVIEW_REQUIRED
