warning_feature,warning_state,context_feature,context_state,effect_type,total_n,symbol_n,top1_n,top1_share_pct,top5_n,top5_share_pct,top10_n,top10_share_pct
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,pd_level_structure_state,ALREADY_BEYOND_AT_C1_OPEN,RESCUE_CONTEXT,271,101,7,2.5830258302583027,32,11.808118081180812,59,21.771217712177123
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,pd_level_structure_state,C1_BREAK_HELD_THROUGH_C2,RESCUE_CONTEXT,96,66,4,4.166666666666667,16,16.666666666666668,29,30.208333333333332
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,pd_level_structure_state,C2_BREAK,ESCALATION_CONTEXT,108,69,4,3.7037037037037037,18,16.666666666666668,32,29.62962962962963
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,pd_level_structure_state,NOT_CLEARED,ESCALATION_CONTEXT,977,112,21,2.1494370522006143,85,8.700102354145343,155,15.86489252814739
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,c2_break_count_state,MULTIPLE_C2_LEVEL_BREAKS,ESCALATION_CONTEXT,117,73,6,5.128205128205129,19,16.23931623931624,34,29.05982905982906
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,c2_break_count_state,NO_C2_LEVEL_BREAK,RESCUE_CONTEXT,1077,112,27,2.5069637883008355,102,9.470752089136491,175,16.248839368616526
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,c2_break_count_state,ONE_C2_LEVEL_BREAK,ESCALATION_CONTEXT,304,97,8,2.6315789473684212,36,11.842105263157896,64,21.05263157894737
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,relevant_level_cluster_state,MODERATE_CLUSTER,ESCALATION_CONTEXT,848,111,18,2.1226415094339623,77,9.080188679245284,137,16.15566037735849
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,relevant_level_cluster_state,WIDE_CLUSTER,RESCUE_CONTEXT,441,101,17,3.854875283446712,66,14.965986394557824,111,25.170068027210885
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,nearest_ahead_level,AH,ESCALATION_CONTEXT,302,103,7,2.3178807947019866,31,10.264900662251655,56,18.543046357615893
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,nearest_ahead_level,NONE_AHEAD,RESCUE_CONTEXT,337,106,8,2.373887240356083,35,10.385756676557863,64,18.991097922848663
