warning_feature,warning_state,context_feature,context_state,effect_type,symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,OXY,8,8,2,6,0,0,25.0,1.0155066315654007,1.848588088265056,0.8119361733938851,1.5774369230402145,1,8
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,PANW,3,3,0,3,0,0,0.0,1.392313981633445,1.7003063561693572,1.8192154633314317,1.6968867601778923,1,3
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,PEP,2,2,1,1,0,0,50.0,0.8157374292560476,1.0508052335734472,0.8157374292560476,1.0508052335734472,1,2
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,PFE,1,1,1,0,0,0,100.0,2.4500090073860554,0.27022158169698896,2.4500090073860554,0.27022158169698896,1,1
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,PLTR,3,3,1,2,0,0,33.333333333333336,0.5589119892691002,3.4290898888510823,0.5400936897216965,2.6055157702270426,1,3
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,PYPL,4,4,1,3,0,0,25.0,1.1187732677926205,1.789021912507918,0.9100571476371344,1.4965221475030681,1,4
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,QCOM,5,5,1,4,0,0,20.0,1.656242472436902,1.298595123034741,1.1774659803990604,1.1007295533085877,1,5
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,QQQ,1,1,0,1,0,0,0.0,0.5376478949788924,1.143024373928663,0.5376478949788924,1.143024373928663,1,1
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,RBLX,5,5,1,4,0,0,20.0,2.4957358388712723,1.6200090454083633,1.7010358262852858,1.4729639836548487,1,5
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,RTX,2,2,1,1,0,0,50.0,1.5658178311699928,1.694526398647218,1.5658178311699928,1.694526398647218,1,2
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,SBUX,8,8,3,5,0,0,37.5,1.4506629353954135,1.2646432562618646,0.9272814757902381,1.2702808207979066,1,8
