warning_feature,warning_state,context_feature,context_state,effect_type,validation_subperiod,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
warning_c3_state,C3_ADVERSE_WARNING,weekday,FRIDAY,ESCALATION_CONTEXT,VALIDATION_NEWER,164,162,35,127,2,0,21.604938271604937,1.7095492854647862,1.9222935902354383,1.126078694081116,1.234417006211964,86,14
warning_c3_state,C3_ADVERSE_WARNING,weekday,TUESDAY,ESCALATION_CONTEXT,VALIDATION_OLDER,207,206,57,149,1,0,27.66990291262136,1.2943375327345448,1.8257479243350847,0.8790343741800075,1.256983240223457,94,16
warning_c3_state,C3_ADVERSE_WARNING,weekday,TUESDAY,ESCALATION_CONTEXT,VALIDATION_NEWER,224,220,48,172,2,2,21.818181818181817,1.3808397643414991,1.716737069402029,0.7625354198031646,1.3776605347162851,98,17
warning_c3_state,C3_ADVERSE_WARNING,weekday,WEDNESDAY,RESCUE_CONTEXT,VALIDATION_OLDER,209,208,59,149,1,0,28.365384615384617,1.3570619384068565,1.6121003177634534,0.9330442210395007,1.2533819225884721,99,16
warning_c3_state,C3_ADVERSE_WARNING,weekday,WEDNESDAY,RESCUE_CONTEXT,VALIDATION_NEWER,237,229,65,164,4,4,28.38427947598253,1.5754776844856544,1.8128181489072526,1.170731707317067,1.3436293436293507,101,17
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_FAVORABLE,RESCUE_CONTEXT,VALIDATION_OLDER,812,797,217,580,13,2,27.22710163111669,1.3341549741094394,1.671900128815216,0.800514436295938,1.2818565773226025,111,79
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_FAVORABLE,RESCUE_CONTEXT,VALIDATION_NEWER,727,710,172,538,15,2,24.225352112676056,1.4279909874157233,1.874485124628091,0.9304386353566783,1.3746536725243694,112,80
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_OPPOSING,ESCALATION_CONTEXT,VALIDATION_OLDER,247,244,63,181,1,2,25.81967213114754,1.3575134308577077,1.640917832403121,0.9537448960936057,1.250138289633804,93,65
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_OPPOSING,ESCALATION_CONTEXT,VALIDATION_NEWER,304,297,71,226,2,5,23.905723905723907,1.634563264267029,1.9593687495926755,1.022743947852767,1.3435094281522049,96,79
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,NONE_CLEARED,ESCALATION_CONTEXT,VALIDATION_OLDER,238,235,39,196,1,2,16.595744680851062,1.032697743095477,1.8105650111024036,0.6223164679626306,1.4245825937411878,95,71
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,NONE_CLEARED,ESCALATION_CONTEXT,VALIDATION_NEWER,283,277,38,239,2,4,13.71841155234657,1.4330572506316357,2.052845002192127,0.824066865461171,1.460823373173977,98,77
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,ONE_OF_3_CLEARED,RESCUE_CONTEXT,VALIDATION_OLDER,170,168,33,135,2,0,19.642857142857142,1.4165825049552259,1.7201376338749115,0.8308279825291377,1.3746034417098196,84,67
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,ONE_OF_3_CLEARED,RESCUE_CONTEXT,VALIDATION_NEWER,133,128,19,109,3,2,14.84375,1.2930571290981254,2.0655158827388536,0.8106236506578716,1.3436293436293507,74,66
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,VALIDATION_OLDER,224,219,32,187,4,1,14.61187214611872,1.1470784589385603,1.7200730915174092,0.7003361788580857,1.338137799783544,97,74
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,VALIDATION_NEWER,184,181,30,151,3,0,16.574585635359117,1.0914593626823377,2.002875027337423,0.5627056935913373,1.6402161740801724,92,72
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C1_BREAK_HELD_THROUGH_C2,RESCUE_CONTEXT,VALIDATION_OLDER,58,56,9,47,2,0,16.071428571428573,1.3066004320806979,1.9116209530654673,0.6692608235502553,1.4089283486213415,45,40
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C1_BREAK_HELD_THROUGH_C2,RESCUE_CONTEXT,VALIDATION_NEWER,49,49,10,39,0,0,20.408163265306122,1.5993900440915667,1.9124706939977436,0.9563062958760727,1.6901631972915034,38,34
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C2_BREAK,ESCALATION_CONTEXT,VALIDATION_OLDER,46,46,11,35,0,0,23.91304347826087,1.0050032808198517,1.6666617349905888,0.6663113758087442,1.2507288933146326,37,34
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C2_BREAK,ESCALATION_CONTEXT,VALIDATION_NEWER,68,67,5,62,1,0,7.462686567164179,1.241473934602971,1.9114128323204636,0.6304849009475323,1.6934124036703733,51,43
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,NOT_CLEARED,RESCUE_CONTEXT,VALIDATION_OLDER,522,517,89,428,3,2,17.214700193423596,1.2053812486848243,1.7619500246440902,0.7398092957414095,1.4108714379173546,112,78
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,NOT_CLEARED,RESCUE_CONTEXT,VALIDATION_NEWER,520,508,71,437,6,6,13.976377952755906,1.2571923961520106,2.091136016100995,0.6986173365475203,1.5418332281802019,110,80
warning_c3_c4_state,C3_C4_ADVERSE,c2_break_count_state,MULTIPLE_C2_LEVEL_BREAKS,ESCALATION_CONTEXT,VALIDATION_OLDER,62,61,11,50,1,0,18.0327868852459,1.0370900278528934,1.6731373477822413,0.6358264453832281,1.3876710348211168,53,39
warning_c3_c4_state,C3_C4_ADVERSE,c2_break_count_state,MULTIPLE_C2_LEVEL_BREAKS,ESCALATION_CONTEXT,VALIDATION_NEWER,69,68,5,63,1,0,7.352941176470588,1.0290928095816962,2.135300963721194,0.5344636933284173,1.777233736380782,50,47
warning_c3_c4_state,C3_C4_ADVERSE,c2_break_count_state,NO_C2_LEVEL_BREAK,RESCUE_CONTEXT,VALIDATION_OLDER,590,577,102,475,9,4,17.677642980935875,1.2093932235575764,1.7584072331438099,0.7492381095459051,1.3470572462670387,112,79
warning_c3_c4_state,C3_C4_ADVERSE,c2_break_count_state,NO_C2_LEVEL_BREAK,RESCUE_CONTEXT,VALIDATION_NEWER,566,554,85,469,7,5,15.342960288808664,1.3783691236781606,2.0343302320674894,0.7974191572715112,1.4539308839630256,109,80
warning_c3_c4_state,C3_C4_ADVERSE,c2_break_count_state,ONE_C2_LEVEL_BREAK,ESCALATION_CONTEXT,VALIDATION_OLDER,180,180,24,156,0,0,13.333333333333334,1.281308919659262,1.8056806690147444,0.7352395549419392,1.3950783024196531,88,71
warning_c3_c4_state,C3_C4_ADVERSE,c2_break_count_state,ONE_C2_LEVEL_BREAK,ESCALATION_CONTEXT,VALIDATION_NEWER,156,153,21,132,2,1,13.72549019607843,1.1503737957124887,2.0240681130202676,0.5793952971022153,1.59955965724758,80,68
warning_c3_c4_state,C3_C4_ADVERSE,relevant_level_cluster_state,MODERATE_CLUSTER,RESCUE_CONTEXT,VALIDATION_OLDER,475,470,71,399,3,2,15.106382978723405,1.0350017977248864,1.6511756135999047,0.625362645864243,1.2799674928890747,107,79
warning_c3_c4_state,C3_C4_ADVERSE,relevant_level_cluster_state,MODERATE_CLUSTER,RESCUE_CONTEXT,VALIDATION_NEWER,435,431,78,353,2,2,18.097447795823665,1.097314574691729,1.845716771227917,0.6004454547541983,1.4121779859484713,111,80
warning_c3_c4_state,C3_C4_ADVERSE,relevant_level_cluster_state,TIGHT_CLUSTER,RESCUE_CONTEXT,VALIDATION_OLDER,119,117,30,87,0,2,25.641025641025642,0.9725694240396141,1.2709929208549458,0.6377202028918463,1.0685454807553811,67,57
warning_c3_c4_state,C3_C4_ADVERSE,relevant_level_cluster_state,TIGHT_CLUSTER,RESCUE_CONTEXT,VALIDATION_NEWER,109,105,14,91,0,4,13.333333333333334,0.885471963020003,1.4833489257972354,0.5070932689405393,1.1811023622047139,63,55
warning_c3_c4_state,C3_C4_ADVERSE,relevant_level_cluster_state,WIDE_CLUSTER,ESCALATION_CONTEXT,VALIDATION_OLDER,238,231,36,195,7,0,15.584415584415584,1.6853595537163084,2.2296669306651578,1.1653331303096541,1.890290008056137,86,76
warning_c3_c4_state,C3_C4_ADVERSE,relevant_level_cluster_state,WIDE_CLUSTER,ESCALATION_CONTEXT,VALIDATION_NEWER,247,239,19,220,8,0,7.949790794979079,1.84928889082608,2.63137439304486,1.2949982178923647,2.0194511552995222,87,75
