warning_feature,warning_state,context_feature,context_state,effect_type,research_period,direction,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
warning_c3_state,C3_ADVERSE_WARNING,weekday,FRIDAY,ESCALATION_CONTEXT,VALIDATION,BULL,203,196,39,157,6,1,19.897959183673468,1.5776588854480142,1.9586890127560856,0.972590627763049,1.2844006130472319,88,30
warning_c3_state,C3_ADVERSE_WARNING,weekday,TUESDAY,ESCALATION_CONTEXT,DISCOVERY,BEAR,223,222,55,167,1,0,24.774774774774773,1.1074626178012899,1.6326161804405075,0.7714211752523992,1.3563710040522268,98,32
warning_c3_state,C3_ADVERSE_WARNING,weekday,TUESDAY,ESCALATION_CONTEXT,DISCOVERY,BULL,244,237,80,157,0,7,33.755274261603375,1.0115443674013134,1.254144607581581,0.696698865524682,1.0243389522890594,97,32
warning_c3_state,C3_ADVERSE_WARNING,weekday,TUESDAY,ESCALATION_CONTEXT,VALIDATION,BEAR,208,206,51,155,1,1,24.75728155339806,1.336642771333025,1.6913659856836187,0.7625354198031646,1.259642348477612,97,33
warning_c3_state,C3_ADVERSE_WARNING,weekday,TUESDAY,ESCALATION_CONTEXT,VALIDATION,BULL,223,220,54,166,2,1,24.545454545454547,1.3417680719788228,1.8415910262835171,0.9094306714837392,1.3110455588331726,100,30
warning_c3_state,C3_ADVERSE_WARNING,weekday,WEDNESDAY,RESCUE_CONTEXT,DISCOVERY,BEAR,249,242,76,166,0,7,31.40495867768595,1.0071864481084116,1.3231841188053035,0.6549195161443844,1.0361794500723542,101,33
warning_c3_state,C3_ADVERSE_WARNING,weekday,WEDNESDAY,RESCUE_CONTEXT,DISCOVERY,BULL,205,202,71,131,1,2,35.148514851485146,1.1471852256380084,1.3427650819540038,0.7252100236949744,0.9379187783847859,91,33
warning_c3_state,C3_ADVERSE_WARNING,weekday,WEDNESDAY,RESCUE_CONTEXT,VALIDATION,BEAR,231,226,71,155,2,3,31.41592920353982,1.6616495325588512,1.693760894652949,1.1903637222484564,1.2136752136752151,97,33
warning_c3_state,C3_ADVERSE_WARNING,weekday,WEDNESDAY,RESCUE_CONTEXT,VALIDATION,BULL,215,211,53,158,3,1,25.118483412322274,1.2705726247862252,1.745619074598834,0.9288824383164014,1.3260530421216843,98,33
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_FAVORABLE,RESCUE_CONTEXT,DISCOVERY,BEAR,799,784,222,562,4,11,28.316326530612244,1.0897274219469113,1.4942667712091176,0.7078208401021276,1.1499959714210475,112,151
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_FAVORABLE,RESCUE_CONTEXT,DISCOVERY,BULL,822,810,266,544,2,10,32.839506172839506,1.0273025319379012,1.4166121770356783,0.6958922615399629,1.0507051590673062,112,155
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_FAVORABLE,RESCUE_CONTEXT,VALIDATION,BEAR,740,730,194,536,10,0,26.575342465753426,1.382888706639528,1.744627409578169,0.8691945008123847,1.3481299620879272,111,154
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_FAVORABLE,RESCUE_CONTEXT,VALIDATION,BULL,799,777,195,582,18,4,25.096525096525095,1.3744000549622593,1.7888727247994147,0.8643357020536359,1.2844006130472319,112,148
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_OPPOSING,ESCALATION_CONTEXT,DISCOVERY,BEAR,287,278,85,193,1,8,30.575539568345324,1.110678355185304,1.390491472453137,0.7125330313325741,1.0165766095796314,99,114
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_OPPOSING,ESCALATION_CONTEXT,DISCOVERY,BULL,202,197,51,146,0,5,25.888324873096447,0.9824076259158772,1.4476101176405736,0.6293251931688598,1.1108211460601947,85,93
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_OPPOSING,ESCALATION_CONTEXT,VALIDATION,BEAR,259,252,71,181,2,5,28.174603174603174,1.5546511791261837,1.7606108483680845,1.0264416688812097,1.256983240223457,96,107
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_OPPOSING,ESCALATION_CONTEXT,VALIDATION,BULL,292,289,63,226,1,2,21.79930795847751,1.4710903916621538,1.8662897080561993,0.9607233410706397,1.3273974547058143,100,110
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,NONE_CLEARED,ESCALATION_CONTEXT,DISCOVERY,BEAR,261,256,51,205,1,4,19.921875,1.027426333166271,1.4826515575879153,0.6167653236585839,1.0775147928994127,99,115
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,NONE_CLEARED,ESCALATION_CONTEXT,DISCOVERY,BULL,203,196,47,149,0,7,23.979591836734695,0.828190582353294,1.5598064132595713,0.5440928235467536,1.1009280742459409,88,103
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,NONE_CLEARED,ESCALATION_CONTEXT,VALIDATION,BEAR,243,239,36,203,1,3,15.06276150627615,1.2022083179211465,1.9145824725182616,0.7456670697299426,1.428232984736173,99,112
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,NONE_CLEARED,ESCALATION_CONTEXT,VALIDATION,BULL,278,273,41,232,2,3,15.018315018315018,1.2920886457936613,1.9662808181323976,0.7796007402206976,1.4779173179034057,102,115
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,ONE_OF_3_CLEARED,RESCUE_CONTEXT,DISCOVERY,BEAR,181,178,41,137,0,3,23.03370786516854,0.9442946698652216,1.617504053040666,0.6026481326705689,1.0781671159029593,94,95
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,ONE_OF_3_CLEARED,RESCUE_CONTEXT,DISCOVERY,BULL,160,157,40,117,1,2,25.477707006369428,0.9878938970460445,1.5790137271393807,0.6819667828814108,1.1764944513554425,86,93
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,ONE_OF_3_CLEARED,RESCUE_CONTEXT,VALIDATION,BEAR,149,147,24,123,1,1,16.3265306122449,1.2381177836063906,1.9866149216946116,0.7165116120373899,1.6627543035993626,80,89
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,ONE_OF_3_CLEARED,RESCUE_CONTEXT,VALIDATION,BULL,154,149,28,121,4,1,18.79194630872483,1.4825719107473174,1.7605934209773078,1.059462061008383,1.2176474921178246,80,94
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,DISCOVERY,BEAR,243,239,43,196,1,3,17.99163179916318,1.042964834922465,1.5894890559515467,0.5701929365598437,1.2793110279321436,92,116
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,DISCOVERY,BULL,241,238,56,182,0,3,23.529411764705884,0.8681909380993323,1.5075475913689897,0.5267453075154003,1.09011627906977,99,108
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,VALIDATION,BEAR,187,185,31,154,2,0,16.756756756756758,1.1734668915368787,1.7031614362265495,0.614926764552959,1.4405160805436454,88,98
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,VALIDATION,BULL,221,215,31,184,5,1,14.418604651162791,1.0784424833411375,1.969837959075207,0.661813368630049,1.5064869416913282,101,101
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C1_BREAK_HELD_THROUGH_C2,RESCUE_CONTEXT,DISCOVERY,BEAR,56,56,10,46,0,0,17.857142857142858,1.057209438312109,1.611083101883406,0.6540338980904759,1.2456331797132087,45,45
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C1_BREAK_HELD_THROUGH_C2,RESCUE_CONTEXT,DISCOVERY,BULL,56,55,19,36,1,0,34.54545454545455,1.0473521907079253,1.470582969523504,1.002845753499999,1.0750926906290719,40,47
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C1_BREAK_HELD_THROUGH_C2,RESCUE_CONTEXT,VALIDATION,BEAR,51,50,12,38,1,0,24.0,1.96930230226174,1.7784903164374695,1.5838399316854739,1.399988333430558,35,40
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C1_BREAK_HELD_THROUGH_C2,RESCUE_CONTEXT,VALIDATION,BULL,56,55,7,48,1,0,12.727272727272727,0.9592592822467587,2.0336084490245647,0.5003429474199158,1.6619366932156774,45,44
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C2_BREAK,ESCALATION_CONTEXT,DISCOVERY,BEAR,66,65,11,54,0,1,16.923076923076923,0.989221472444174,1.5249304361998783,0.7305350692730551,1.2429315587524425,53,45
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C2_BREAK,ESCALATION_CONTEXT,DISCOVERY,BULL,62,60,11,49,0,2,18.333333333333332,1.0637903865548564,1.8353427869072734,0.5126432214513175,1.2460052584965393,45,45
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C2_BREAK,ESCALATION_CONTEXT,VALIDATION,BEAR,58,58,8,50,0,0,13.793103448275861,1.269367631986887,1.8851546918380864,0.6779570384163437,1.7640315382972864,44,42
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C2_BREAK,ESCALATION_CONTEXT,VALIDATION,BULL,56,55,8,47,1,0,14.545454545454545,1.0183402824192098,1.7375632192991002,0.6358264453832281,1.2575757856087113,49,45
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,NOT_CLEARED,RESCUE_CONTEXT,DISCOVERY,BEAR,616,606,123,483,1,9,20.297029702970296,1.0001770737601174,1.5383674406655674,0.5944117209188562,1.1177043442704693,111,145
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,NOT_CLEARED,RESCUE_CONTEXT,DISCOVERY,BULL,523,513,125,388,0,10,24.366471734892787,0.9084214890710116,1.4820497064835378,0.5936161930712472,1.0884965116167284,110,138
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,NOT_CLEARED,RESCUE_CONTEXT,VALIDATION,BEAR,486,479,76,403,3,4,15.866388308977035,1.167051791350134,1.9348911066944405,0.6619005066267469,1.4999399918703302,111,140
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,NOT_CLEARED,RESCUE_CONTEXT,VALIDATION,BULL,556,546,84,462,6,4,15.384615384615385,1.2873415237704298,1.91865389097704,0.7925610528464456,1.4179018746402732,110,143
