symbol,trend_5d_binary_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
FDX,ALIGNED,23,22,13,9,1,0,59.09090909090909,8,34.78260869565217,1.4609277725530443,0.9495744767632679,1.137816813048933,0.5578678465982787,1,23
FDX,OPPOSING,21,21,14,7,0,0,66.66666666666667,13,61.904761904761905,1.3635616100426495,1.2087336780101468,1.3857589810726276,0.6202499701151576,1,21
FDX,UNKNOWN,2,2,2,0,0,0,100.0,1,50.0,1.1145826592471688,0.5385554288104722,1.1145826592471688,0.5385554288104722,1,2
GE,ALIGNED,31,31,16,15,0,0,51.61290322580645,14,45.16129032258065,1.4292200628762783,1.2791680394461986,1.1222760899833824,1.082727725236437,1,31
GE,OPPOSING,34,34,15,19,0,0,44.11764705882353,16,47.05882352941177,1.2764760224787257,1.3871339843003536,0.833902554057163,1.2930708141121876,1,34
GE,UNKNOWN,1,1,1,0,0,0,100.0,0,0.0,0.9871668716687189,0.38130381303813315,0.9871668716687189,0.38130381303813315,1,1
GILD,ALIGNED,22,22,9,13,0,0,40.90909090909091,10,45.45454545454545,1.1518449728167905,1.144468996440586,0.8716785714498541,0.9070115465429966,1,22
GILD,OPPOSING,37,37,22,15,0,0,59.45945945945946,23,62.16216216216216,1.043059196530498,1.2933620153489105,0.7554296506137896,1.020334842279218,1,37
GOOG,ALIGNED,42,42,20,22,0,0,47.61904761904762,18,42.857142857142854,1.1130325192902646,1.0656680566349102,0.9216186737817494,0.8644047937779129,1,42
GOOG,OPPOSING,45,45,29,16,0,0,64.44444444444444,27,60.0,1.6055161144450485,0.871679898382175,1.1710333198013927,0.5597520238345892,1,45
GS,ALIGNED,44,44,19,25,0,0,43.18181818181818,16,36.36363636363637,1.110896942120468,1.3653415858112348,0.8087140296534395,1.1997679076037566,1,44
GS,OPPOSING,43,43,19,24,0,0,44.18604651162791,19,44.18604651162791,1.049941181255901,1.333182900203466,0.6896590614321009,1.1463718350250975,1,43
HAL,ALIGNED,31,31,16,15,0,0,51.61290322580645,13,41.935483870967744,1.2731300452214405,1.6531469630695796,1.0893246187363732,1.2391863455693268,1,31
HAL,OPPOSING,32,31,17,14,1,0,54.83870967741935,15,46.875,1.1530582821213806,1.5156620417151379,0.9948002262263593,1.0724726579533947,1,32
HAL,UNKNOWN,3,3,3,0,0,0,100.0,3,100.0,1.69075868277152,0.7419503575220853,1.9337016574585715,0.9289480291237875,1,3
HD,ALIGNED,38,38,16,22,0,0,42.10526315789474,21,55.26315789473684,1.0269677211658905,1.090261114413261,0.8881679538943743,0.8199243899295006,1,38
HD,OPPOSING,31,31,16,15,0,0,51.61290322580645,15,48.38709677419355,0.9952746277902883,1.0178222974955842,0.5735465194924667,0.8168159166697988,1,31
HD,UNKNOWN,1,1,1,0,0,0,100.0,1,100.0,1.1947839147948385,0.27718986823239883,1.1947839147948385,0.27718986823239883,1,1
HON,ALIGNED,33,33,15,18,0,0,45.45454545454545,17,51.515151515151516,0.9043944696441626,0.8101016924731047,0.6766829958082926,0.7868056752968079,1,33
HON,OPPOSING,21,21,15,6,0,0,71.42857142857143,12,57.142857142857146,1.2239910889318009,1.1897766977153639,0.9387892565462735,0.6715466466788264,1,21
HON,UNKNOWN,3,3,3,0,0,0,100.0,2,66.66666666666667,0.7238413041583107,0.8130105830835963,0.6983505203294145,0.5047124501217747,1,3
HOOD,ALIGNED,53,50,25,25,3,0,50.0,30,56.60377358490566,2.693431818594237,2.6793884510478105,2.1863305101437986,2.415029800550292,1,53
HOOD,OPPOSING,43,42,25,17,1,0,59.523809523809526,23,53.48837209302326,2.664133654822692,2.557116550951261,2.017570407734344,1.6744550709667665,1,43
HOOD,UNKNOWN,2,2,2,0,0,0,100.0,2,100.0,3.102008206594668,1.7996872273955469,3.102008206594668,1.7996872273955469,1,2
IBM,ALIGNED,34,34,22,12,0,0,64.70588235294117,16,47.05882352941177,1.669858518128184,1.0079824519788794,1.4364022338184823,0.8577651494428993,1,34
IBM,FLAT,1,1,0,1,0,0,0.0,0,0.0,0.0,3.226036431041248,0.0,3.226036431041248,1,1
IBM,OPPOSING,32,31,16,15,0,1,51.61290322580645,14,43.75,1.3857164640371704,1.2270506717810796,0.9494583142353262,0.9612887564474,1,32
IBM,UNKNOWN,3,3,1,2,0,0,33.333333333333336,2,66.66666666666667,0.5312284865747721,0.9475336566855305,0.21525946997328796,1.3606751770825998,1,3
INTC,ALIGNED,56,56,30,26,0,0,53.57142857142857,28,50.0,3.136646575110642,1.9850510828411283,2.2990518129738273,1.2901506064240982,1,56
INTC,OPPOSING,51,51,23,28,0,0,45.09803921568628,20,39.21568627450981,2.2984320394459083,2.4739260636568727,1.8530489118724403,1.5729368670545227,1,51
INTC,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.3503230868411455,1.2988440837377035,0.3503230868411455,1.2988440837377035,1,1
ISRG,ALIGNED,28,28,14,14,0,0,50.0,14,50.0,1.1753932114286505,1.2354744553710084,0.7031331059372827,0.8338632415129377,1,28
ISRG,OPPOSING,32,32,16,16,0,0,50.0,17,53.125,1.3666551327219219,1.309209010140754,0.9237450387322763,0.6806318819002843,1,32
IWM,ALIGNED,55,48,24,24,0,7,50.0,24,43.63636363636363,0.6461394844449406,0.7633156965950061,0.5184813513965585,0.5745903383698675,1,55
IWM,OPPOSING,46,42,22,20,0,4,52.38095238095238,23,50.0,0.7935876505334456,0.7463402070814082,0.6825990804836365,0.42033420368579255,1,46
IWM,UNKNOWN,3,3,2,1,0,0,66.66666666666667,3,100.0,0.9194981207902752,0.43313765415317146,0.9590699927343134,0.004985790497078778,1,3
JNJ,ALIGNED,43,40,18,22,0,3,45.0,17,39.53488372093023,0.7060991838211542,0.8645161179365819,0.47518585387136614,0.7813953488372124,1,43
JNJ,OPPOSING,28,28,13,15,0,0,46.42857142857143,12,42.857142857142854,0.7230519567768557,0.8708552567825697,0.5797506170806925,0.7066352974935488,1,28
