quarter,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
2025Q3,MODERATE_ALIGNED,224,220,88,132,1,3,40.0,78,34.82142857142857,0.958724726089046,1.2966573435166515,0.7386600142932663,0.9725656925408015,95,60,BEAR
2025Q3,MODERATE_OPPOSING,277,265,118,147,3,9,44.528301886792455,122,44.04332129963899,0.9986731053520892,1.170381762115872,0.7427666998054078,0.854657631232931,100,64,BEAR
2025Q3,STRONG_ALIGNED,132,130,58,72,1,1,44.61538461538461,41,31.060606060606062,1.1809827327559115,1.451879134162865,0.9178745276609901,1.0547887430900849,71,55,BEAR
2025Q3,STRONG_OPPOSING,222,218,101,117,3,1,46.330275229357795,92,41.44144144144144,1.3189516987056644,1.3561609348350583,0.9704971483861695,0.8897808873518727,84,63,BEAR
2025Q3,MODERATE_ALIGNED,242,236,114,122,0,6,48.30508474576271,105,43.388429752066116,1.1276120450893536,1.0608454209436777,0.8181622339056821,0.8234280520653864,100,62,BULL
2025Q3,MODERATE_OPPOSING,231,229,110,119,1,1,48.03493449781659,109,47.18614718614719,1.1091893439283373,1.1033528936455095,0.8507621410847205,0.8333942539659233,96,58,BULL
2025Q3,STRONG_ALIGNED,165,162,87,75,0,3,53.7037037037037,83,50.303030303030305,1.5181069835619605,1.3527256804245171,1.06871745627034,0.9574944071588307,70,57,BULL
2025Q3,STRONG_OPPOSING,132,130,67,63,0,2,51.53846153846154,55,41.666666666666664,1.1677573193654132,1.3670417220084083,0.8956597726795181,0.9786850341581523,69,47,BULL
2025Q4,FLAT,1,1,1,0,0,0,100.0,0,0.0,1.375475563359669,0.8892512228772145,1.375475563359669,0.8892512228772145,1,1,BEAR
2025Q4,MODERATE_ALIGNED,249,244,131,113,1,4,53.68852459016394,119,47.791164658634536,1.4012726106167528,1.1551780648278065,1.0905467559423188,0.7688333449696333,101,61,BEAR
2025Q4,MODERATE_OPPOSING,233,220,121,99,1,12,55.0,110,47.21030042918455,1.3485274697578225,1.1048174364776888,0.9375743634488726,0.755688423849856,96,57,BEAR
2025Q4,STRONG_ALIGNED,147,146,72,74,0,1,49.31506849315068,67,45.57823129251701,2.020424364154021,1.3713247027828461,1.6145379344695971,0.9871229975749028,70,51,BEAR
2025Q4,STRONG_OPPOSING,184,183,95,88,1,0,51.91256830601093,88,47.82608695652174,1.6730957226552439,1.5743906196148278,1.1547484730581186,1.0836987874926924,81,56,BEAR
2025Q4,MODERATE_ALIGNED,292,276,146,130,1,15,52.89855072463768,129,44.178082191780824,1.0634071774425138,1.1567157758502653,0.7526845613402647,0.7671617033103542,96,59,BULL
2025Q4,MODERATE_OPPOSING,244,235,134,101,0,9,57.02127659574468,132,54.09836065573771,1.1138059388756854,1.1028881225636933,0.7202476771198216,0.7851952890416274,92,63,BULL
2025Q4,STRONG_ALIGNED,209,207,94,113,0,2,45.410628019323674,89,42.58373205741627,1.3731114152355621,1.389545539338698,0.9187082405345177,0.994825571690863,82,56,BULL
2025Q4,STRONG_OPPOSING,143,141,74,67,1,1,52.4822695035461,77,53.84615384615385,1.5758940338462812,1.787920947879965,1.162547443292195,1.1928934010152257,75,49,BULL
2026Q1,MODERATE_ALIGNED,220,220,118,102,0,0,53.63636363636363,99,45.0,1.4662985514452098,1.1815901032752032,1.0794958562559356,0.881033172410026,92,54,BEAR
2026Q1,MODERATE_OPPOSING,162,161,84,77,1,0,52.17391304347826,72,44.44444444444444,1.4593061391271585,1.2692254251677564,1.1952268890905622,0.923540577984348,85,53,BEAR
2026Q1,STRONG_ALIGNED,184,182,96,86,2,0,52.747252747252745,96,52.17391304347826,1.8056194323325863,1.7666156104669253,1.3455178806106285,1.448076277410554,78,55,BEAR
2026Q1,STRONG_OPPOSING,167,163,97,66,4,0,59.50920245398773,84,50.29940119760479,2.114010070680849,1.3066957271342952,1.5188788766653625,0.918554807103494,73,53,BEAR
2026Q1,MODERATE_ALIGNED,235,232,118,114,2,1,50.86206896551724,105,44.680851063829785,1.3836052357759008,1.4633722511549794,0.9831148346391446,1.052844705405959,86,60,BULL
2026Q1,MODERATE_OPPOSING,218,214,116,98,1,3,54.205607476635514,118,54.12844036697248,1.4896743460034214,1.2734231153212776,1.1749182751138547,0.964056429229679,92,55,BULL
2026Q1,STRONG_ALIGNED,191,183,86,97,8,0,46.994535519125684,87,45.54973821989529,1.8414304940759838,1.682814487567538,1.3798604698881678,1.1983729207525236,84,54,BULL
2026Q1,STRONG_OPPOSING,192,186,95,91,6,0,51.075268817204304,81,42.1875,1.8312950419467082,1.67815780365096,1.3593984324330632,1.288426615970164,77,57,BULL
2026Q2,MODERATE_ALIGNED,165,162,74,88,1,2,45.67901234567901,84,50.90909090909091,1.4121408101461257,1.4893020719557275,1.0864140657990649,1.1503782775417135,80,52,BEAR
2026Q2,MODERATE_OPPOSING,191,187,99,88,1,3,52.94117647058823,106,55.49738219895288,1.3572794053700161,1.4408087350703824,0.9955905599156979,0.9199716931786561,92,57,BEAR
2026Q2,STRONG_ALIGNED,165,161,74,87,4,0,45.962732919254655,68,41.21212121212121,1.9505322458229744,2.003437232387342,1.353965183752411,1.5280978549902509,72,55,BEAR
2026Q2,STRONG_OPPOSING,281,271,144,127,7,3,53.13653136531365,131,46.619217081850536,1.734578037905031,1.7742549400070857,1.3244452241031535,1.4023897086874806,90,57,BEAR
2026Q2,MODERATE_ALIGNED,216,211,104,107,2,3,49.28909952606635,90,41.666666666666664,1.4241526689898143,1.2021969195911195,1.0221213628655963,0.924296928653252,92,58,BULL
2026Q2,MODERATE_OPPOSING,185,185,92,93,0,0,49.729729729729726,98,52.972972972972975,1.6426673673349723,1.26979282848789,1.1031017911751757,0.908981168517621,90,58,BULL
2026Q2,STRONG_ALIGNED,235,232,125,107,2,1,53.87931034482759,125,53.191489361702125,2.270532445363785,1.7399283687540377,1.5389334833069128,1.1529717440727523,82,60,BULL
2026Q2,STRONG_OPPOSING,189,184,87,97,5,0,47.28260869565217,76,40.21164021164021,2.224144255529427,1.6719619700765445,1.6652474217049709,1.1958424915247847,88,55,BULL
2026Q3,MODERATE_ALIGNED,142,135,60,75,1,6,44.44444444444444,64,45.070422535211264,1.3678444264543512,1.251008482360583,0.9182599316405284,0.9233556969243495,72,41,BEAR
2026Q3,MODERATE_OPPOSING,177,176,77,99,0,1,43.75,83,46.89265536723164,1.0964632870228048,1.3678293822454792,0.8246604193395797,1.0534684953289626,81,45,BEAR
2026Q3,STRONG_ALIGNED,127,124,64,60,3,0,51.61290322580645,60,47.24409448818898,2.0367012319539124,1.7610895453818591,1.523941613246958,1.3905937500000043,60,38,BEAR
2026Q3,STRONG_OPPOSING,179,176,94,82,2,1,53.40909090909091,102,56.98324022346369,2.0054322369745385,1.5772848673635933,1.4094358547340071,0.9559115583212004,83,42,BEAR
2026Q3,MODERATE_ALIGNED,167,164,80,84,2,1,48.78048780487805,71,42.51497005988024,1.4946128663519178,1.304777291714641,1.1425873465533463,0.9531071635226889,87,43,BULL
2026Q3,MODERATE_OPPOSING,127,124,61,63,1,2,49.193548387096776,69,54.330708661417326,1.5317964900804686,1.3312431681967591,1.0061870283109353,0.9661696420846256,71,42,BULL
2026Q3,STRONG_ALIGNED,172,162,59,103,9,1,36.41975308641975,70,40.69767441860465,1.590748902662214,1.884270835222864,1.1914004129225302,1.5241433609950334,75,43,BULL
2026Q3,STRONG_OPPOSING,154,149,75,74,5,0,50.33557046979866,76,49.35064935064935,1.8133608090111457,1.955603531320549,1.2924248151972284,1.4051127513418997,72,44,BULL
