ma_definition,research_period,short_ma_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
CONTINUOUS,VALIDATION,EMA9_ONLY_OPPOSING,10,9,5,4,1,0,55.55555555555556,4,40.0,0.7816599563663953,1.6550935389038604,0.6250332080308652,1.4111795448050954,9,10,BEAR
CONTINUOUS,VALIDATION,BOTH_FAVORABLE,1891,1841,906,935,40,10,49.212384573601305,888,46.95928080380751,1.7497805532139783,1.5537929689721686,1.2166113661500195,1.10504066648537,112,159,BULL
CONTINUOUS,VALIDATION,BOTH_OPPOSING,143,140,63,77,1,2,45.0,65,45.45454545454545,1.2850357553904947,1.4958239082429252,0.91968117719192,1.2252943370092222,82,86,BULL
CONTINUOUS,VALIDATION,EMA20_ONLY_OPPOSING,67,65,28,37,2,0,43.07692307692308,32,47.76119402985075,1.3531465392123032,1.6918695292882475,0.8634087114888439,1.2220758080768817,53,52,BULL
CONTINUOUS,VALIDATION,EMA9_ONLY_OPPOSING,17,17,7,10,0,0,41.1764705882353,8,47.05882352941177,1.4144640592157358,0.8951979400127116,0.9609364366407982,0.7343680365827815,17,17,BULL
RTH_ONLY,DISCOVERY,BOTH_FAVORABLE,1469,1438,705,733,10,21,49.02642559109875,651,44.31586113002042,1.2871144612193228,1.3024811098534403,0.914628017769918,0.9515078273673131,112,155,BEAR
RTH_ONLY,DISCOVERY,BOTH_OPPOSING,578,561,293,268,1,16,52.228163992869874,281,48.6159169550173,1.3934076688844887,1.176468642462238,0.9650648288982069,0.8111202726132747,109,143,BEAR
RTH_ONLY,DISCOVERY,EMA20_ONLY_OPPOSING,35,35,16,19,0,0,45.714285714285715,19,54.285714285714285,1.1884039077926014,1.0440316538978551,1.1509728978457285,0.8473545509831759,32,30,BEAR
RTH_ONLY,DISCOVERY,EMA9_ONLY_OPPOSING,23,22,12,10,0,1,54.54545454545455,12,52.17391304347826,1.2824150263606273,1.3579395644481889,0.783210731285159,0.8378941250544824,19,22,BEAR
RTH_ONLY,DISCOVERY,UNKNOWN,16,16,1,15,0,0,6.25,2,12.5,0.20343444775496894,1.8880746300429074,0.11031398987257529,1.662394230055881,16,1,BEAR
RTH_ONLY,DISCOVERY,BOTH_FAVORABLE,1614,1585,851,734,3,26,53.69085173501577,768,47.58364312267658,1.296659761551632,1.2144341760171589,0.9303333275579907,0.8513184617746932,112,157,BULL
RTH_ONLY,DISCOVERY,BOTH_OPPOSING,381,368,169,199,0,13,45.92391304347826,174,45.669291338582674,1.1859986209682014,1.2472156661960443,0.8302286438338004,0.8619532135123512,108,126,BULL
RTH_ONLY,DISCOVERY,EMA20_ONLY_OPPOSING,26,25,16,9,0,1,64.0,9,34.61538461538461,1.2622094121138163,1.088330357778821,0.9554440565691269,0.7852731691530694,23,23,BULL
RTH_ONLY,DISCOVERY,EMA9_ONLY_OPPOSING,17,14,7,7,0,3,50.0,7,41.1764705882353,0.7601559254750305,1.358236630844352,0.49675200611386555,0.8826198135775034,16,17,BULL
RTH_ONLY,DISCOVERY,UNKNOWN,14,14,10,4,0,0,71.42857142857143,8,57.142857142857146,1.4296237509479777,0.6282825889272114,1.3912452135716529,0.334677005587365,14,1,BULL
RTH_ONLY,VALIDATION,BOTH_FAVORABLE,1441,1416,712,704,20,5,50.282485875706215,684,47.46703678001388,1.5831957070563896,1.5881586012815199,1.165492738265909,1.1469356999330218,112,157,BEAR
RTH_ONLY,VALIDATION,BOTH_OPPOSING,522,508,259,249,4,10,50.98425196850393,259,49.616858237547895,1.8092725956644218,1.453347013343919,1.217514930049437,1.0219517854790854,107,134,BEAR
RTH_ONLY,VALIDATION,EMA20_ONLY_OPPOSING,40,40,18,22,0,0,45.0,18,45.0,1.5599588885744056,1.6105805516547356,1.0020740555704661,1.3305447721075607,32,32,BEAR
RTH_ONLY,VALIDATION,EMA9_ONLY_OPPOSING,13,13,5,8,0,0,38.46153846153846,5,38.46153846153846,0.617753095106372,1.5931985620313551,0.6758620689655102,1.3675351998705274,13,12,BEAR
RTH_ONLY,VALIDATION,BOTH_FAVORABLE,1518,1475,730,745,36,7,49.49152542372882,710,46.772068511198945,1.7247041648554993,1.512998165174757,1.1753430491566121,1.0938555904947758,112,156,BULL
RTH_ONLY,VALIDATION,BOTH_OPPOSING,550,539,250,289,6,5,46.3821892393321,255,46.36363636363637,1.668734447614217,1.63898384953159,1.2011113376520428,1.1668735777999864,108,139,BULL
RTH_ONLY,VALIDATION,EMA20_ONLY_OPPOSING,42,41,18,23,1,0,43.90243902439025,22,52.38095238095238,1.2903618463496005,1.8387087045371016,0.7100242752723851,1.4008198332922126,33,38,BULL
RTH_ONLY,VALIDATION,EMA9_ONLY_OPPOSING,8,8,6,2,0,0,75.0,6,75.0,2.1502225371519326,0.662606134927981,1.88566279377051,0.3683725859997913,8,7,BULL
