quarter,early_path_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
2025Q4,CONTINUATION_THEN_REVERSAL,163,158,63,95,0,5,39.87341772151899,100.0,1.229636609161127,1.5792250819735014,0.7094350728813399,1.1187441280925354,83,56
2025Q4,FAILURE_THEN_RECOVERY,219,212,124,88,1,6,58.490566037735846,0.0,1.4986565361716897,1.0422495911231597,1.0872386445565918,0.7015457788347247,95,61
2025Q4,IMMEDIATE_CONTINUATION,647,632,522,110,0,15,82.59493670886076,100.0,1.6498117938967343,0.9801456764136436,1.2833937441267365,0.5608922700019187,111,64
2025Q4,IMMEDIATE_FAILURE,641,621,141,480,4,16,22.705314009661837,0.0,1.1245479731255725,1.6053520072445318,0.6449485140532782,1.2151748666271556,112,64
2025Q4,INCOMPLETE,15,14,8,6,0,1,57.142857142857146,6.666666666666667,1.1424336349360025,1.1590286151467306,0.8805747831420271,0.7392016622048279,9,14
2025Q4,STALLED_MIXED,17,16,10,6,0,1,62.5,0.0,1.7606702011328712,1.4082595162779163,1.1529627928341712,0.6068543986029357,15,13
2026Q1,CONTINUATION_THEN_REVERSAL,171,167,73,94,4,0,43.712574850299404,100.0,1.3172767644210244,1.7037153883004894,1.0724548440065729,1.4260103187310915,87,56
2026Q1,FAILURE_THEN_RECOVERY,201,198,125,73,3,0,63.13131313131313,0.0,1.6938319627128684,1.3206789541942585,1.295424474599212,0.7706913883614406,94,58
2026Q1,IMMEDIATE_CONTINUATION,571,558,484,74,11,2,86.73835125448029,100.0,2.1497486203893814,1.0862021661399701,1.593750000000001,0.7099727954349367,111,61
2026Q1,IMMEDIATE_FAILURE,614,606,121,485,6,2,19.966996699669966,0.0,1.283144030970923,1.7607379553032034,0.7975356112907481,1.3297396911422,112,61
2026Q1,INCOMPLETE,1,1,0,1,0,0,0.0,0.0,2.3952385365833955,0.8929758743386329,2.3952385365833955,0.8929758743386329,1,1
2026Q1,STALLED_MIXED,11,11,7,4,0,0,63.63636363636363,0.0,1.2743960410416715,1.3602786776406783,0.8821444499213642,0.9366270471599979,10,11
2026Q2,CONTINUATION_THEN_REVERSAL,154,149,72,77,2,3,48.32214765100671,100.0,1.4742058691448519,1.7501015343665047,1.0849645788082047,1.237405695725125,87,56
2026Q2,FAILURE_THEN_RECOVERY,211,206,114,92,5,0,55.33980582524272,0.0,2.0194905308538176,1.3962483813889852,1.3646034603899497,0.90657814511212,97,60
2026Q2,IMMEDIATE_CONTINUATION,623,611,524,87,8,4,85.76104746317512,100.0,2.2869887444949666,1.2033773340389589,1.6784983756467284,0.6865774116031582,112,62
2026Q2,IMMEDIATE_FAILURE,624,612,81,531,7,5,13.235294117647058,0.0,1.231940375777724,1.9887316910915052,0.6747511564777535,1.489042630119276,112,62
2026Q2,INCOMPLETE,8,8,4,4,0,0,50.0,12.5,1.4224614493722485,0.871470435974574,1.3258547260880147,0.4674249762747498,5,8
2026Q2,STALLED_MIXED,7,7,4,3,0,0,57.142857142857146,0.0,1.2717139953006558,1.109116579994714,1.2638755353552844,0.852151682999586,6,7
2026Q3,CONTINUATION_THEN_REVERSAL,119,117,52,65,1,1,44.44444444444444,100.0,1.3519761488892919,1.4411106129005642,0.7970394736842112,1.1277842172864154,71,36
2026Q3,FAILURE_THEN_RECOVERY,131,127,64,63,3,1,50.39370078740158,0.0,1.8771028129855618,1.5026149481884263,1.4643265136566586,0.8861864872732007,78,39
2026Q3,IMMEDIATE_CONTINUATION,405,389,317,72,10,6,81.49100257069409,100.0,1.9458321699922918,1.296512505196602,1.4708112206216812,0.8399499604278946,106,41
2026Q3,IMMEDIATE_FAILURE,428,418,61,357,7,3,14.5933014354067,0.0,1.278861648690498,1.938816177823873,0.7341982420693346,1.5418332281802019,109,41
2026Q3,INCOMPLETE,4,4,2,2,0,0,50.0,0.0,1.2663398702246687,1.2001283432283114,1.0301876046956782,1.267728338103307,4,4
2026Q3,STALLED_MIXED,8,8,4,4,0,0,50.0,0.0,2.5208310209532545,1.2731366839525355,1.6304767626676728,0.9815926087088553,7,8
