early_path_state,symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
CONTINUATION_THEN_REVERSAL,T,9,9,6,3,0,0,66.66666666666667,100.0,0.9591061482287062,0.9113614051044016,0.7746352008647085,1.1566820276497678,1,9
CONTINUATION_THEN_REVERSAL,TEAM,8,7,5,2,1,0,71.42857142857143,100.0,1.2418346796150923,2.9807387277807456,1.038005231274416,2.4994098933953985,1,8
CONTINUATION_THEN_REVERSAL,TGT,6,6,2,4,0,0,33.333333333333336,100.0,1.690453256531817,0.9591242594475388,0.9438176696144467,0.770736306983547,1,6
CONTINUATION_THEN_REVERSAL,TMO,2,2,0,2,0,0,0.0,100.0,0.25922223617777385,1.782113665521065,0.25922223617777385,1.782113665521065,1,2
CONTINUATION_THEN_REVERSAL,TMUS,5,5,0,5,0,0,0.0,100.0,0.3520952201765864,1.5138413126741317,0.34581669034662643,1.4572196141217348,1,5
CONTINUATION_THEN_REVERSAL,TQQQ,13,13,6,7,0,0,46.15384615384615,100.0,1.9253679273649835,1.5850608089547686,1.374455246396234,1.5532461727567333,1,13
CONTINUATION_THEN_REVERSAL,TSLA,17,17,4,13,0,0,23.529411764705884,100.0,1.7933229371568633,1.936092585239552,1.1611798583547412,1.5894086830783052,1,17
CONTINUATION_THEN_REVERSAL,TXN,5,5,0,5,0,0,0.0,100.0,1.364119600148302,1.2243536236677024,1.508687961710543,1.0742898761835384,1,5
CONTINUATION_THEN_REVERSAL,UBER,12,12,3,9,0,0,25.0,100.0,1.2436356867397669,2.4013671553100626,0.8443333803158053,1.7548305538267923,1,12
CONTINUATION_THEN_REVERSAL,UNH,8,8,7,1,0,0,87.5,100.0,1.2086089954064039,1.7313122246562704,1.1310277991140243,1.49296627090486,1,8
CONTINUATION_THEN_REVERSAL,UPS,4,4,0,4,0,0,0.0,100.0,1.025727558553072,0.9182475896020748,1.177455021613862,0.7242485943734371,1,4
CONTINUATION_THEN_REVERSAL,URI,2,1,1,0,1,0,100.0,100.0,2.0869789772550105,2.2490860879610164,2.0869789772550105,2.2490860879610164,1,2
CONTINUATION_THEN_REVERSAL,V,7,7,5,2,0,0,71.42857142857143,100.0,0.8085818697353605,1.3092738748636334,0.7169919545955411,1.1347087378640803,1,7
CONTINUATION_THEN_REVERSAL,VRTX,3,3,1,2,0,0,33.333333333333336,100.0,0.18043503052174006,2.9814763841199405,0.02219460227273232,1.6512784090909085,1,3
CONTINUATION_THEN_REVERSAL,VZ,8,8,6,2,0,0,75.0,100.0,1.2964255838604921,0.5976349310304715,1.088024636937642,0.2689836528646286,1,8
CONTINUATION_THEN_REVERSAL,WMT,8,8,3,5,0,0,37.5,100.0,1.1015353226345561,0.9802026050972302,1.078693657886983,0.831262465009021,1,8
CONTINUATION_THEN_REVERSAL,XOM,10,10,8,2,0,0,80.0,100.0,1.037590526702594,0.8314530842077392,0.9990003757503373,0.2812075665503998,1,10
FAILURE_THEN_RECOVERY,AAPL,11,11,5,6,0,0,45.45454545454545,0.0,0.6874551528735311,1.0906176377770682,0.6392210114927324,0.8861864872732007,1,11
FAILURE_THEN_RECOVERY,ABBV,7,7,3,4,0,0,42.857142857142854,0.0,0.4562101280841908,1.306889668090219,0.34564700799309506,0.9909591942008618,1,7
FAILURE_THEN_RECOVERY,ABNB,12,12,6,6,0,0,50.0,0.0,1.8438338267116336,1.0280259859488996,1.4974318228204706,0.8826242506897786,1,12
FAILURE_THEN_RECOVERY,ADBE,10,10,8,2,0,0,80.0,0.0,2.596373997720237,1.2401664624173683,2.3747393078128605,1.0966994298348,1,10
FAILURE_THEN_RECOVERY,AMAT,9,9,4,5,0,0,44.44444444444444,0.0,3.0326177824757874,1.3220912363542798,2.3936471922858757,0.8133971291865975,1,9
FAILURE_THEN_RECOVERY,AMD,14,14,9,5,0,0,64.28571428571429,0.0,3.015276406392897,1.3102327272528818,2.1808047929226326,0.814942881454635,1,14
FAILURE_THEN_RECOVERY,AMGN,7,7,5,2,0,0,71.42857142857143,0.0,1.3187367293737557,0.6862863640727179,1.0522788203753497,0.5480484834425524,1,7
FAILURE_THEN_RECOVERY,AMZN,12,12,8,4,0,0,66.66666666666667,0.0,0.9432644701782844,0.6999783600778634,0.8638001016676364,0.7314926274945335,1,12
FAILURE_THEN_RECOVERY,ANET,7,7,3,4,0,0,42.857142857142854,0.0,2.4107251562537555,1.1342276735869494,1.9298412396615567,0.7590694006309109,1,7
FAILURE_THEN_RECOVERY,APP,9,9,3,6,0,0,33.333333333333336,0.0,2.4148168707502204,2.338546028244627,1.7089733225545756,1.7267582861762247,1,9
FAILURE_THEN_RECOVERY,ARM,13,13,6,7,0,0,46.15384615384615,0.0,3.553203326179161,1.372170561791551,2.324383017097005,0.8647601277405091,1,13
FAILURE_THEN_RECOVERY,ASML,10,10,4,6,0,0,40.0,0.0,1.8034171876192044,0.8965856583584664,1.69890152224785,0.6509033782419682,1,10
FAILURE_THEN_RECOVERY,AVGO,7,7,6,1,0,0,85.71428571428571,0.0,1.9142802330934663,1.317504542436091,2.0338579867581306,1.045342214116741,1,7
FAILURE_THEN_RECOVERY,AXON,5,5,2,3,0,0,40.0,0.0,1.6476609265598305,2.4114679122674287,1.157912954614772,1.7200076214325584,1,5
FAILURE_THEN_RECOVERY,AXP,4,4,2,2,0,0,50.0,0.0,0.46764001471651434,2.897004108044658,0.44287319564383215,1.3363149209101575,1,4
FAILURE_THEN_RECOVERY,BA,14,14,9,5,0,0,64.28571428571429,0.0,1.9784263538227425,0.999706046950034,1.6649854010308722,0.5654297834969968,1,14
FAILURE_THEN_RECOVERY,BAC,10,10,5,5,0,0,50.0,0.0,0.7507384143029675,0.649572293721462,0.6131849308690027,0.5408795681850641,1,10
FAILURE_THEN_RECOVERY,BKNG,5,5,2,3,0,0,40.0,0.0,0.48311677165131767,2.7454216290517612,0.5141881800725391,2.26407918293894,1,5
FAILURE_THEN_RECOVERY,BLK,5,5,3,2,0,0,60.0,0.0,1.3870882735920165,0.9875975573747782,0.9531866892272897,0.5032551823301477,1,5
FAILURE_THEN_RECOVERY,BMY,15,15,9,6,0,0,60.0,0.0,1.3104012093626929,0.9393975271087008,1.0082493125572818,0.619962802231853,1,15
FAILURE_THEN_RECOVERY,C,18,17,11,6,0,1,64.70588235294117,0.0,0.8130581077881562,1.4122819890042493,0.6264919481089635,1.041427106066886,1,18
FAILURE_THEN_RECOVERY,CAT,13,13,9,4,0,0,69.23076923076923,0.0,1.6539565168490187,1.230979886508603,1.205913934087723,1.006320840868803,1,13
FAILURE_THEN_RECOVERY,CEG,9,9,5,4,0,0,55.55555555555556,0.0,1.8788096801970942,2.3030737650875457,1.3892355045337175,2.458132273630419,1,9
FAILURE_THEN_RECOVERY,CMCSA,14,14,11,3,0,0,78.57142857142857,0.0,1.2704864016954662,1.0707636770676183,0.9019359993284639,0.9133152854397406,1,14
FAILURE_THEN_RECOVERY,CME,7,7,4,3,0,0,57.142857142857146,0.0,1.539419109797476,0.9528360543050637,1.267166456577985,0.6634379353811451,1,7
FAILURE_THEN_RECOVERY,CMG,11,10,7,3,1,0,70.0,0.0,1.456816429791507,1.046552756270252,1.7262083458420978,0.7751937984496065,1,11
FAILURE_THEN_RECOVERY,COIN,5,5,2,3,0,0,40.0,0.0,1.4559139285027554,2.3708172384275263,0.9217245339694379,2.0510220655913547,1,5
FAILURE_THEN_RECOVERY,COP,8,8,5,3,0,0,62.5,0.0,0.7806828859470084,1.0968648531962977,0.7401774416879856,0.7241805014046708,1,8
FAILURE_THEN_RECOVERY,COST,10,10,5,5,0,0,50.0,0.0,1.0637195250247813,0.7402158848784152,0.6525140682649044,0.6906613320515513,1,10
FAILURE_THEN_RECOVERY,CRM,13,13,8,5,0,0,61.53846153846154,0.0,2.2999344524582064,1.0881293173713318,1.9983676048550523,1.0364552851667974,1,13
FAILURE_THEN_RECOVERY,CRWD,10,10,6,4,0,0,60.0,0.0,2.4288381696403394,1.2212385387510125,2.137820700147956,0.619438781835486,1,10
FAILURE_THEN_RECOVERY,CSCO,10,10,7,3,0,0,70.0,0.0,0.9196723403918293,0.7101548085038956,0.7473352155391577,0.5275283154704127,1,10
FAILURE_THEN_RECOVERY,CVS,9,9,4,5,0,0,44.44444444444444,0.0,1.0752586002041262,1.247477729014658,0.8191126279863403,1.1692107827216611,1,9
FAILURE_THEN_RECOVERY,CVX,15,14,6,8,0,1,42.857142857142854,0.0,0.92373402020038,0.8246780149426637,0.53866651385347,0.6749857444071704,1,15
FAILURE_THEN_RECOVERY,DASH,10,10,3,7,0,0,30.0,0.0,2.477483562711518,1.8432402194339659,1.5052547304950605,1.0489691922645812,1,10
FAILURE_THEN_RECOVERY,DDOG,11,10,5,5,1,0,50.0,0.0,2.859016346921693,1.9868792448153507,2.842172539618688,1.1789385357667306,1,11
FAILURE_THEN_RECOVERY,DE,3,3,2,1,0,0,66.66666666666667,0.0,1.8432641086843482,0.9736245749269242,1.8136939302808228,0.25837604303444184,1,3
FAILURE_THEN_RECOVERY,DELL,8,8,3,5,0,0,37.5,0.0,4.058862381722429,0.8185002868966658,2.6667470018315513,0.6483059516839119,1,8
FAILURE_THEN_RECOVERY,DIS,7,7,3,4,0,0,42.857142857142854,0.0,0.6156429377654833,0.5542215232582763,0.6721215663354742,0.6419753086419809,1,7
FAILURE_THEN_RECOVERY,EOG,3,3,2,1,0,0,66.66666666666667,0.0,0.7308363863934604,1.4885783059906945,0.8544828465757002,0.3110419906687434,1,3
FAILURE_THEN_RECOVERY,ETN,3,2,2,0,0,1,100.0,0.0,2.0906186639605266,1.162722352946752,0.9095363508299219,0.27736291871133684,1,3
FAILURE_THEN_RECOVERY,FDX,7,6,2,4,1,0,33.333333333333336,0.0,0.7154625165174097,1.5467454668530485,0.6557166275593906,1.2207993945790923,1,7
FAILURE_THEN_RECOVERY,GE,4,4,2,2,0,0,50.0,0.0,1.1839570826365657,1.4389131569041997,0.7501609085603252,1.1297808581844928,1,4
FAILURE_THEN_RECOVERY,GILD,5,5,4,1,0,0,80.0,0.0,0.8965805791027893,1.3308745168556801,0.8312447786132036,1.207184628237254,1,5
FAILURE_THEN_RECOVERY,GOOG,13,13,10,3,0,0,76.92307692307692,0.0,1.6152189979428007,0.7853344872652018,1.062387876264962,0.5040910109840782,1,13
FAILURE_THEN_RECOVERY,GS,8,8,3,5,0,0,37.5,0.0,1.196498327387494,0.8725999197762729,0.6588310152919312,0.7027750030526967,1,8
FAILURE_THEN_RECOVERY,HAL,5,5,5,0,0,0,100.0,0.0,1.0751229833145297,1.5942814468113666,1.1364136413641326,1.4890184886462374,1,5
FAILURE_THEN_RECOVERY,HD,6,6,3,3,0,0,50.0,0.0,1.1783403327931572,0.7928379823964741,1.0672672775709402,0.616709349589357,1,6
FAILURE_THEN_RECOVERY,HON,3,3,3,0,0,0,100.0,0.0,0.8122323455816846,0.6139964132212009,0.7999999999999965,0.48932203789791606,1,3
FAILURE_THEN_RECOVERY,HOOD,9,9,5,4,0,0,55.55555555555556,0.0,2.7600789745271483,1.497188935717509,3.0723955267804506,0.8766151507473979,1,9
FAILURE_THEN_RECOVERY,IBM,8,7,7,0,0,1,100.0,0.0,1.7248792492941303,1.2421233208834221,1.2725873163485333,1.0093661850904292,1,8
FAILURE_THEN_RECOVERY,INTC,11,11,4,7,0,0,36.36363636363637,0.0,1.9774757138738428,1.8691988916376097,1.277156023699801,1.085230280571722,1,11
FAILURE_THEN_RECOVERY,ISRG,3,3,3,0,0,0,100.0,0.0,1.0633948725377964,1.5424980659811756,1.017504622504684,0.8280448578631666,1,3
FAILURE_THEN_RECOVERY,IWM,11,10,5,5,0,1,50.0,0.0,0.6905629203751734,0.5494626391796498,0.627891606080627,0.6438831104507212,1,11
FAILURE_THEN_RECOVERY,JNJ,3,3,1,2,0,0,33.333333333333336,0.0,0.35971838350354063,1.2444405614998395,0.31833849261234903,0.8891523414345015,1,3
FAILURE_THEN_RECOVERY,JPM,14,14,11,3,0,0,78.57142857142857,0.0,0.9581816366575836,0.6341227490804838,1.0555397416342451,0.3985453873156698,1,14
FAILURE_THEN_RECOVERY,KLAC,8,8,3,5,0,0,37.5,0.0,1.610530246770265,3.047508250080451,0.6684562745412772,2.6675237756022017,1,8
FAILURE_THEN_RECOVERY,LLY,13,13,8,5,0,0,61.53846153846154,0.0,1.5537044341543285,1.2011580239382489,1.1779824373527523,1.4825950914246597,1,13
FAILURE_THEN_RECOVERY,LMT,7,7,5,2,0,0,71.42857142857143,0.0,1.7902384047526099,1.251996362991738,1.415198189391732,0.7692886431177667,1,7
FAILURE_THEN_RECOVERY,LOW,2,2,2,0,0,0,100.0,0.0,1.9146655175003982,0.2884663820383812,1.9146655175003982,0.2884663820383812,1,2
FAILURE_THEN_RECOVERY,LRCX,13,13,8,5,0,0,61.53846153846154,0.0,1.477557472843534,2.0216744895778236,1.2150723582415524,0.9882023824945954,1,13
FAILURE_THEN_RECOVERY,LULU,10,10,7,3,0,0,70.0,0.0,2.3142321176101683,1.280389189494893,2.0685453299798744,0.7567064463395776,1,10
FAILURE_THEN_RECOVERY,MA,5,5,3,2,0,0,60.0,0.0,0.8005519404465555,0.8516759937076646,0.651096111343416,0.5060226533894503,1,5
FAILURE_THEN_RECOVERY,MCD,6,6,1,5,0,0,16.666666666666668,0.0,0.6284538714393973,1.103368884851999,0.45521390936119666,1.2416791169141654,1,6
FAILURE_THEN_RECOVERY,META,10,10,8,2,0,0,80.0,0.0,1.4754920174651236,0.610453407113871,1.2984913318473823,0.5108990139492176,1,10
FAILURE_THEN_RECOVERY,MNDY,8,5,3,2,3,0,60.0,0.0,3.4942797649233084,1.753637548002262,3.432395179737393,2.1214669562322674,1,8
