feature,quarter,state,share_of_quarter_binary_pct,total_n,binary_n,favorable_n,adverse_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
market_3idx_prior_5d_state,2025Q4,ALL_3_OPPOSING,83.94160583941606,115,115,70,45,60.869565217391305,1.4485010317944844,1.5067106082741903,1.0998277594373467,0.9838722749007293,71,37
market_3idx_prior_5d_state,2025Q4,MAJORITY_OPPOSING,16.05839416058394,22,22,15,7,68.18181818181819,1.583371847418031,1.4883794362669702,1.2692751955799744,0.8269281278326723,20,7
market_3idx_prior_5d_state,2026Q1,ALL_3_OPPOSING,75.42857142857143,132,132,79,53,59.84848484848485,1.86049408780382,1.2461784411723114,1.409840423996401,0.9424818535628172,73,33
market_3idx_prior_5d_state,2026Q1,MAJORITY_OPPOSING,24.571428571428573,43,43,28,15,65.11627906976744,2.748782621736462,1.180186906396486,2.1839216149214904,0.6491027109583876,37,10
market_3idx_prior_5d_state,2026Q2,ALL_3_OPPOSING,75.625,121,121,67,54,55.37190082644628,1.8675257690233031,1.3740410652114439,1.5924136697083566,0.9501661129568151,67,36
market_3idx_prior_5d_state,2026Q2,MAJORITY_OPPOSING,24.375,39,39,23,16,58.97435897435897,1.6373833013982795,1.3214380425377903,1.1922334506642411,1.054960013612379,33,11
market_3idx_prior_5d_state,2026Q3,ALL_3_OPPOSING,70.78651685393258,63,63,39,24,61.904761904761905,1.8932691480161832,2.3683340841452245,1.246836036373859,1.2293942034897727,50,23
market_3idx_prior_5d_state,2026Q3,MAJORITY_OPPOSING,29.213483146067414,26,26,14,12,53.84615384615385,1.883131753056777,1.4661209985445374,1.4547176274836007,1.3754056030215875,25,9
relative_multi_horizon_state,2025Q2,MIXED,42.5,17,17,11,6,64.70588235294117,1.5850486994989543,1.5246777833435539,1.04942722102059,0.9644427426220659,15,9
relative_multi_horizon_state,2025Q2,RELATIVE_ALIGNED,40.0,16,16,11,5,68.75,1.2937182808571326,0.9001728609263652,1.0172450394817825,0.8455459341413254,15,10
relative_multi_horizon_state,2025Q2,RELATIVE_OPPOSING,17.5,7,7,5,2,71.42857142857143,3.141149948899397,0.8528141920849074,1.7523584905660392,0.7428061565915646,7,5
relative_multi_horizon_state,2025Q3,MIXED,37.5,57,57,28,29,49.12280701754386,1.2274386418107253,1.389034020762951,1.096121416526136,1.196969696969694,42,37
relative_multi_horizon_state,2025Q3,RELATIVE_ALIGNED,35.526315789473685,54,54,18,36,33.333333333333336,0.9461820310882665,1.4596545663709646,0.7528246475116116,1.0674125874624987,45,36
relative_multi_horizon_state,2025Q3,RELATIVE_OPPOSING,26.973684210526315,41,41,21,20,51.21951219512195,1.0739262286247213,1.4598474086096598,0.6802028967686263,1.2274069086954293,34,26
relative_multi_horizon_state,2025Q4,MIXED,33.57664233576642,46,46,29,17,63.04347826086956,1.583669874542261,1.568341381273371,1.1279576322461395,1.1658226805759675,37,26
relative_multi_horizon_state,2025Q4,RELATIVE_ALIGNED,48.90510948905109,67,67,40,27,59.701492537313435,1.416332523586829,1.247156285917997,1.1258576386129433,0.8937380894865488,47,31
relative_multi_horizon_state,2025Q4,RELATIVE_OPPOSING,17.51824817518248,24,24,16,8,66.66666666666667,1.4028627495958672,2.0963705355968485,0.9779424042240057,0.9262466694807635,20,17
relative_multi_horizon_state,2026Q1,MIXED,29.142857142857142,51,51,32,19,62.745098039215684,2.0166863674045135,1.2680755436276896,1.8893387314439896,0.94492440604752,40,29
relative_multi_horizon_state,2026Q1,RELATIVE_ALIGNED,52.57142857142857,92,92,54,38,58.69565217391305,2.0472893267751155,1.3356575194637266,1.5021897146117706,0.8869788760224432,61,35
relative_multi_horizon_state,2026Q1,RELATIVE_OPPOSING,18.285714285714285,32,32,21,11,65.625,2.2681640476197247,0.8653514591912181,1.6523968368067887,0.6895984394271168,28,21
relative_multi_horizon_state,2026Q2,MIXED,35.0,56,56,30,26,53.57142857142857,1.6837693516357972,1.4632552466947097,1.3445243422465516,1.0101398688186576,40,29
relative_multi_horizon_state,2026Q2,RELATIVE_ALIGNED,50.625,81,81,49,32,60.49382716049383,1.8713867132939814,1.2098045920086016,1.575132221757874,0.9289714641301464,52,39
relative_multi_horizon_state,2026Q2,RELATIVE_OPPOSING,14.375,23,23,11,12,47.82608695652174,1.9110938842580623,1.6460255122590453,1.6901917291591912,1.5119184402983594,21,16
relative_multi_horizon_state,2026Q3,MIXED,32.58426966292135,29,29,23,6,79.3103448275862,2.111530446955175,2.0833702241649816,1.402137679242289,1.3598455281212778,25,19
relative_multi_horizon_state,2026Q3,RELATIVE_ALIGNED,55.056179775280896,49,49,22,27,44.89795918367347,1.5538017109402413,2.293832773543221,1.2235126417456184,1.3909656779218973,40,23
