time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1787765640,550.7,550.71,550.69,550.71,550.0247275709739,551.1028803180097,548.9465748239381,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,42,69.65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787765880,550.59,550.6,550.59,550.6,550.0255901402742,551.1031581644125,548.9480221161358,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,31,65.95,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787765940,550.65,550.65,550.65,550.65,550.025741990921,551.1032229694671,548.9482610123749,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,5,65.25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787766000,550.67,550.8,550.67,550.8,550.0258486277944,551.1032871709929,548.9484100845959,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,3,65.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787766060,550.55,550.55,550.52,550.52,550.0265830783925,551.1034082181737,548.9497579386112,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,30,63.3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787766120,550.41,550.59,550.41,550.59,550.02758337372,551.1035717112062,548.9515950362337,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,41,62,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787766180,550.78,550.78,550.78,550.78,550.0277292050264,551.103664247282,548.9517941627707,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,4,61.95,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787766240,550.65,550.65,550.11,550.52,550.0331068514979,551.1027552951492,548.9634584078466,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,282,72.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787766300,550.7,550.7,550.7,550.7,550.0331387282317,551.1027715443782,548.9635059120852,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,1,72.3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787766420,550.54,550.54,550.32,550.32,550.0333108148999,551.1027170539307,548.963904575869,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,10,66.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787766480,550.44,550.44,550.44,550.44,550.0344539622043,551.1025732052465,548.9663347191622,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,59,66.65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787766600,550.46,550.46,550.46,550.46,550.0344742349898,551.1025720736314,548.9663763963482,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,1,59.65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
