time,open,high,low,close,EXP_event_flag,EXP_event_id,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_host_seconds,EXP_ltf_bars_in_host,DIAG_first_1m_time_seen,DIAG_last_1m_time_seen,DIAG_1m_bars_processed,DIAG_1m_intrabar_count,1M breakout found,Volume,Volume MA
1787669340,211.7,211.75,211.54,211.605,,,,,,,,,,1784554200000,1787669340000,10220,1,0,20007,34939.85
1787669400,211.6,211.61,211.47,211.61,,,,,,,,,,1784554200000,1787669400000,10221,1,0,17296,26494.75
1787669460,211.62,211.74,211.56,211.72,,,,,,,,,,1784554200000,1787669460000,10222,1,0,17738,25144.3
1787669520,211.74,211.89,211.72,211.79,,,,,,,,,,1784554200000,1787669520000,10223,1,0,19999,24396.35
1787669580,211.78,211.84,211.61,211.61,,,,,,,,,,1784554200000,1787669580000,10224,1,0,35304,25223.95
1787669640,211.62,211.69,211.48,211.49,,,,,,,,,,1784554200000,1787669640000,10225,1,0,38606,26214.4
1787669700,211.5,211.5,211.24,211.28,,,,,,,,,,1784554200000,1787669700000,10226,1,0,27839,25994.1
1787669760,211.27,211.31,211.04,211.22,,,,,,,,,,1784554200000,1787669760000,10227,1,0,32912,25875.15
1787669820,211.21,211.29,210.93,211.14,,,,,,,,,,1784554200000,1787669820000,10228,1,0,63911,28086.2
1787669880,211.12,211.17,211.06,211.09,,,,,,,,,,1784554200000,1787669880000,10229,1,0,24336,28581.4
1787669940,211.07,211.115,211,211.025,,,,,,,,,,1784554200000,1787669940000,10230,1,0,35535,27898.7
1787670000,211.025,211.14,210.86,210.98,,,,,,,,,,1784554200000,1787670000000,10231,1,0,59449,29321.85
1787670060,210.99,211.04,210.82,210.84,,,,,,,,,,1784554200000,1787670060000,10232,1,0,37855,29633.5
1787670120,210.85,210.9,210.65,210.85,,,,,,,,,,1784554200000,1787670120000,10233,1,0,53217,30723.8
1787670180,210.865,210.91,210.59,210.67,,,,,,,,,,1784554200000,1787670180000,10234,1,0,37127,31816.85
1787670240,210.66,210.75,210.595,210.7,,,,,,,,,,1784554200000,1787670240000,10235,1,0,44635,32779
1787670300,210.71,210.84,210.61,210.77,,,,,,,,,,1784554200000,1787670300000,10236,1,0,43937,33914.2
1787670360,210.78,210.78,210.55,210.6,,,,,,,,,,1784554200000,1787670360000,10237,1,0,33313,34643.85
1787670420,210.59,210.82,210.58,210.72,,,,,,,,,,1784554200000,1787670420000,10238,1,0,30165,35450.95
1787670480,210.71,210.73,210.61,210.63,,,,,,,,,,1784554200000,1787670480000,10239,1,0,18821,34600.1
1787670540,210.62,210.63,210.44,210.54,,,,,,,,,,1784554200000,1787670540000,10240,1,0,32735,35236.5
1787670600,210.535,210.67,210.51,210.64,,,,,,,,,,1784554200000,1787670600000,10241,1,0,20340,35388.7
1787670660,210.635,210.635,210.58,210.6,,,,,,,,,,1784554200000,1787670660000,10242,1,0,13325,35168.05
1787670720,210.6,210.6,210.3,210.435,,,,,,,,,,1784554200000,1787670720000,10243,1,0,39278,36132
1787670780,210.42,210.45,210.22,210.24,,,,,,,,,,1784554200000,1787670780000,10244,1,0,26855,35709.55
1787670840,210.24,210.42,210.22,210.38,,,,,,,,,,1784554200000,1787670840000,10245,1,0,27047,35131.6
1787670900,210.39,210.41,210.25,210.33,,,,,,,,,,1784554200000,1787670900000,10246,1,0,34049,35442.1
1787670960,210.33,210.38,210.27,210.32,,,,,,,,,,1784554200000,1787670960000,10247,1,0,17089,34650.95
1787671020,210.32,210.35,210.22,210.25,,,,,,,,,,1784554200000,1787671020000,10248,1,0,47178,33814.3
1787671080,210.26,210.31,210.18,210.26,,,,,,,,,,1784554200000,1787671080000,10249,1,0,32896,34242.3
1787671140,210.265,210.45,210.265,210.43,,,,,,,,,,1784554200000,1787671140000,10250,1,0,25197,33725.4
1787671200,210.435,210.84,210.43,210.79,,,,,,,,,,1784554200000,1787671200000,10251,1,0,46108,33058.35
1787671260,210.79,210.83,210.71,210.74,,,,,,,,,,1784554200000,1787671260000,10252,1,0,28106,32570.9
1787671320,210.72,210.76,210.67,210.75,,,,,,,,,,1784554200000,1787671320000,10253,1,0,17423,30781.2
1787671380,210.75,210.76,210.5,210.61,,,,,,,,,,1784554200000,1787671380000,10254,1,0,20678,29958.75
1787671440,210.62,210.73,210.6,210.61,,,,,,,,,,1784554200000,1787671440000,10255,1,0,23610,28907.5
1787671500,210.61,210.67,210.54,210.625,,,,,,,,,,1784554200000,1787671500000,10256,1,0,19124,27666.85
1787671560,210.62,210.72,210.62,210.675,,,,,,,,,,1784554200000,1787671560000,10257,1,0,11556,26579
