time,open,high,low,close,MTF ORB High,MTF ORB Low,MTF Broken ORB,MTF ORB Mid,EXP_event_flag,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_frozen_atr,EXP_signal_mfe_pct,EXP_signal_mae_pct,EXP_primary_outcome,EXP_first_retest_time,EXP_retest_state,EXP_cp5_valid,EXP_cp5_time,EXP_cp5_ref_price,EXP_cp5_sep_atr_pct,EXP_cp5_fwd_mfe_pct,EXP_cp5_fwd_mae_pct,EXP_cp5_outcome,EXP_cp10_valid,EXP_cp10_time,EXP_cp10_ref_price,EXP_cp10_sep_atr_pct,EXP_cp10_fwd_mfe_pct,EXP_cp10_fwd_mae_pct,EXP_cp10_outcome,EXP_cp15_valid,EXP_cp15_time,EXP_cp15_ref_price,EXP_cp15_sep_atr_pct,EXP_cp15_fwd_mfe_pct,EXP_cp15_fwd_mae_pct,EXP_cp15_outcome,EXP_cp30_valid,EXP_cp30_time,EXP_cp30_ref_price,EXP_cp30_sep_atr_pct,EXP_cp30_fwd_mfe_pct,EXP_cp30_fwd_mae_pct,EXP_cp30_outcome,EXP_ratio_10m_15m,EXP_pmh,EXP_pml,EXP_pdh,EXP_pdl,EXP_prev_ahh,EXP_prev_ahl,EXP_relevant_pm_first_trade_time,EXP_relevant_pd_first_trade_time,EXP_relevant_prev_ah_first_trade_time,EXP_fail_boundary_touch_time,EXP_fail_first_trade_inside_time,EXP_fail_first_close_inside_time,EXP_fail_first_close_inside_price,EXP_fail_midpoint_cross_time,EXP_fail_opposite_boundary_time,EXP_host_tf_seconds,EXP_research_tf_seconds,EXP_research_1m_bars_processed,Volume,Volume MA
1779977700,213.41,214.285,212.76,213.69,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295920,213690
1779978000,213.7,213.76,212.17,212.45,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153321,218616.7
1779978300,212.47,212.76,212.3,212.44,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107915,219205.6
1779978600,212.45,212.65,211.7,211.75,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209472,223686.85
1779978900,211.75,212.12,211.7,211.95,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102910,224677.45
1779979200,211.94,212.21,211.71,212.03,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106334,225194.15
1779979500,212.03,212.15,211.5,211.91,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137320,228203.25
1779979800,211.91,212.43,211.78,212.31,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90421,227674.4
1779980100,212.3,212.37,211.96,212.29,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90895,225941.15
1779980400,212.3,212.78,212.22,212.47,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142112,222915.45
1779980700,212.49,212.6,212.09,212.45,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151376,210476.05
1779981000,212.45,212.62,212.235,212.3,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87798,188656.75
1779981300,212.31,212.48,212.16,212.35,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81603,170269.95
1779981600,212.35,213.08,212.29,212.79,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156977,163787.95
1779981900,212.8,213.14,212.65,212.68,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131143,157642.1
1779982200,212.68,213.02,212.6,212.88,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97529,149977.3
1779982500,212.87,212.88,212.43,212.72,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104549,147695.95
1779982800,212.7,213.14,212.66,212.96,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108405,142897.95
1779983100,212.96,212.96,212.66,212.8,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103492,140894.75
1779983400,212.8,213.32,212.62,212.64,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105066,128227.9
1779983700,212.61,212.62,212.25,212.26,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89793,117921.55
1779984000,212.26,212.53,212.11,212.395,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151737,117842.35
1779984300,212.38,212.56,212.18,212.26,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125418,118717.5
1779984600,212.26,212.72,212.18,212.67,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148437,115665.75
1779984900,212.67,213.18,212.48,213.06,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168567,118948.6
1779985200,213.07,213.31,212.97,213.25,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110362,119150
1779985500,213.25,213.29,212.96,212.99,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97807,117174.35
1779985800,213,213.04,212.45,212.6,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91834,117245
1779986100,212.605,213.12,212.595,213.02,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65546,115977.55
1779986400,213.02,213.69,212.9,213.63,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199801,118862
1779986700,213.63,213.89,213.22,213.24,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134885,118037.45
1779987000,213.25,213.82,213.14,213.54,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76062,117450.65
1779987300,213.53,213.65,213.51,213.63,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32189,114979.95
1779987600,213.64,213.97,213.57,213.74,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82646,111263.4
1779987900,213.75,213.95,213.36,213.4,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89977,109205.1
1779988200,213.39,213.65,213.26,213.55,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56722,107164.75
1779988500,213.57,213.69,213.27,213.27,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50450,104459.8
1779988800,213.275,213.53,213.27,213.47,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56840,101881.55
1779989100,213.47,213.56,213.17,213.225,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56118,99512.85
1779989400,213.24,213.52,213.04,213.05,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72428,97880.95
1779989700,213.04,213.42,212.95,213.37,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81694,97476
1779990000,213.37,213.66,213.255,213.54,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75199,93649.1
1779990300,213.54,214.19,213.39,214.18,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177925,96274.45
1779990600,214.15,215.51,214.15,215.41,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509991,114352.15
1779990900,215.4,215.45,214.82,215.1,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144949,113171.25
1779991200,215.12,215.36,214.905,215.29,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116712,113488.75
1779991500,215.3,215.365,214.875,214.96,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97162,113456.5
1779991800,214.96,214.99,214.2,214.36,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133695,115549.55
1779992100,214.36,214.65,214.24,214.55,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98082,117176.35
1779992400,214.55,214.7,214.32,214.7,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58871,110129.85
1779992700,214.71,214.8,214.19,214.37,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56212,106196.2
1779993000,214.37,214.56,214.18,214.48,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57223,105254.25
1779993300,214.48,214.54,214.29,214.38,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43915,105840.55
1779993600,214.37,214.84,214.34,214.745,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94615,106439
1779993900,214.75,214.89,214.36,214.58,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96203,106750.3
1779994200,214.57,214.64,214.34,214.61,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74197,107624.05
1779994500,214.61,214.72,214.355,214.38,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84611,109332.1
1779994800,214.38,214.41,213.86,214.09,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152198,114100
1779995100,214.1,214.52,214.08,214.48,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59704,114279.3
1779995400,214.49,214.57,214.18,214.22,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72779,114296.85
1779995700,214.23,214.28,214,214.12,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77529,114088.6
1779996000,214.11,214.15,213.9,213.935,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100974,115377.35
1779996300,213.93,214.205,213.89,214.11,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80877,110524.95
1779996600,214.11,214.25,213.85,214.1,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98443,89947.55
1779996900,214.1,214.38,214.025,214.38,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91828,87291.5
1779997200,214.38,214.43,214.07,214.22,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126900,87800.9
1779997500,214.21,214.49,214.16,214.165,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97401,87812.85
1779997800,214.16,214.25,213.77,213.88,214.24,211.19,214.24,212.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217716,92013.9
1779998100,213.88,214.39,212.08,214.25,214.24,211.19,214.24,212.715,1,1,1779990600000,214.61,214.24,211.19,0.19163662643021986,0.4193653604212186,1.1788826242952335,2,1779991980000,1,1,1779990900000,214.94,365.27464140832063,0.22797059644552392,1.330603889457516,2,1,1779991200000,215,396.58389638617837,0.16976744186046933,1.358139534883715,2,1,1779991500000,215.11,453.9841971789225,0.06508298080051432,1.4085816558969833,2,0,,,,0,0,0,1.1447368421052828,,,,,,,,,,1779991980000,1779991980000,1779991980000,214.22,1779998340000,,300,60,27690,300956,102157.6
1780061400,214.55,215.27,212.82,213.25,215.27,212.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483600,123394.05
1780061700,213.23,213.84,212.85,213.8,215.27,212.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263791,133773
1780062000,213.83,216.17,213.65,216.04,216.17,212.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554688,158646.25
1780062300,216.03,216.41,215.06,216.3,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397999,176350.45
1780062600,216.3,216.43,215.66,215.73,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312251,187232.25
1780062900,215.72,217.15,215.56,217.1,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380026,201423.4
1780063200,217.095,217.26,215.86,216.12,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359943,215710.7
1780063500,216.12,217.075,216.09,216.16,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243221,223641.2
1780063800,216.13,216.84,215.79,216.275,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329212,232491.9
1780064100,216.265,216.7,215.95,216.45,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203421,239677.75
1780064400,216.45,217.33,216.08,216.1,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338455,252961.55
1780064700,216.07,216.18,215.03,215.94,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416907,269930.45
1780065000,215.89,216.33,215.67,216.32,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179429,273853.2
1780065300,216.34,216.44,214.91,215.08,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277599,283689.3
1780065600,215.02,215.33,214.38,214.49,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162744,286904.35
1780065900,214.47,215.79,214.36,215.27,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227268,293676.35
1780066200,215.27,215.9,214.89,214.97,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237303,299196.5
1780066500,214.96,215.36,214.95,215.145,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104606,299556.75
1780066800,215.14,215.52,215.04,215.27,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96194,293480.65
1780067100,215.26,216.01,214.87,215.88,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188909,287878.3
1780067400,215.88,217,215.7,216.94,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272147,277305.65
1780067700,216.93,217.02,215.45,215.47,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166132,272422.7
1780068000,215.47,215.48,214.91,215.35,216.17,212.82,216.17,214.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137456,251561.1
