research_period,premarket_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,premarket_feature,context_feature
VALIDATION,GAP_ALIGNED_PM_OPPOSING,CONSENSUS_ALIGNED,212,208,104,104,4,0,50.0,43.39622641509434,1.5926505535308497,1.5326538926140831,1.1242040715850208,1.1749337295641482,98,93,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,GAP_ALIGNED_PM_OPPOSING,CONSENSUS_OPPOSING,185,181,97,84,4,0,53.591160220994475,46.486486486486484,1.995007265798931,1.59833792075606,1.2793308749304786,1.0128147721699823,87,89,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,GAP_ALIGNED_PM_OPPOSING,MIXED,36,35,11,24,1,0,31.428571428571427,38.888888888888886,1.1144549643756534,1.452650809654708,0.5667696326052805,1.2613051507674493,33,11,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,GAP_AND_PM_ALIGNED,CONSENSUS_ALIGNED,820,800,365,435,17,3,45.625,44.390243902439025,1.6758603320617906,1.6205029198643124,1.1662860569411664,1.1481735336416588,112,138,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,GAP_AND_PM_ALIGNED,CONSENSUS_OPPOSING,702,684,373,311,13,5,54.53216374269006,50.712250712250714,1.8587912755654956,1.4594601779945566,1.4038291959155815,1.084678145752232,112,132,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,GAP_AND_PM_ALIGNED,MIXED,136,136,69,67,0,0,50.73529411764706,48.529411764705884,1.2375357666859694,1.8200916296174545,0.9051097318376966,1.1773986081522376,82,13,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,GAP_AND_PM_OPPOSING,CONSENSUS_ALIGNED,686,666,305,361,12,8,45.7957957957958,46.06413994169096,1.4731730833479935,1.5989768180348665,1.0149191865626812,1.148490785835633,112,136,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,GAP_AND_PM_OPPOSING,CONSENSUS_OPPOSING,678,664,342,322,5,9,51.506024096385545,48.08259587020649,1.7083606404901852,1.5640240716599534,1.2795864375399097,1.1139055353799112,112,135,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,GAP_AND_PM_OPPOSING,MIXED,109,108,57,51,1,0,52.77777777777778,58.71559633027523,1.9277776059953429,1.4062416093118864,1.4039310068191087,1.0326958207508412,67,13,gap_premarket_structure_state,market_prior_5d_consensus
VALIDATION,GAP_OPPOSING_PM_ALIGNED,CONSENSUS_ALIGNED,215,212,92,120,2,1,43.39622641509434,42.7906976744186,1.5873961632187534,1.4718290713081768,1.0063038574981258,1.1274315204446221,94,99,gap_premarket_structure_state,market_prior_5d_consensus
