symbol,trade_date,direction,research_period,quarter,c1_cleared_pattern,pm_pd_spacing_pct,directional_level_order_inner_to_outer,A37_G_N1_PM_PD_SPACING_Q4,A37_G_P2_PD_AH_PM_ORDERING,A38_T_P1_PM_REMAINS_FOR_C2,A38_T_N1_PD_REMAINS_FOR_C2,a42_priorclose_to_outer_consumed_ratio,A42_N2_OPEN_CONSUMED_RATIO_Q2
AVGO,2025-10-16,BULL,DISCOVERY,2025Q4,AH,0.25073129962389673,AH>PM>PD,False,False,False,False,0.675405742821477,False
AVGO,2026-01-02,BULL,DISCOVERY,2026Q1,PM+AH+PD,0.870777724026067,AH>PD>PM,True,False,False,False,0.9759124087591212,False
AVGO,2026-03-10,BULL,VALIDATION,2026Q1,PM+AH+PD,0.14623865575133432,AH>PD>PM,False,False,False,False,0.9169230769230825,False
AXON,2025-06-16,BULL,DISCOVERY,2025Q2,PM+AH,0.09853921244546851,AH>PM>PD,False,False,False,True,0.935370077734681,False
AXON,2025-08-05,BULL,DISCOVERY,2025Q3,PM+AH+PD,8.00895110585573,PD>AH>PM,False,True,False,False,1.0001357404642324,False
AXON,2025-11-20,BULL,DISCOVERY,2025Q4,PM+AH+PD,1.6433364935958268,PD>AH>PM,False,True,False,False,0.9557130203720109,False
AXON,2026-03-02,BULL,VALIDATION,2026Q1,PM+AH+PD,0.5452782199776799,AH>PD>PM,True,False,False,False,1.0285714285714227,False
AXON,2026-04-09,BEAR,VALIDATION,2026Q2,PM+AH+PD,0.6407062006122215,AH>PM>PD,True,False,False,False,0.7749071782178242,False
AXON,2026-07-29,BULL,VALIDATION,2026Q3,AH,0.19253823518728144,AH>PM>PD,False,False,False,False,-0.940828402366884,False
AXP,2026-04-23,BEAR,VALIDATION,2026Q2,AH,0.44963458595959055,AH>PD>PM,False,False,False,False,0.10708661417322904,False
AXP,2026-06-09,BULL,VALIDATION,2026Q2,PM+AH+PD,0.05333609301178351,AH>PD>PM,False,False,False,False,1.5117647058823591,False
AXP,2026-06-23,BEAR,VALIDATION,2026Q2,PM+AH+PD,0.15791904414283411,AH>PD>PM,False,False,False,False,1.0631970260223107,False
