hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,validation_subperiod,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
H3B,premarket_rvol_20d_discovery_state,HIGH,relevant_level_cluster_state,MODERATE_CLUSTER,POSITIVE_REPLICATING,VALIDATION_OLDER,209,207,100,107,2,0,48.309178743961354,1.4441441049223196,1.3164229256865483,1.0148321623731509,0.991920646348288,90,65
H3B,premarket_rvol_20d_discovery_state,LOW,relevant_level_cluster_state,TIGHT_CLUSTER,NEGATIVE_REPLICATING,VALIDATION_NEWER,71,70,30,40,0,1,42.857142857142854,1.1172952354800811,1.3036179238190968,1.0061870283109353,1.002865167459029,53,41
H3B,premarket_rvol_20d_discovery_state,LOW,relevant_level_cluster_state,TIGHT_CLUSTER,NEGATIVE_REPLICATING,VALIDATION_OLDER,65,64,31,33,0,1,48.4375,1.2204016736105607,1.2267099302272462,0.9816612729234052,1.023778904102681,50,37
H4A,exhaustion_state,NONE,session_level_clear_state,ALL_3_CLEARED,POSITIVE_REPLICATING,VALIDATION_NEWER,154,152,75,77,2,0,49.3421052631579,1.4161190569585331,1.3405389259072475,1.0907623873091374,0.9070910867340818,79,70
H4A,exhaustion_state,NONE,session_level_clear_state,ALL_3_CLEARED,POSITIVE_REPLICATING,VALIDATION_OLDER,212,209,114,95,3,0,54.54545454545455,1.499935237479107,1.1903200811301586,1.137343476327939,0.9677148652104561,84,63
H4A,exhaustion_state,MULTIPLE,session_level_clear_state,ONE_OF_3_CLEARED,NEGATIVE_REPLICATING,VALIDATION_NEWER,111,104,51,53,7,0,49.03846153846154,2.2508242746074507,2.3245704262643496,1.6021361815754354,1.6169965919802698,60,59
H4A,exhaustion_state,MULTIPLE,session_level_clear_state,ONE_OF_3_CLEARED,NEGATIVE_REPLICATING,VALIDATION_OLDER,85,82,30,52,3,0,36.58536585365854,2.250744949411396,1.6770811752639947,1.54392021480629,1.3577981651376154,52,48
H4A,exhaustion_state,ONE,session_level_clear_state,NONE_CLEARED,NEGATIVE_REPLICATING,VALIDATION_NEWER,123,118,56,62,2,3,47.45762711864407,1.696274291935061,1.4429574612028282,1.212250755748258,1.1305524342422104,69,61
H4A,exhaustion_state,ONE,session_level_clear_state,NONE_CLEARED,NEGATIVE_REPLICATING,VALIDATION_OLDER,92,90,36,54,2,0,40.0,1.3207138505874523,1.4572280473628223,0.9737896506791319,1.2634482893158558,66,55
H4A,exhaustion_state,ONE,session_level_clear_state,ALL_3_CLEARED,POSITIVE_REPLICATING,VALIDATION_NEWER,66,66,36,30,0,0,54.54545454545455,1.5813102591745187,1.6965407698529311,1.1685020259016672,0.871411844707515,46,41
H4A,exhaustion_state,ONE,session_level_clear_state,ALL_3_CLEARED,POSITIVE_REPLICATING,VALIDATION_OLDER,75,73,42,31,0,2,57.534246575342465,1.9798588556324803,1.3502340716060617,1.409722222222223,0.8528830920809928,56,45
H4A,exhaustion_state,NONE,session_level_clear_state,ONE_OF_3_CLEARED,POSITIVE_REPLICATING,VALIDATION_NEWER,177,173,86,87,0,4,49.71098265895954,1.3767788706399062,1.4277642920286977,1.0531898772541335,0.9974691082328376,82,68
H4A,exhaustion_state,NONE,session_level_clear_state,ONE_OF_3_CLEARED,POSITIVE_REPLICATING,VALIDATION_OLDER,217,215,109,106,1,1,50.69767441860465,1.2877091190247327,1.4025477463670946,0.8616095221176043,1.0914259607086538,90,73
