hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,sensitivity,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,BASE,467,452,186,266,8,7,41.150442477876105,1.4957806142169745,1.6433862147768201,1.0739359140667077,1.1883418743752892,109,103
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,452,439,181,258,8,5,41.23006833712984,1.5244727047407176,1.6527786118639192,1.093283005250231,1.1956197098105488,106,103
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,BASE,181,176,81,95,5,0,46.02272727272727,1.7577046670965721,1.8773371164454071,1.0973063424602718,1.4500371011625013,93,44
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,169,164,77,87,5,0,46.951219512195124,1.7598225622746375,1.9089404029110482,1.0954030521486768,1.5361173814898437,90,44
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,BASE,451,441,246,195,8,2,55.78231292517007,1.7738705537635133,1.540521619408997,1.3615124862572645,1.1035122982829073,107,105
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,430,421,233,188,8,1,55.34441805225653,1.7957976649367622,1.5446196966029346,1.3648832171353158,1.1140626253364192,104,105
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,BASE,205,200,109,91,4,1,54.5,2.0420129750781264,1.217786927272142,1.4858728557013086,0.8893875842007402,93,48
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,198,194,105,89,4,0,54.123711340206185,2.07075214313777,1.247695155756242,1.4988187807918287,0.9138622770473437,90,48
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,BASE,452,440,210,230,11,1,47.72727272727273,1.6864843088361943,1.760951782282903,1.1463050655603872,1.2912079414644022,108,107
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,424,412,192,220,11,1,46.601941747572816,1.6952614179365157,1.8274076821333514,1.1564902347514967,1.3764839990076982,105,106
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,BASE,539,526,259,267,5,8,49.239543726235745,1.5687277918228781,1.4650834722681196,1.1404231931849451,0.9531071635226889,112,109
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,520,512,253,259,5,3,49.4140625,1.6092299694420937,1.4890784586406132,1.1718984573843207,0.9685958982799067,109,109
H5A,relative_multi_horizon_state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,BASE,411,399,218,181,9,3,54.636591478696744,1.8814889256020684,1.58043044107014,1.3867560147051934,1.1811023622047139,100,108
H5A,relative_multi_horizon_state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,380,370,202,168,9,1,54.5945945945946,1.9267672145675683,1.6127465966051195,1.452968601284912,1.2103463958329659,97,108
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,BASE,257,252,113,139,5,0,44.84126984126984,1.8275614571922094,1.7746931453933306,1.099203203680194,1.2962426349850356,98,48
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,239,234,109,125,5,0,46.58119658119658,1.8396485074207667,1.7975879511178314,1.1146496815286528,1.3244549155334038,95,48
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,MAJORITY_ALIGNED,POSITIVE_REPLICATING,BASE,377,371,184,187,6,0,49.59568733153639,1.361687266530115,1.5688881105750305,1.0172432802979727,1.100864748007031,108,48
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,MAJORITY_ALIGNED,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,360,354,177,177,6,0,50.0,1.3927057638719007,1.5864456381754002,1.0621447281449425,1.1475290981399395,105,48
