source_label,source,column,dtype
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,prior_rth_bar_n,float64
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,prior_ah_bar_n,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c1_volume,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c2_volume,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c3_volume,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c1_body_to_range_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c2_body_to_range_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c2_to_c1_volume_ratio,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c1_range_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c2_range_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c1_body_to_range_pct__bucket,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c2_body_to_range_pct__bucket,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c2_to_c1_volume_ratio__bucket,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c1_range_pct__bucket,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c2_range_pct__bucket,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,volume,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,range_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,prior_range_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,weekly_week_volume,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,weekly_range_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,hist_c1_volume,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,hist_c2_volume,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,opening_2m_volume,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c2_vs_c1_volume_ratio,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,hist_c1_volume_median_20d_prior,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,hist_c1_volume_median_60d_prior,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,hist_c2_volume_median_20d_prior,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,hist_c2_volume_median_60d_prior,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,opening_2m_volume_median_20d_prior,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,opening_2m_volume_median_60d_prior,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c2_vs_c1_volume_state,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c2_vs_c1_volume_ratio_discovery_state,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,c2_vs_c1_volume_ratio_winsor,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,pmh,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,pml,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,pre_last_close,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,pre_bar_n_x,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,prior_rth_bar_n,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,prior_ah_bar_n,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,pre_open,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,pre_high,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,pre_low,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,pre_close,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,pre_volume,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,pre_bar_n_y,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,premarket_return_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,premarket_range_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,premarket_gap_from_prior_close_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,premarket_close_vs_prior_close_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,premarket_close_location_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,pre_volume_median_20d_prior,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,premarket_rvol_20d,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,directional_premarket_gap_from_prior_close_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,directional_premarket_gap_from_prior_close_pct_state,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,directional_premarket_return_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,directional_premarket_return_pct_state,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,directional_premarket_close_vs_prior_close_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,directional_premarket_close_vs_prior_close_pct_state,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,directional_premarket_close_location_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,gap_premarket_structure_state,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,abs_premarket_return_pct,float64
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,premarket_range_pct_discovery_state,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,premarket_rvol_20d_discovery_state,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,directional_premarket_close_location_pct_discovery_state,str
PREMARKET CONTEXT,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,abs_premarket_return_pct_discovery_state,str
