symbol,trade_date,direction,outcome,research_period,quarter,c1_close,c2_close,pm_directional_level,ah_directional_level,pd_directional_level,c1_pm_beyond,c1_ah_beyond,c1_pd_beyond,c2_pm_beyond_calc,c2_ah_beyond_calc,c2_pd_beyond_calc,c1_levels_cleared_n,c2_levels_cleared_calc_n,levels_newly_cleared_by_c2_n,c1_cleared_pattern,c2_break_level_n,c2_break_count_state
ARM,2025-12-23,BEAR,FAVORABLE_FIRST,DISCOVERY,2025Q4,112.35,112.335,112.44,113.11,112.67,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
ARM,2026-01-28,BEAR,FAVORABLE_FIRST,VALIDATION,2026Q1,114.94,113.3432,114.24,114.48,114.235,False,False,False,True,True,True,0,3,3,NONE,3,MULTIPLE_C2_LEVEL_BREAKS
ARM,2026-02-06,BULL,FAVORABLE_FIRST,VALIDATION,2026Q1,114.49,115.5224,112.8905,111.2,115.1,True,True,False,True,True,True,2,3,1,PM+AH,1,ONE_C2_LEVEL_BREAK
ARM,2026-05-15,BEAR,ADVERSE_FIRST,VALIDATION,2026Q2,213.5,210.785,214.43,225.5976,213.23,True,True,False,True,True,True,2,3,1,PM+AH,1,ONE_C2_LEVEL_BREAK
ARM,2026-06-12,BULL,FAVORABLE_FIRST,VALIDATION,2026Q2,355.61,356.96,356.95,352.554,344.68,False,True,True,True,True,True,2,3,1,AH+PD,1,ONE_C2_LEVEL_BREAK
ARM,2026-07-13,BEAR,FAVORABLE_FIRST,VALIDATION,2026Q3,307.045,304.54,309.23,322.0,317.88,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
ASML,2025-07-16,BEAR,FAVORABLE_FIRST,DISCOVERY,2025Q3,751.26,745.8035,751.0,820.0,814.21,False,True,True,True,True,True,2,3,1,AH+PD,1,ONE_C2_LEVEL_BREAK
ASML,2025-09-08,BULL,ADVERSE_FIRST,DISCOVERY,2025Q3,791.68,791.38,789.87,783.27,783.095,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
ASML,2026-03-13,BULL,FAVORABLE_FIRST,VALIDATION,2026Q1,1369.56,1372.87,1371.21,1351.58,1372.54,False,True,False,True,True,True,1,3,2,AH,2,MULTIPLE_C2_LEVEL_BREAKS
ASML,2026-05-15,BEAR,FAVORABLE_FIRST,VALIDATION,2026Q2,1508.31,1504.24,1508.0,1575.0,1563.28,False,True,True,True,True,True,2,3,1,AH+PD,1,ONE_C2_LEVEL_BREAK
ASML,2026-05-22,BULL,FAVORABLE_FIRST,VALIDATION,2026Q2,1620.45,1622.485,1620.87,1597.98,1601.79,False,True,True,True,True,True,2,3,1,AH+PD,1,ONE_C2_LEVEL_BREAK
ASML,2026-08-03,BEAR,ADVERSE_FIRST,VALIDATION,2026Q3,1592.67,1587.3552,1604.49,1622.5,1624.71,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
AVGO,2025-09-04,BULL,ADVERSE_FIRST,DISCOVERY,2025Q3,306.56,306.8693,306.65,303.54,304.45,False,True,True,True,True,True,2,3,1,AH+PD,1,ONE_C2_LEVEL_BREAK
AVGO,2025-10-16,BULL,ADVERSE_FIRST,DISCOVERY,2025Q4,357.65,359.6501,358.5,354.0,359.4,False,True,False,True,True,True,1,3,2,AH,2,MULTIPLE_C2_LEVEL_BREAKS
AVGO,2026-01-02,BULL,FAVORABLE_FIRST,DISCOVERY,2026Q1,353.465,354.71,352.94,346.6,349.88,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
AVGO,2026-03-10,BULL,ADVERSE_FIRST,VALIDATION,2026Q1,350.05,350.545,349.0,346.0,348.49,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
AXON,2025-06-16,BULL,FAVORABLE_FIRST,DISCOVERY,2025Q2,786.675,786.8689,786.0,780.63,786.7749,True,True,False,True,True,True,2,3,1,PM+AH,1,ONE_C2_LEVEL_BREAK
AXON,2025-08-05,BULL,FAVORABLE_FIRST,DISCOVERY,2025Q3,825.085,848.0,817.99,779.0,755.0,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
AXON,2025-11-20,BULL,FAVORABLE_FIRST,DISCOVERY,2025Q4,545.31,546.7495,542.35,535.0,533.51,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
AXON,2026-03-02,BULL,ADVERSE_FIRST,VALIDATION,2026Q1,548.805,552.575,548.0,542.4,545.02,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
AXON,2026-04-09,BEAR,FAVORABLE_FIRST,VALIDATION,2026Q2,384.2524,385.03,387.53,391.53,385.055,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
AXON,2026-07-29,BULL,ADVERSE_FIRST,VALIDATION,2026Q3,548.22,552.81,550.01,548.03,551.07,False,True,False,True,True,True,1,3,2,AH,2,MULTIPLE_C2_LEVEL_BREAKS
AXP,2026-04-23,BEAR,ADVERSE_FIRST,VALIDATION,2026Q2,328.2675,326.215,326.53,332.9,328.0015,False,True,False,True,True,True,1,3,2,AH,2,MULTIPLE_C2_LEVEL_BREAKS
AXP,2026-06-09,BULL,ADVERSE_FIRST,VALIDATION,2026Q2,316.235,317.82,314.13,312.36,313.9625,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
AXP,2026-06-23,BEAR,ADVERSE_FIRST,VALIDATION,2026Q2,334.53,334.31,335.35,338.0,335.88,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
AXP,2026-08-24,BULL,FAVORABLE_FIRST,VALIDATION,2026Q3,338.105,339.68,336.4,336.99,337.16,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BA,2025-06-25,BEAR,FAVORABLE_FIRST,DISCOVERY,2025Q2,200.42,200.0,200.51,200.5,200.18,True,True,False,True,True,True,2,3,1,PM+AH,1,ONE_C2_LEVEL_BREAK
BA,2025-07-14,BULL,ADVERSE_FIRST,DISCOVERY,2025Q3,232.25,232.205,231.78,231.5,228.735,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BA,2025-09-12,BEAR,FAVORABLE_FIRST,DISCOVERY,2025Q3,218.93,219.0835,219.99,219.99,219.65,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BA,2025-10-29,BEAR,ADVERSE_FIRST,DISCOVERY,2025Q4,217.83,217.3,218.14,223.13,222.6,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BA,2025-10-31,BEAR,ADVERSE_FIRST,DISCOVERY,2025Q4,200.25,199.12,200.5,200.08,200.02,True,False,False,True,True,True,1,3,2,PM,2,MULTIPLE_C2_LEVEL_BREAKS
BA,2025-12-31,BEAR,FAVORABLE_FIRST,DISCOVERY,2025Q4,218.03,218.0,218.45,218.4,218.4,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BA,2026-01-22,BULL,ADVERSE_FIRST,VALIDATION,2026Q1,252.88,253.14,252.0,250.5,251.31,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BA,2026-01-27,BEAR,ADVERSE_FIRST,VALIDATION,2026Q1,241.63,241.0251,241.06,248.0,247.405,False,True,True,True,True,True,2,3,1,AH+PD,1,ONE_C2_LEVEL_BREAK
BA,2026-02-10,BULL,FAVORABLE_FIRST,VALIDATION,2026Q1,245.56,246.165,245.0,244.95,245.84,True,True,False,True,True,True,2,3,1,PM+AH,1,ONE_C2_LEVEL_BREAK
BA,2026-05-12,BEAR,ADVERSE_FIRST,VALIDATION,2026Q2,237.5,235.715,238.78,238.21,236.52,True,True,False,True,True,True,2,3,1,PM+AH,1,ONE_C2_LEVEL_BREAK
BAC,2025-06-23,BULL,ADVERSE_FIRST,DISCOVERY,2025Q2,45.51,45.69,45.53,45.65,45.65,False,False,False,True,True,True,0,3,3,NONE,3,MULTIPLE_C2_LEVEL_BREAKS
BAC,2025-08-20,BULL,ADVERSE_FIRST,DISCOVERY,2025Q3,48.25,48.305,48.18,48.27,48.115,True,False,True,True,True,True,2,3,1,PM+PD,1,ONE_C2_LEVEL_BREAK
BAC,2025-09-16,BEAR,ADVERSE_FIRST,DISCOVERY,2025Q3,50.49,50.215,50.48,50.56,50.46,False,True,False,True,True,True,1,3,2,AH,2,MULTIPLE_C2_LEVEL_BREAKS
BAC,2025-10-22,BEAR,ADVERSE_FIRST,DISCOVERY,2025Q4,51.33,51.075,51.49,51.42,51.44,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BAC,2025-12-15,BULL,FAVORABLE_FIRST,DISCOVERY,2025Q4,55.47,55.5509,55.55,55.2,55.295,False,True,True,True,True,True,2,3,1,AH+PD,1,ONE_C2_LEVEL_BREAK
BAC,2026-01-05,BULL,FAVORABLE_FIRST,DISCOVERY,2026Q1,56.28,56.51,56.27,56.0,55.99,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BAC,2026-01-22,BULL,ADVERSE_FIRST,VALIDATION,2026Q1,52.635,52.92,52.62,52.2,52.86,True,True,False,True,True,True,2,3,1,PM+AH,1,ONE_C2_LEVEL_BREAK
BAC,2026-04-01,BULL,ADVERSE_FIRST,VALIDATION,2026Q2,49.79,49.821,49.69,48.85,48.77,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BKNG,2026-07-28,BULL,FAVORABLE_FIRST,VALIDATION,2026Q3,191.04,191.22,191.0,187.49,187.34,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BKNG,2026-08-24,BULL,FAVORABLE_FIRST,VALIDATION,2026Q3,212.1445,212.565,212.0,209.67,211.63,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BLK,2025-10-21,BEAR,FAVORABLE_FIRST,DISCOVERY,2025Q4,1158.0,1158.15,1163.9,1160.0,1158.6243,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BLK,2026-01-22,BULL,ADVERSE_FIRST,VALIDATION,2026Q1,1142.415,1142.38,1137.3,1130.18,1135.345,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BMY,2025-07-21,BEAR,FAVORABLE_FIRST,DISCOVERY,2025Q3,47.24,47.185,47.37,47.36,47.26,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BMY,2025-09-02,BULL,ADVERSE_FIRST,DISCOVERY,2025Q3,47.5314,47.8599,47.22,47.19,47.36,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BMY,2025-11-06,BULL,ADVERSE_FIRST,DISCOVERY,2025Q4,46.7,46.85,46.5275,46.47,46.63,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BMY,2025-11-11,BULL,FAVORABLE_FIRST,DISCOVERY,2025Q4,47.57,47.62,47.47,47.26,47.395,True,True,True,True,True,True,3,3,0,PM+AH+PD,0,NO_C2_LEVEL_BREAK
BMY,2026-01-06,BULL,FAVORABLE_FIRST,DISCOVERY,2026Q1,53.32,53.43,53.21,53.11,53.36,True,True,False,True,True,True,2,3,1,PM+AH,1,ONE_C2_LEVEL_BREAK
