quarter,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
2025Q4,UNKNOWN,73,71,39,32,0,2,54.929577464788736,31,42.465753424657535,1.64914252915688,1.0012574011953816,1.0522788203753497,0.6189875070735321,59,3,market_weekly_regime_state
2026Q1,ALIGNED,566,558,285,273,7,1,51.075268817204304,255,45.053003533568905,1.4688592356840453,1.4130090310976509,1.1097444948907593,1.0726355927350526,111,46,market_weekly_regime_state
2026Q1,MIXED,418,410,222,188,8,0,54.146341463414636,208,49.760765550239235,1.6797493639376024,1.4739689680424486,1.1980316246131522,1.0818906189996536,112,15,market_weekly_regime_state
2026Q1,OPPOSING,585,573,303,270,9,3,52.87958115183246,279,47.69230769230769,1.8187615075978112,1.4668038353844306,1.2805416544009487,1.1000793114590384,111,46,market_weekly_regime_state
2026Q2,ALIGNED,757,744,374,370,9,4,50.26881720430107,353,46.63143989431968,1.7950893087072406,1.4461729553956848,1.1833006693044368,1.0014346263662899,112,55,market_weekly_regime_state
2026Q2,MIXED,157,154,72,82,3,0,46.753246753246756,74,47.13375796178344,2.4771670909925536,1.799428175700378,1.5332928267629298,1.3733468972533005,80,7,market_weekly_regime_state
2026Q2,OPPOSING,713,695,353,342,10,8,50.79136690647482,351,49.22861150070126,1.5696337135329554,1.6721867150647336,1.170026059671323,1.2283683559950582,111,55,market_weekly_regime_state
2026Q3,ALIGNED,520,504,225,279,13,3,44.642857142857146,232,44.61538461538461,1.6129080153665987,1.663716526733793,1.1393087736675689,1.2198333705497775,110,39,market_weekly_regime_state
2026Q3,MIXED,183,177,86,91,5,1,48.58757062146893,91,49.72677595628415,1.610604590891809,1.4564907189732303,1.1779824373527523,1.020877631464423,93,7,market_weekly_regime_state
2026Q3,OPPOSING,542,529,259,270,5,8,48.960302457466916,272,50.18450184501845,1.6042313798504029,1.4876276582280243,1.0983316611699878,1.0308943161037705,109,39,market_weekly_regime_state
