research_period,candidate_a,candidate_b,cell,binary_n,favorable_n,ff_pct,period_baseline_ff_pct,lift_vs_period_baseline_pp
VALIDATION,P_MEAN_SPACE_Q2,P_CLUSTER_Q2,B_ONLY,1,0,0.0,57.840616966580974,-57.840616966580974
VALIDATION,P_MEAN_SPACE_Q2,P_CLUSTER_Q2,BOTH,67,45,67.16417910447761,57.840616966580974,9.323562137896637
VALIDATION,P_MEAN_SPACE_Q2,P_ORDER_PD_AH_PM,NEITHER,266,144,54.13533834586466,57.840616966580974,-3.7052786207163138
VALIDATION,P_MEAN_SPACE_Q2,P_ORDER_PD_AH_PM,A_ONLY,61,41,67.21311475409836,57.840616966580974,9.372497787517382
VALIDATION,P_MEAN_SPACE_Q2,P_ORDER_PD_AH_PM,B_ONLY,55,35,63.63636363636363,57.840616966580974,5.795746669782659
VALIDATION,P_MEAN_SPACE_Q2,P_ORDER_PD_AH_PM,BOTH,7,5,71.42857142857143,57.840616966580974,13.587954461990456
VALIDATION,P_CLUSTER_Q2,P_ORDER_PD_AH_PM,NEITHER,266,145,54.51127819548872,57.840616966580974,-3.329338771092253
VALIDATION,P_CLUSTER_Q2,P_ORDER_PD_AH_PM,A_ONLY,61,40,65.57377049180327,57.840616966580974,7.733153525222299
VALIDATION,P_CLUSTER_Q2,P_ORDER_PD_AH_PM,B_ONLY,55,35,63.63636363636363,57.840616966580974,5.795746669782659
VALIDATION,P_CLUSTER_Q2,P_ORDER_PD_AH_PM,BOTH,7,5,71.42857142857143,57.840616966580974,13.587954461990456
