research_period,target_candidate,condition_candidate,condition_state,conditional_baseline_n,conditional_baseline_ff_pct,target_n,target_ff_pct,incremental_lift_pp
DISCOVERY,P_ORDER_PD_AH_PM,P_MEAN_SPACE_Q2,CONDITION_ABSENT,291,54.982817869415804,41,60.97560975609756,5.992791886681758
DISCOVERY,P_ORDER_PD_AH_PM,P_MEAN_SPACE_Q2,CONDITION_PRESENT,73,60.273972602739725,6,83.33333333333333,23.059360730593603
DISCOVERY,P_ORDER_PD_AH_PM,P_CLUSTER_Q2,CONDITION_ABSENT,291,54.63917525773196,41,60.97560975609756,6.336434498365605
DISCOVERY,P_ORDER_PD_AH_PM,P_CLUSTER_Q2,CONDITION_PRESENT,73,61.64383561643836,6,83.33333333333333,21.68949771689497
VALIDATION,N_PM_PD_Q4,N_OUTER_PEN_Q4,CONDITION_ABSENT,312,59.61538461538461,66,48.484848484848484,-11.130536130536129
VALIDATION,N_PM_PD_Q4,N_OUTER_PEN_Q4,CONDITION_PRESENT,77,50.64935064935065,19,57.89473684210526,7.245386192754609
VALIDATION,N_PM_PD_Q4,P_MEAN_SPACE_Q2,CONDITION_ABSENT,321,55.76323987538941,83,50.602409638554214,-5.160830236835196
VALIDATION,N_PM_PD_Q4,P_MEAN_SPACE_Q2,CONDITION_PRESENT,68,67.6470588235294,2,50.0,-17.647058823529406
VALIDATION,N_PM_PD_Q4,P_CLUSTER_Q2,CONDITION_ABSENT,321,56.074766355140184,83,50.602409638554214,-5.472356716585971
VALIDATION,N_PM_PD_Q4,P_CLUSTER_Q2,CONDITION_PRESENT,68,66.17647058823529,2,50.0,-16.17647058823529
VALIDATION,N_PM_PD_Q4,P_ORDER_PD_AH_PM,CONDITION_ABSENT,327,56.57492354740061,71,52.11267605633803,-4.462247491062577
VALIDATION,N_PM_PD_Q4,P_ORDER_PD_AH_PM,CONDITION_PRESENT,62,64.51612903225806,14,42.857142857142854,-21.65898617511521
VALIDATION,N_OUTER_PEN_Q4,N_PM_PD_Q4,CONDITION_ABSENT,304,59.86842105263158,58,48.275862068965516,-11.592558983666066
VALIDATION,N_OUTER_PEN_Q4,N_PM_PD_Q4,CONDITION_PRESENT,85,50.588235294117645,19,57.89473684210526,7.306501547987615
VALIDATION,N_OUTER_PEN_Q4,P_MEAN_SPACE_Q2,CONDITION_ABSENT,321,55.76323987538941,63,47.61904761904762,-8.144192256341789
VALIDATION,N_OUTER_PEN_Q4,P_MEAN_SPACE_Q2,CONDITION_PRESENT,68,67.6470588235294,14,64.28571428571429,-3.361344537815114
VALIDATION,N_OUTER_PEN_Q4,P_CLUSTER_Q2,CONDITION_ABSENT,321,56.074766355140184,63,47.61904761904762,-8.455718736092564
VALIDATION,N_OUTER_PEN_Q4,P_CLUSTER_Q2,CONDITION_PRESENT,68,66.17647058823529,14,64.28571428571429,-1.8907563025209981
VALIDATION,N_OUTER_PEN_Q4,P_ORDER_PD_AH_PM,CONDITION_ABSENT,327,56.57492354740061,67,47.76119402985075,-8.81372951754986
VALIDATION,N_OUTER_PEN_Q4,P_ORDER_PD_AH_PM,CONDITION_PRESENT,62,64.51612903225806,10,70.0,5.483870967741936
VALIDATION,P_MEAN_SPACE_Q2,N_PM_PD_Q4,CONDITION_ABSENT,304,59.86842105263158,66,68.18181818181819,8.313397129186605
VALIDATION,P_MEAN_SPACE_Q2,N_PM_PD_Q4,CONDITION_PRESENT,85,50.588235294117645,2,50.0,-0.588235294117645
VALIDATION,P_MEAN_SPACE_Q2,N_OUTER_PEN_Q4,CONDITION_ABSENT,312,59.61538461538461,54,68.51851851851852,8.903133903133906
VALIDATION,P_MEAN_SPACE_Q2,N_OUTER_PEN_Q4,CONDITION_PRESENT,77,50.64935064935065,14,64.28571428571429,13.63636363636364
VALIDATION,P_MEAN_SPACE_Q2,P_CLUSTER_Q2,CONDITION_ABSENT,321,56.074766355140184,1,100.0,43.925233644859816
VALIDATION,P_MEAN_SPACE_Q2,P_CLUSTER_Q2,CONDITION_PRESENT,68,66.17647058823529,67,67.16417910447761,0.9877085162423214
VALIDATION,P_MEAN_SPACE_Q2,P_ORDER_PD_AH_PM,CONDITION_ABSENT,327,56.57492354740061,61,67.21311475409836,10.638191206697748
VALIDATION,P_MEAN_SPACE_Q2,P_ORDER_PD_AH_PM,CONDITION_PRESENT,62,64.51612903225806,7,71.42857142857143,6.9124423963133665
VALIDATION,P_CLUSTER_Q2,N_PM_PD_Q4,CONDITION_ABSENT,304,59.86842105263158,66,66.66666666666667,6.798245614035089
VALIDATION,P_CLUSTER_Q2,N_PM_PD_Q4,CONDITION_PRESENT,85,50.588235294117645,2,50.0,-0.588235294117645
VALIDATION,P_CLUSTER_Q2,N_OUTER_PEN_Q4,CONDITION_ABSENT,312,59.61538461538461,54,66.66666666666667,7.051282051282058
VALIDATION,P_CLUSTER_Q2,N_OUTER_PEN_Q4,CONDITION_PRESENT,77,50.64935064935065,14,64.28571428571429,13.63636363636364
VALIDATION,P_CLUSTER_Q2,P_MEAN_SPACE_Q2,CONDITION_ABSENT,321,55.76323987538941,1,0.0,-55.76323987538941
VALIDATION,P_CLUSTER_Q2,P_MEAN_SPACE_Q2,CONDITION_PRESENT,68,67.6470588235294,67,67.16417910447761,-0.4828797190517946
VALIDATION,P_CLUSTER_Q2,P_ORDER_PD_AH_PM,CONDITION_ABSENT,327,56.57492354740061,61,65.57377049180327,8.998846944402665
VALIDATION,P_CLUSTER_Q2,P_ORDER_PD_AH_PM,CONDITION_PRESENT,62,64.51612903225806,7,71.42857142857143,6.9124423963133665
VALIDATION,P_ORDER_PD_AH_PM,N_PM_PD_Q4,CONDITION_ABSENT,304,59.86842105263158,48,70.83333333333333,10.964912280701746
VALIDATION,P_ORDER_PD_AH_PM,N_PM_PD_Q4,CONDITION_PRESENT,85,50.588235294117645,14,42.857142857142854,-7.731092436974791
VALIDATION,P_ORDER_PD_AH_PM,N_OUTER_PEN_Q4,CONDITION_ABSENT,312,59.61538461538461,52,63.46153846153846,3.8461538461538467
VALIDATION,P_ORDER_PD_AH_PM,N_OUTER_PEN_Q4,CONDITION_PRESENT,77,50.64935064935065,10,70.0,19.35064935064935
VALIDATION,P_ORDER_PD_AH_PM,P_MEAN_SPACE_Q2,CONDITION_ABSENT,321,55.76323987538941,55,63.63636363636363,7.873123760974224
VALIDATION,P_ORDER_PD_AH_PM,P_MEAN_SPACE_Q2,CONDITION_PRESENT,68,67.6470588235294,7,71.42857142857143,3.7815126050420247
VALIDATION,P_ORDER_PD_AH_PM,P_CLUSTER_Q2,CONDITION_ABSENT,321,56.074766355140184,55,63.63636363636363,7.561597281223449
VALIDATION,P_ORDER_PD_AH_PM,P_CLUSTER_Q2,CONDITION_PRESENT,68,66.17647058823529,7,71.42857142857143,5.252100840336141
