metric,research_period,direction,geometry_quintile,binary_n,favorable_n,adverse_n,favorable_first_pct
ah_pd_spacing_pct,VALIDATION,BULL,Q5,45,26,19,57.77777777777778
mean_pairwise_spacing_pct,DISCOVERY,BEAR,Q1,48,23,25,47.916666666666664
mean_pairwise_spacing_pct,DISCOVERY,BEAR,Q2,44,27,17,61.36363636363637
mean_pairwise_spacing_pct,DISCOVERY,BEAR,Q3,48,27,21,56.25
mean_pairwise_spacing_pct,DISCOVERY,BEAR,Q4,46,23,23,50.0
mean_pairwise_spacing_pct,DISCOVERY,BEAR,Q5,35,18,17,51.42857142857143
mean_pairwise_spacing_pct,DISCOVERY,BULL,Q1,25,17,8,68.0
mean_pairwise_spacing_pct,DISCOVERY,BULL,Q2,29,17,12,58.62068965517241
mean_pairwise_spacing_pct,DISCOVERY,BULL,Q3,24,16,8,66.66666666666667
mean_pairwise_spacing_pct,DISCOVERY,BULL,Q4,27,14,13,51.851851851851855
mean_pairwise_spacing_pct,DISCOVERY,BULL,Q5,38,22,16,57.89473684210526
mean_pairwise_spacing_pct,VALIDATION,BEAR,Q1,20,11,9,55.0
mean_pairwise_spacing_pct,VALIDATION,BEAR,Q2,39,27,12,69.23076923076923
mean_pairwise_spacing_pct,VALIDATION,BEAR,Q3,47,19,28,40.42553191489362
mean_pairwise_spacing_pct,VALIDATION,BEAR,Q4,47,24,23,51.06382978723404
mean_pairwise_spacing_pct,VALIDATION,BEAR,Q5,67,41,26,61.19402985074627
mean_pairwise_spacing_pct,VALIDATION,BULL,Q1,21,14,7,66.66666666666667
mean_pairwise_spacing_pct,VALIDATION,BULL,Q2,29,19,10,65.51724137931035
mean_pairwise_spacing_pct,VALIDATION,BULL,Q3,33,18,15,54.54545454545455
mean_pairwise_spacing_pct,VALIDATION,BULL,Q4,49,30,19,61.224489795918366
mean_pairwise_spacing_pct,VALIDATION,BULL,Q5,37,22,15,59.45945945945946
closest_pair_spacing_pct,DISCOVERY,BEAR,Q1,46,26,20,56.52173913043478
closest_pair_spacing_pct,DISCOVERY,BEAR,Q2,41,21,20,51.21951219512195
closest_pair_spacing_pct,DISCOVERY,BEAR,Q3,45,24,21,53.333333333333336
closest_pair_spacing_pct,DISCOVERY,BEAR,Q4,44,21,23,47.72727272727273
closest_pair_spacing_pct,DISCOVERY,BEAR,Q5,45,26,19,57.77777777777778
closest_pair_spacing_pct,DISCOVERY,BULL,Q1,27,17,10,62.96296296296296
closest_pair_spacing_pct,DISCOVERY,BULL,Q2,32,21,11,65.625
closest_pair_spacing_pct,DISCOVERY,BULL,Q3,27,19,8,70.37037037037037
closest_pair_spacing_pct,DISCOVERY,BULL,Q4,29,11,18,37.93103448275862
closest_pair_spacing_pct,DISCOVERY,BULL,Q5,28,18,10,64.28571428571429
closest_pair_spacing_pct,VALIDATION,BEAR,Q1,32,18,14,56.25
closest_pair_spacing_pct,VALIDATION,BEAR,Q2,40,16,24,40.0
closest_pair_spacing_pct,VALIDATION,BEAR,Q3,50,28,22,56.0
closest_pair_spacing_pct,VALIDATION,BEAR,Q4,35,21,14,60.0
closest_pair_spacing_pct,VALIDATION,BEAR,Q5,63,39,24,61.904761904761905
closest_pair_spacing_pct,VALIDATION,BULL,Q1,25,15,10,60.0
closest_pair_spacing_pct,VALIDATION,BULL,Q2,34,23,11,67.6470588235294
closest_pair_spacing_pct,VALIDATION,BULL,Q3,34,20,14,58.8235294117647
closest_pair_spacing_pct,VALIDATION,BULL,Q4,34,22,12,64.70588235294117
