research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n,direction,feature
VALIDATION,MAJORITY_ALIGNED,634,623,297,326,11,0,47.67255216693419,46.056782334384856,1.5505353217354119,1.652313810808947,112,48,ALL,market_3idx_prior_5d_state
VALIDATION,MAJORITY_OPPOSING,595,585,314,271,8,2,53.675213675213676,50.08403361344538,1.9765608717139898,1.387942678125467,110,48,ALL,market_3idx_prior_5d_state
VALIDATION,UNKNOWN,150,147,70,77,2,1,47.61904761904762,47.333333333333336,1.5700917576592008,1.3316224635175786,87,5,ALL,market_3idx_prior_5d_state
DISCOVERY,ALL_3_ALIGNED,495,490,231,259,2,3,47.142857142857146,42.82828282828283,1.4426555966517332,1.471038392749046,111,36,BEAR,market_3idx_prior_5d_state
DISCOVERY,ALL_3_OPPOSING,1227,1191,603,588,6,30,50.62972292191436,46.69926650366748,1.2119741156537693,1.1890128125155348,112,91,BEAR,market_3idx_prior_5d_state
DISCOVERY,MAJORITY_ALIGNED,109,108,55,53,0,1,50.925925925925924,39.44954128440367,1.4989309476170427,1.0744684926121257,72,10,BEAR,market_3idx_prior_5d_state
DISCOVERY,MAJORITY_OPPOSING,256,249,113,136,3,4,45.381526104417674,42.96875,1.4776927716048394,1.3987029542439555,101,18,BEAR,market_3idx_prior_5d_state
DISCOVERY,UNKNOWN,85,85,51,34,0,0,60.0,62.35294117647059,1.1100691652303463,1.1081486965637677,64,6,BEAR,market_3idx_prior_5d_state
DISCOVERY,ALL_3_ALIGNED,1205,1173,607,566,0,32,51.74765558397272,45.3941908713693,1.2643993186230835,1.0907975043515181,112,91,BULL,market_3idx_prior_5d_state
DISCOVERY,ALL_3_OPPOSING,461,455,246,209,3,3,54.065934065934066,52.711496746203906,1.35593344906738,1.4163931758373016,109,36,BULL,market_3idx_prior_5d_state
DISCOVERY,MAJORITY_ALIGNED,241,236,118,118,0,5,50.0,44.81327800829875,1.2055546963098365,1.3761183025442443,101,18,BULL,market_3idx_prior_5d_state
DISCOVERY,MAJORITY_OPPOSING,135,134,70,64,0,1,52.23880597014925,45.925925925925924,1.243724180730997,1.4474174430114704,80,10,BULL,market_3idx_prior_5d_state
DISCOVERY,UNKNOWN,58,56,40,16,0,2,71.42857142857143,58.62068965517241,1.4071615972588365,0.9347596301101113,37,6,BULL,market_3idx_prior_5d_state
VALIDATION,ALL_3_ALIGNED,653,640,296,344,6,7,46.25,44.716692189892804,1.4774448860678946,1.5432620838679652,111,51,BEAR,market_3idx_prior_5d_state
VALIDATION,ALL_3_OPPOSING,735,718,382,336,10,7,53.203342618384404,49.1156462585034,1.6679084457808335,1.602402956280484,112,57,BEAR,market_3idx_prior_5d_state
VALIDATION,MAJORITY_ALIGNED,293,288,132,156,5,0,45.833333333333336,47.44027303754266,1.613714278815602,1.6801159807190376,103,23,BEAR,market_3idx_prior_5d_state
VALIDATION,MAJORITY_OPPOSING,284,280,158,122,3,1,56.42857142857143,52.11267605633803,1.9930348599095118,1.3711068447642316,102,25,BEAR,market_3idx_prior_5d_state
VALIDATION,UNKNOWN,67,64,31,33,2,1,48.4375,49.25373134328358,1.3941035069853425,1.1019197807279464,51,5,BEAR,market_3idx_prior_5d_state
VALIDATION,ALL_3_ALIGNED,803,778,340,438,20,5,43.70179948586118,44.20921544209215,1.5971677080141389,1.6745960374304123,112,57,BULL,market_3idx_prior_5d_state
VALIDATION,ALL_3_OPPOSING,615,597,315,282,12,6,52.76381909547739,49.91869918699187,1.8312342892479503,1.4489628153341618,112,51,BULL,market_3idx_prior_5d_state
VALIDATION,MAJORITY_ALIGNED,341,335,165,170,6,0,49.25373134328358,44.868035190615835,1.4962495902852775,1.6284251428216845,111,25,BULL,market_3idx_prior_5d_state
