research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,BELOW_BASELINE,945,914,481,433,1,30,52.62582056892779,46.87830687830688,1.163865147174192,1.1556476179212278,0.8186584777808774,0.7656316461080529,111,144,BULL,opening_2m_rvol_20d_state
DISCOVERY,UNKNOWN,103,99,64,35,0,4,64.64646464646465,62.13592233009709,1.330830353790468,1.0924331747818619,1.1239515043647987,0.6424622740176265,63,13,BULL,opening_2m_rvol_20d_state
VALIDATION,ABOVE_BASELINE,1018,992,521,471,19,7,52.520161290322584,48.1335952848723,1.7313262125936402,1.5997601257598129,1.2622927248379856,1.1646809757103267,112,160,BEAR,opening_2m_rvol_20d_state
VALIDATION,BELOW_BASELINE,1014,998,478,520,7,9,47.895791583166336,47.633136094674555,1.538894726534727,1.491575401559112,1.1087544329331425,1.0696489465121575,112,158,BEAR,opening_2m_rvol_20d_state
VALIDATION,ABOVE_BASELINE,1144,1116,534,582,27,1,47.8494623655914,45.89160839160839,1.8259291035888547,1.6287704576517437,1.2766490431718367,1.1595621266086744,112,159,BULL,opening_2m_rvol_20d_state
VALIDATION,BELOW_BASELINE,1009,982,481,501,16,11,48.9816700610998,47.37363726461843,1.5681205355211667,1.4768469905116013,1.093249617441522,1.0760881189177718,112,156,BULL,opening_2m_rvol_20d_state
DISCOVERY,C2_VOLUME_ACCELERATING,281,275,142,133,2,4,51.63636363636363,48.04270462633452,1.3386405922044564,1.2892178417728375,0.9187082405345177,0.9482129832239253,62,134,ALL,c2_vs_c1_volume_state
DISCOVERY,C2_VOLUME_DECELERATING,3991,3902,1992,1910,12,77,51.05074320861097,46.354297168629415,1.290358500004323,1.2384916923299774,0.9159881569207946,0.8790892059374635,112,161,ALL,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_ACCELERATING,343,329,182,147,13,1,55.319148936170215,47.23032069970846,1.783959895677868,1.5795843581149631,1.3068783068783063,1.1917960088691788,66,144,ALL,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_DECELERATING,3842,3759,1832,1927,56,27,48.736366054801806,47.21499219156689,1.6611472170108115,1.5493669566243617,1.1642758930503934,1.1119612062552362,112,161,ALL,c2_vs_c1_volume_state
DISCOVERY,C2_VOLUME_ACCELERATING,148,145,79,66,2,1,54.48275862068966,49.32432432432432,1.4093564713413946,1.2151193383566963,1.0634296649543198,0.951594442803633,46,98,BEAR,c2_vs_c1_volume_state
DISCOVERY,C2_VOLUME_DECELERATING,2024,1978,974,1004,9,37,49.24165824064712,45.355731225296445,1.298740466579512,1.2730349429247247,0.9175935632990041,0.9207336575872291,112,161,BEAR,c2_vs_c1_volume_state
DISCOVERY,C2_VOLUME_ACCELERATING,133,130,63,67,0,3,48.46153846153846,46.61654135338346,1.2599492379768864,1.3716733192584685,0.8718297101449393,0.936511797616147,47,82,BULL,c2_vs_c1_volume_state
DISCOVERY,C2_VOLUME_DECELERATING,1967,1924,1018,906,3,40,52.91060291060291,47.38179969496696,1.2817336396341228,1.2029474426076754,0.9152275645007695,0.8390022675737064,112,161,BULL,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_ACCELERATING,173,170,99,71,2,1,58.23529411764706,48.554913294797686,1.8279785321843405,1.6000239414759332,1.4143879305563165,1.1761127446010453,48,108,BEAR,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_DECELERATING,1859,1820,900,920,24,15,49.45054945054945,47.8214093598709,1.6173690430654368,1.5407257252980597,1.1541798351614372,1.1007658693302027,112,161,BEAR,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_ACCELERATING,170,159,83,76,11,0,52.20125786163522,45.88235294117647,1.7391644597036342,1.5587840762240934,1.225241155685548,1.210952416266452,43,102,BULL,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_DECELERATING,1983,1939,932,1007,32,12,48.066013408973696,46.64649520927887,1.7021878752883959,1.5574678386392864,1.1700992861245583,1.1274315204446221,112,161,BULL,c2_vs_c1_volume_state
DISCOVERY,BOTH_ABOVE_BASELINE,1524,1500,748,752,12,12,49.86666666666667,44.55380577427822,1.4497525220881966,1.4012835520159403,1.0070452651921196,1.0460164705173758,112,150,ALL,opening_participation_state
