quarter,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature,feature_label
2025Q4,LOW,186,171,87,84,0,15,50.87719298245614,90,48.38709677419355,0.9055829125748075,1.0920218292828392,0.6813253340137029,0.7274092671693679,85,56,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q4,MODERATE,545,534,291,243,0,11,54.49438202247191,271,49.72477064220183,1.2160200976322224,1.1939003850974874,0.8727824684565049,0.7879713757337011,111,64,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q1,EXTREME,217,212,115,97,5,0,54.24528301886792,104,47.92626728110599,2.4014813195729383,1.67122685919595,1.8120600505045759,1.2473758726748905,83,58,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q1,LOW,96,95,55,40,1,0,57.89473684210526,46,47.916666666666664,1.06321143829304,1.3241539856437938,0.8859974532319219,1.0221952231456921,55,45,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q1,MODERATE,420,419,225,194,1,0,53.69928400954654,201,47.857142857142854,1.4787552113952005,1.2358685459231846,1.1695508035281224,0.940775726603759,107,60,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q1,EXTREME,272,258,126,132,14,0,48.83720930232558,133,48.89705882352941,2.192468880142216,1.8541019164341848,1.5905257936507935,1.396303494523532,91,59,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q1,LOW,125,121,56,65,1,3,46.28099173553719,53,42.4,1.1497964523129145,1.33017633971566,0.8950789812517578,0.9515435103476524,70,51,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q1,MODERATE,439,436,233,203,2,1,53.440366972477065,205,46.69703872437358,1.396678857222247,1.354293439301337,1.0658771280533006,1.027391076684191,109,61,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q2,EXTREME,296,286,142,144,10,0,49.65034965034965,134,45.270270270270274,1.9965101190563024,2.1874596347417494,1.6409761216493153,1.665518811258191,92,60,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q2,LOW,103,97,47,50,0,6,48.45360824742268,54,52.42718446601942,1.0354695654779924,1.1587714885909746,0.692221808708602,0.8661417322834741,54,52,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q2,MODERATE,403,398,202,196,3,2,50.753768844221106,201,49.87593052109181,1.4984553072630014,1.4471974604183926,1.0008896797153024,1.0857331880448498,109,62,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q2,EXTREME,278,272,135,137,6,0,49.63235294117647,128,46.0431654676259,2.4701737126828864,2.0139248080800303,1.7545935148594034,1.404693847275019,88,62,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q2,LOW,101,96,48,48,1,4,50.0,49,48.51485148514851,1.3415391651695618,1.1010633400886818,0.9442493322958527,0.6715544965301621,55,45,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q2,MODERATE,446,444,225,219,2,0,50.67567567567568,212,47.53363228699551,1.6664687905972035,1.2295777867901385,1.1318327451859593,0.9091875323138516,108,62,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
