research_period,level_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,level_feature,context_feature
DISCOVERY,INCOMPLETE,NEGATIVE_CANDIDATE,9,8,4,4,0,1,50.0,33.333333333333336,0.8586156680775014,0.8604701037486235,0.3909409544351505,0.48385538783072884,8,6,session_level_clear_state,negative_candidate_state
DISCOVERY,INCOMPLETE,OTHER,114,112,46,66,0,2,41.07142857142857,35.96491228070175,0.8554257270261731,1.2294422056771759,0.5381319527756946,0.9740107093758699,57,65,session_level_clear_state,negative_candidate_state
DISCOVERY,NONE_CLEARED,NEGATIVE_CANDIDATE,54,51,26,25,0,3,50.98039215686274,42.592592592592595,1.2090486710221726,1.1279330898970867,0.7874454143160899,0.6394318264531167,40,43,session_level_clear_state,negative_candidate_state
DISCOVERY,NONE_CLEARED,OTHER,1100,1071,528,543,1,28,49.299719887955185,48.18181818181818,1.2533395009818225,1.2131279343051578,0.8810644962294604,0.8374271428754165,111,156,session_level_clear_state,negative_candidate_state
DISCOVERY,ONE_OF_3_CLEARED,NEGATIVE_CANDIDATE,44,42,23,19,0,2,54.76190476190476,43.18181818181818,1.3936669838097908,1.174511877217138,1.0207918330765666,1.1061360248850598,34,34,session_level_clear_state,negative_candidate_state
DISCOVERY,ONE_OF_3_CLEARED,OTHER,807,788,409,379,1,18,51.90355329949239,47.95539033457249,1.2906984392011334,1.2358874024426256,0.8837209302325608,0.8220404509014,110,156,session_level_clear_state,negative_candidate_state
DISCOVERY,TWO_OF_3_CLEARED,NEGATIVE_CANDIDATE,65,64,36,28,0,1,56.25,46.15384615384615,1.3011638272301032,0.9414433869808604,1.0975609756097544,0.7100304579009928,48,53,session_level_clear_state,negative_candidate_state
DISCOVERY,TWO_OF_3_CLEARED,OTHER,1074,1056,522,534,3,15,49.43181818181818,45.53072625698324,1.2716068676760128,1.2354053032799288,0.9091054858322563,0.8901996259520902,112,157,session_level_clear_state,negative_candidate_state
VALIDATION,ALL_3_CLEARED,NEGATIVE_CANDIDATE,64,63,26,37,1,0,41.26984126984127,31.25,1.4093014750236064,1.5154268588072477,0.929924155206056,1.1899997876494917,50,46,session_level_clear_state,negative_candidate_state
VALIDATION,ALL_3_CLEARED,OTHER,916,898,473,425,16,2,52.67260579064588,47.92576419213974,1.755769700646281,1.6157812789157193,1.330886199972325,1.1446430356513146,111,157,session_level_clear_state,negative_candidate_state
VALIDATION,INCOMPLETE,OTHER,21,21,9,12,0,0,42.857142857142854,38.095238095238095,1.2312687362659556,1.3704637714788614,1.093249617441522,1.4666746404329674,8,20,session_level_clear_state,negative_candidate_state
VALIDATION,NONE_CLEARED,NEGATIVE_CANDIDATE,67,65,23,42,0,2,35.38461538461539,37.3134328358209,1.0336212495591128,1.303658401662866,0.8636456004877096,1.028917875246846,44,45,session_level_clear_state,negative_candidate_state
VALIDATION,NONE_CLEARED,OTHER,1251,1220,604,616,16,15,49.50819672131148,48.361310951239005,1.690718681595331,1.552649542791432,1.1719098119597164,1.102760480041998,112,158,session_level_clear_state,negative_candidate_state
VALIDATION,ONE_OF_3_CLEARED,NEGATIVE_CANDIDATE,33,33,15,18,0,0,45.45454545454545,27.272727272727273,1.068396770119278,1.565821821809587,0.8820533713587372,1.1276319728569957,31,27,session_level_clear_state,negative_candidate_state
VALIDATION,ONE_OF_3_CLEARED,OTHER,693,676,320,356,12,5,47.337278106508876,46.897546897546896,1.6360357823985974,1.5775432158550713,1.163055872291905,1.0914259607086538,112,158,session_level_clear_state,negative_candidate_state
VALIDATION,TWO_OF_3_CLEARED,NEGATIVE_CANDIDATE,63,63,21,42,0,0,33.333333333333336,46.03174603174603,1.0413458590692932,1.4473158430575273,0.6586061142239278,1.133440214757101,49,42,session_level_clear_state,negative_candidate_state
VALIDATION,TWO_OF_3_CLEARED,OTHER,1026,1001,507,494,22,3,50.64935064935065,48.635477582846,1.715636396762155,1.502333886956641,1.1524287274090943,1.1296816402618826,112,158,session_level_clear_state,negative_candidate_state
DISCOVERY,ALL_3_CLEARED,LOW_C2_RVOL_MARKET_OPPOSING,22,21,15,6,0,1,71.42857142857143,40.90909090909091,1.3702797219119778,0.7107966098668732,1.1142099899363707,0.5313345529215748,18,18,session_level_clear_state,low_c2_rvol_market_opposition_state
DISCOVERY,ALL_3_CLEARED,OTHER,884,865,471,394,9,10,54.45086705202312,45.248868778280546,1.4121989229820964,1.3471142310158295,1.0521561036547173,0.9784219295286789,111,150,session_level_clear_state,low_c2_rvol_market_opposition_state
DISCOVERY,INCOMPLETE,LOW_C2_RVOL_MARKET_OPPOSING,11,10,2,8,0,1,20.0,45.45454545454545,0.5050505832540995,1.2978911065379208,0.41950000293355844,1.3570678416578235,9,11,session_level_clear_state,low_c2_rvol_market_opposition_state
DISCOVERY,INCOMPLETE,OTHER,112,110,48,62,0,2,43.63636363636363,34.82142857142857,0.890093906052555,1.1930700018662368,0.5381319527756946,0.9304641647573231,56,62,session_level_clear_state,low_c2_rvol_market_opposition_state
DISCOVERY,NONE_CLEARED,LOW_C2_RVOL_MARKET_OPPOSING,151,148,84,64,0,3,56.75675675675676,50.99337748344371,1.22145136865,1.0970894151630648,0.92185045192673,0.6153002037937065,78,80,session_level_clear_state,low_c2_rvol_market_opposition_state
DISCOVERY,NONE_CLEARED,OTHER,1003,974,470,504,1,28,48.25462012320329,47.45762711864407,1.255755655682006,1.2260105811570228,0.8637892777896979,0.853032830746948,111,156,session_level_clear_state,low_c2_rvol_market_opposition_state
DISCOVERY,ONE_OF_3_CLEARED,LOW_C2_RVOL_MARKET_OPPOSING,97,95,45,50,0,2,47.36842105263158,45.36082474226804,1.1697333425706637,1.360336524753518,0.8837209302325608,0.715287607772496,63,65,session_level_clear_state,low_c2_rvol_market_opposition_state
