research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,level_family
VALIDATION,C1_BREAK_HELD_THROUGH_C2,459,449,235,214,7,3,52.338530066815146,50.108932461873636,1.8817681385255842,1.657544270451394,1.3800158304163197,1.1659192825112081,108,141,BEAR,PM
VALIDATION,C2_BREAK,376,370,168,202,6,0,45.4054054054054,43.88297872340426,1.4409027414037465,1.6852012815234438,1.012739652368953,1.3604039300980422,107,130,BEAR,PM
VALIDATION,C2_CLOSED_BEYOND,9,9,7,2,0,0,77.77777777777777,66.66666666666667,2.021617173261424,2.726250275061588,1.6434765073603645,1.8463987266215625,9,9,BEAR,PM
VALIDATION,FAILED_BREAK,147,147,68,79,0,0,46.25850340136054,49.65986394557823,1.5973231470654272,1.5237059703497566,1.114388725008205,1.102760480041998,83,91,BEAR,PM
VALIDATION,NOT_CLEARED,871,851,438,413,8,12,51.468860164512336,48.56486796785304,1.609991541546191,1.4534681445350142,1.1697869940100507,1.0232920287694673,112,158,BEAR,PM
VALIDATION,UNKNOWN,12,12,5,7,0,0,41.666666666666664,33.333333333333336,1.4296918708541948,1.2404398981286324,1.0323841548037924,1.2302914721882665,7,12,BEAR,PM
VALIDATION,ALREADY_BEYOND_AT_C1_OPEN,180,176,91,85,3,1,51.70454545454545,45.0,1.4626888545131582,1.3415129652840756,1.1560527464091321,0.9895546375965378,78,93,BULL,PM
VALIDATION,C1_BREAK_HELD_THROUGH_C2,502,496,263,233,6,0,53.024193548387096,46.81274900398407,1.8797110779783734,1.4938581285324473,1.291463525401046,1.0212785864772909,108,148,BULL,PM
VALIDATION,C2_BREAK,335,327,144,183,7,1,44.03669724770642,42.985074626865675,1.5854711816639988,1.547980001891186,1.156571428571429,1.1917960088691788,100,137,BULL,PM
VALIDATION,C2_CLOSED_BEYOND,1,1,1,0,0,0,100.0,100.0,1.156632136459228,2.3215398395513698,1.156632136459228,2.3215398395513698,1,1,BULL,PM
VALIDATION,FAILED_BREAK,132,128,69,59,3,1,53.90625,53.78787878787879,1.9291561420423637,1.271426605393011,1.3051961378656958,0.9259857351281007,77,88,BULL,PM
VALIDATION,NOT_CLEARED,959,926,432,494,24,9,46.652267818574515,47.65380604796663,1.673372744077193,1.6545278619027395,1.1378002528444988,1.1948805119488124,112,156,BULL,PM
VALIDATION,UNKNOWN,9,9,4,5,0,0,44.44444444444444,44.44444444444444,0.9667045568149693,1.5438289359458335,1.093249617441522,1.6380952380952372,3,9,BULL,PM
DISCOVERY,ALREADY_BEYOND_AT_C1_OPEN,1457,1423,746,677,8,26,52.42445537596627,44.680851063829785,1.3437779999667194,1.3232324507055162,0.9789156626506038,0.9464570900226941,112,156,ALL,AH
DISCOVERY,C1_BREAK_HELD_THROUGH_C2,663,652,342,310,3,8,52.45398773006135,48.114630467571644,1.3180808203265317,1.1254964612723808,0.9007053716766139,0.8121862638506483,111,148,ALL,AH
DISCOVERY,C2_BREAK,433,425,208,217,1,7,48.94117647058823,44.1108545034642,1.1591988495349685,1.2081000849039234,0.8834665544804369,0.9005278956629796,108,142,ALL,AH
DISCOVERY,C2_CLOSED_BEYOND,3,3,2,1,0,0,66.66666666666667,33.333333333333336,0.9842545582757424,0.7831117485896678,0.771012062543434,0.9282764004902324,3,3,ALL,AH
DISCOVERY,FAILED_BREAK,171,169,77,92,1,1,45.562130177514796,52.63157894736842,1.163402444989278,1.1724135041008388,0.864187742805034,0.8784313725490208,87,94,ALL,AH
DISCOVERY,NOT_CLEARED,1400,1362,688,674,1,37,50.51395007342144,47.42857142857143,1.292547803404392,1.2342272488261385,0.8821521176400619,0.8374271428754165,112,157,ALL,AH
DISCOVERY,UNKNOWN,46,44,17,27,0,2,38.63636363636363,32.608695652173914,0.7775615037668473,1.2779058865812576,0.3574736029350609,1.1117020747011002,43,5,ALL,AH
VALIDATION,ALREADY_BEYOND_AT_C1_OPEN,1517,1483,761,722,26,8,51.31490222521915,48.384970336189845,1.7584246895276199,1.5357551315086817,1.2684211417636257,1.0825366696758543,112,159,ALL,AH
VALIDATION,C1_BREAK_HELD_THROUGH_C2,507,501,254,247,6,0,50.69860279441118,48.323471400394475,1.540226046424759,1.498443467875165,1.1517034347055979,1.141360501718048,108,144,ALL,AH
VALIDATION,C2_BREAK,465,452,211,241,12,1,46.68141592920354,44.946236559139784,1.5118192387143075,1.621891770296039,1.0987222267437127,1.2643678160919474,108,143,ALL,AH
VALIDATION,C2_CLOSED_BEYOND,6,6,5,1,0,0,83.33333333333333,33.333333333333336,1.4586769491651108,3.177887372941621,1.0636246101725368,1.357834010982924,6,6,ALL,AH
VALIDATION,FAILED_BREAK,191,189,90,99,2,0,47.61904761904762,45.026178010471206,1.5812765184267374,1.5444076299945129,1.02305022489923,1.1761127446010453,89,110,ALL,AH
VALIDATION,NOT_CLEARED,1448,1409,677,732,21,18,48.04826117814053,47.168508287292816,1.6860218360493144,1.5575533204190555,1.1569523015701133,1.0933464815027547,112,159,ALL,AH
DISCOVERY,ALREADY_BEYOND_AT_C1_OPEN,606,591,288,303,6,9,48.73096446700507,41.08910891089109,1.3304591405837247,1.4250902977530637,0.980980406348505,1.0417037271261833,112,135,BEAR,AH
DISCOVERY,C1_BREAK_HELD_THROUGH_C2,339,331,168,163,3,5,50.755287009063444,46.017699115044245,1.34840888278995,1.1582136637349327,0.9029454369869649,0.8244023083264554,101,121,BEAR,AH
DISCOVERY,C2_BREAK,214,210,103,107,1,3,49.04761904761905,46.26168224299065,1.0948205049914927,1.1980744505112342,0.8568560543564582,0.9653866098720834,87,97,BEAR,AH
DISCOVERY,FAILED_BREAK,94,94,43,51,0,0,45.744680851063826,56.38297872340426,1.304129713524908,1.1556381532786661,0.9318907051957903,0.8387661272627944,60,63,BEAR,AH
DISCOVERY,NOT_CLEARED,846,825,423,402,1,20,51.27272727272727,47.75413711583924,1.3515311734307347,1.2173873922690488,0.9369555382031405,0.8390290297403598,112,150,BEAR,AH
DISCOVERY,UNKNOWN,22,21,2,19,0,1,9.523809523809524,18.181818181818183,0.3118820621855616,1.8254423884356479,0.12988372909678808,1.5061465426092298,21,5,BEAR,AH
DISCOVERY,ALREADY_BEYOND_AT_C1_OPEN,851,832,458,374,2,17,55.04807692307692,47.2385428907168,1.3532624051207676,1.2506991307163107,0.9749547550937101,0.8914813999559787,110,143,BULL,AH
DISCOVERY,C1_BREAK_HELD_THROUGH_C2,324,321,174,147,0,3,54.205607476635514,50.30864197530864,1.2863486808972144,1.0912645735106363,0.8895263000589757,0.788827909053974,106,126,BULL,AH
DISCOVERY,C2_BREAK,219,215,105,110,0,4,48.83720930232558,42.009132420091326,1.2221073688605568,1.2178968235342225,0.9181799632728073,0.8128137700215069,95,118,BULL,AH
DISCOVERY,C2_CLOSED_BEYOND,3,3,2,1,0,0,66.66666666666667,33.333333333333336,0.9842545582757424,0.7831117485896678,0.771012062543434,0.9282764004902324,3,3,BULL,AH
DISCOVERY,FAILED_BREAK,77,75,34,41,1,1,45.333333333333336,48.05194805194805,0.9916055197639636,1.1928925038058293,0.7135967051427956,1.022764764104251,54,59,BULL,AH
DISCOVERY,NOT_CLEARED,554,537,265,272,0,17,49.34823091247672,46.931407942238266,1.2024757257107352,1.2599429864566398,0.8304350418061472,0.8321800276943004,111,140,BULL,AH
DISCOVERY,UNKNOWN,24,23,15,8,0,1,65.21739130434783,45.833333333333336,1.204434325216359,0.7759974265480669,0.7637004993357916,0.4808892971304829,22,4,BULL,AH
VALIDATION,ALREADY_BEYOND_AT_C1_OPEN,695,679,359,320,12,4,52.87187039764359,47.76978417266187,1.7056608191167797,1.5674895629003096,1.2995245641838424,1.113818996179677,112,145,BEAR,AH
VALIDATION,C1_BREAK_HELD_THROUGH_C2,244,242,126,116,2,0,52.06611570247934,50.40983606557377,1.4838545212441936,1.5768308226437555,1.0930790468777807,1.2916652013363794,97,114,BEAR,AH
VALIDATION,C2_BREAK,239,235,107,128,4,0,45.53191489361702,48.11715481171548,1.4977307770752672,1.6977636318439966,1.0179372197309462,1.3663449163449228,98,112,BEAR,AH
