research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,PM,1425,1392,705,687,2,31,50.64655172413793,46.59649122807018,1.2978958262837181,1.2090997975631423,0.9089738164020194,0.8391406911206097,111,158,nearest_ahead_level
VALIDATION,AH,744,732,329,403,8,4,44.94535519125683,46.10215053763441,1.5151674592387199,1.529148036052926,1.0343825829779865,1.0992068833465014,112,157,nearest_ahead_level
VALIDATION,NONE_AHEAD,986,967,501,466,17,2,51.80972078593589,46.85598377281947,1.7267299177046433,1.6093320511248528,1.2723564716983748,1.1587064950483377,111,158,nearest_ahead_level
VALIDATION,PD,904,886,436,450,13,5,49.20993227990971,46.902654867256636,1.6413131962209127,1.494700857526196,1.1152919676098014,1.1196852425453288,112,154,nearest_ahead_level
VALIDATION,PM,1500,1455,732,723,29,16,50.30927835051546,48.666666666666664,1.7266459219684795,1.558213545997512,1.2067944388271534,1.1055537628753673,112,159,nearest_ahead_level
DISCOVERY,MULTIPLE_C2_LEVEL_BREAKS,286,280,135,145,1,5,48.214285714285715,40.20979020979021,1.1308962469433985,1.2731010673681893,0.8810965455508544,0.9365659602917245,95,125,c2_break_count_state
DISCOVERY,NO_C2_LEVEL_BREAK,2972,2899,1477,1422,10,63,50.948602966540186,46.16419919246299,1.2879289004546974,1.2464215069944142,0.9037050418313549,0.88220490008625,112,158,c2_break_count_state
DISCOVERY,ONE_C2_LEVEL_BREAK,915,899,468,431,3,13,52.05784204671858,48.52459016393443,1.344014807220642,1.222211377919746,0.9569027417534873,0.8739855524837152,111,157,c2_break_count_state
VALIDATION,MULTIPLE_C2_LEVEL_BREAKS,304,292,132,160,12,0,45.205479452054796,42.10526315789474,1.4636333108806836,1.7316637678669786,1.0154109551965274,1.3247730157629436,99,134,c2_break_count_state
VALIDATION,NO_C2_LEVEL_BREAK,3016,2942,1484,1458,49,25,50.4418762746431,47.97745358090186,1.713447923449168,1.5410247890538584,1.2006502923930102,1.0785068694670792,112,159,c2_break_count_state
VALIDATION,ONE_C2_LEVEL_BREAK,814,806,382,424,6,2,47.39454094292804,47.174447174447174,1.5858142963592035,1.5219421206565509,1.169215424582665,1.1858983142769361,112,157,c2_break_count_state
