sensitivity,period_type,period,feature,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
BASE,validation_subperiod,VALIDATION_NEWER,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING,159,150,80,70,8,1,53.333333333333336,47.79874213836478,1.9520274800538802,1.6349956034254585,1.3044214806030845,1.1761127446010453,48,70
BASE,validation_subperiod,VALIDATION_NEWER,c2_vs_c1_volume_state,C2_VOLUME_DECELERATING,2005,1960,960,1000,26,19,48.97959183673469,49.12718204488778,1.725344537910491,1.618779580491873,1.1899515204936075,1.1164219031500793,112,81
BASE,validation_subperiod,VALIDATION_NEWER,low_c2_rvol_market_opposition_state,LOW_C2_RVOL_MARKET_OPPOSING,188,185,111,74,1,2,60.0,55.851063829787236,1.6817076870327177,1.3852534192069998,1.284319059375521,1.0025311044224436,90,66
BASE,validation_subperiod,VALIDATION_NEWER,positive_candidate_participation_state,POSITIVE_BOTH_ABOVE,123,118,56,62,4,1,47.45762711864407,47.15447154471545,2.269071619336202,2.2115874010668963,1.7613365155131253,1.4018910569515888,64,54
BASE,validation_subperiod,VALIDATION_NEWER,positive_candidate_participation_state,POSITIVE_BOTH_BELOW,125,123,74,49,2,0,60.16260162601626,56.8,1.928111108103184,1.7236988047660433,1.4119841380590108,1.2253018040421302,64,50
BASE,validation_subperiod,VALIDATION_NEWER,positive_candidate_participation_state,POSITIVE_MIXED,130,129,72,57,1,0,55.81395348837209,50.76923076923077,2.2790282514493874,1.4929526046372688,1.6907904128051578,1.0583333506980912,72,56
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING,278,272,141,131,2,4,51.838235294117645,48.56115107913669,1.3467689447784847,1.2555453123895846,0.9310823744345913,0.948164958822918,60,134
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,c2_vs_c1_volume_state,C2_VOLUME_DECELERATING,3856,3793,1927,1866,12,51,50.804112839441075,46.058091286307054,1.3023788291301976,1.2533133023630885,0.9329998224360563,0.9003882228936331,109,161
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,low_c2_rvol_market_opposition_state,LOW_C2_RVOL_MARKET_OPPOSING,372,364,189,175,0,8,51.92307692307692,46.505376344086024,1.1962263930392663,1.1724088162973372,0.9199522486211226,0.7227105577305639,102,121
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,positive_candidate_participation_state,POSITIVE_BOTH_ABOVE,355,347,170,177,7,1,48.99135446685879,47.04225352112676,1.4132440729462556,1.536464860205597,0.9830056647784129,1.1416434355502336,102,118
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,positive_candidate_participation_state,POSITIVE_BOTH_BELOW,241,236,116,120,0,5,49.152542372881356,48.13278008298755,1.2713247858417271,1.370087228787203,0.8912655971479418,0.864680636202982,87,110
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,positive_candidate_participation_state,POSITIVE_MIXED,229,226,122,104,1,2,53.982300884955755,48.90829694323144,1.3998074080021181,1.1313149124333268,1.0051762252400116,0.8390022675737064,92,107
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING,342,328,182,146,13,1,55.48780487804878,47.36842105263158,1.785039687258177,1.5772416571873542,1.3066728225974213,1.1859610540129637,65,143
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,c2_vs_c1_volume_state,C2_VOLUME_DECELERATING,3652,3585,1752,1833,56,11,48.87029288702929,47.070098576122675,1.6889747342527381,1.571163961427658,1.1863306810414738,1.1354088887021896,109,161
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,low_c2_rvol_market_opposition_state,LOW_C2_RVOL_MARKET_OPPOSING,357,352,208,144,3,2,59.09090909090909,55.46218487394958,1.6025191861286723,1.37986363933762,1.2290062981105678,1.0240388787642167,103,129
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,positive_candidate_participation_state,POSITIVE_BOTH_ABOVE,257,245,122,123,11,1,49.795918367346935,50.97276264591439,2.290215486199271,1.891800662728717,1.791326209930862,1.3552542372881324,86,113
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,positive_candidate_participation_state,POSITIVE_BOTH_BELOW,237,233,134,99,3,1,57.51072961373391,56.962025316455694,1.8325253216507955,1.6081000064644915,1.3244452241031535,1.1811023622047139,88,102
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,positive_candidate_participation_state,POSITIVE_MIXED,221,216,127,89,5,0,58.7962962962963,48.41628959276018,2.057824229779335,1.3741759145625478,1.5813253012048258,1.020877631464423,87,104
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING,184,179,102,77,5,0,56.98324022346369,46.73913043478261,1.6387275809181623,1.5317018146129584,1.3421392236659755,1.2243862931449876,47,74
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,c2_vs_c1_volume_state,C2_VOLUME_DECELERATING,1755,1723,835,888,30,2,48.46198491004063,45.24216524216524,1.6041071844898087,1.5001515144491748,1.1541798351614372,1.1378848728246314,109,80
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,low_c2_rvol_market_opposition_state,LOW_C2_RVOL_MARKET_OPPOSING,176,173,100,73,2,1,57.80346820809248,54.54545454545455,1.4828276168335726,1.3572149107733749,1.1994521696943499,1.0320438877933376,82,63
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,positive_candidate_participation_state,POSITIVE_BOTH_ABOVE,136,129,66,63,7,0,51.16279069767442,53.6764705882353,2.3105380743104185,1.6154396238963666,1.8360956555219639,1.347018220335345,64,59
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,positive_candidate_participation_state,POSITIVE_BOTH_BELOW,120,118,66,52,1,1,55.932203389830505,55.833333333333336,1.7243936190649003,1.5188811095053305,1.2883721508506305,1.1267588741089334,74,54
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,positive_candidate_participation_state,POSITIVE_MIXED,97,93,58,35,4,0,62.365591397849464,46.391752577319586,1.7996132533132596,1.2541834370048217,1.4055207125888738,0.9826715382656384,61,48
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING,158,149,80,69,8,1,53.691275167785236,48.10126582278481,1.95542846932503,1.6302753979069036,1.303575504569535,1.1697777067552453,47,69
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,c2_vs_c1_volume_state,C2_VOLUME_DECELERATING,1897,1862,917,945,26,9,49.24812030075188,48.761201897733265,1.7674895206702086,1.6368607692543515,1.2260457449000595,1.1347087378640803,109,81
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,low_c2_rvol_market_opposition_state,LOW_C2_RVOL_MARKET_OPPOSING,181,179,108,71,1,1,60.33519553072626,56.353591160220994,1.7189043584819181,1.4018867124166652,1.3154172560113049,1.020877631464423,87,66
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,positive_candidate_participation_state,POSITIVE_BOTH_ABOVE,121,116,56,60,4,1,48.275862068965516,47.93388429752066,2.267373568983437,2.202421334474168,1.7613365155131253,1.3707192927624205,63,54
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,positive_candidate_participation_state,POSITIVE_BOTH_BELOW,117,115,68,47,2,0,59.130434782608695,58.11965811965812,1.943429631995304,1.6996065674482461,1.4119841380590108,1.1982623351786332,63,48
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,positive_candidate_participation_state,POSITIVE_MIXED,124,123,69,54,1,0,56.09756097560975,50.0,2.2598118484665077,1.468040997813349,1.6561895750097844,1.0420169783997002,71,56
