artifact,rows,columns,family,matched_columns
data\second1m_alt_entry_research_v1\ae2_candidate_models_v1\ae2_candidate_model_events_v1.parquet,8307,25,SESSION_LEVELS,session_level_clear_state
data\second1m_alt_entry_research_v1\ae2_candidate_models_v1\ae2_candidate_model_events_v1.parquet,8307,25,CALENDAR_TIME,trade_date
data\second1m_alt_entry_research_v1\ae2_candidate_models_v1\ae2_candidate_model_events_v1.parquet,8307,25,EXHAUSTION,exhaustion_state | n2_h4a_one_exhaustion_none_cleared
data\second1m_alt_entry_research_v1\ae2_candidate_models_v1\ae2_candidate_model_events_v1.parquet,8307,25,GEOMETRY_TIMING,n2_h4a_one_exhaustion_none_cleared | n2_h2a_none_cleared_relative_aligned
data\second1m_alt_entry_research_v1\ae2_daily_trend_v1\ae2_daily_trend_features_v1.parquet,8307,174,CANDLE_MORPHOLOGY,c1_open | c1_high | c1_low | c1_close | c1_volume | c1_vwap | c2_open | c2_high | c2_low | c2_close | c2_volume | c2_vwap | c1_direction_aligned | c1_vwap_close_ok | c2_direction_aligned | c2_vwap_close_ok | c2_no_touch_ok | c2_vwap_touch_or_cross | c1_body_to_range_pct | c2_body_to_range_pct | c1_favorable_clv_pct | c2_favorable_clv_pct | c1_favorable_wick_pct | c2_favorable_wick_pct | c1_adverse_wick_pct | c2_adverse_wick_pct | c1_favorable_body_return_pct | c2_favorable_body_return_pct | c1_favorable_vwap_distance_pct | c2_favorable_vwap_distance_pct | c2_vwap_penetration_pct | c1_to_c2_close_progress_pct | c2_to_c1_volume_ratio | c1_range_pct | c2_range_pct | clv_change_pp | c1_body_to_range_pct__bucket | c2_body_to_range_pct__bucket | c1_favorable_clv_pct__bucket | c2_favorable_clv_pct__bucket | c1_favorable_wick_pct__bucket | c2_favorable_wick_pct__bucket | c1_adverse_wick_pct__bucket | c2_adverse_wick_pct__bucket | c1_favorable_body_return_pct__bucket | c2_favorable_body_return_pct__bucket | c1_favorable_vwap_distance_pct__bucket | c2_favorable_vwap_distance_pct__bucket | c2_vwap_penetration_pct__bucket | c1_to_c2_close_progress_pct__bucket | c2_to_c1_volume_ratio__bucket | c1_range_pct__bucket | c2_range_pct__bucket | clv_change_pp__bucket
data\second1m_alt_entry_research_v1\ae2_daily_trend_v1\ae2_daily_trend_features_v1.parquet,8307,174,VWAP_MA_CONTEXT,c1_vwap | c2_vwap | c3_vwap | c1_vwap_close_ok | c2_vwap_close_ok | c2_vwap_touch_or_cross | c1_favorable_vwap_distance_pct | c2_favorable_vwap_distance_pct | c2_vwap_penetration_pct | vwap_distance_change_pp | c1_favorable_vwap_distance_pct__bucket | c2_favorable_vwap_distance_pct__bucket | c2_vwap_penetration_pct__bucket | vwap_distance_change_pp__bucket | ema9 | ema20 | sma50 | price_vs_ema9_ok | price_vs_ema20_ok | price_vs_sma50_ok | ema9_vs_ema20_ok | ema9_vs_sma50_ok | ema20_vs_sma50_ok | price_ema9_distance_pct | price_ema20_distance_pct | price_sma50_distance_pct | ema9_ema20_distance_pct | ema9_sma50_distance_pct | ema20_sma50_distance_pct | ema9_slope_1bar_pct | ema20_slope_1bar_pct | sma50_slope_1bar_pct | price_ema9_cross_state | price_ema20_cross_state | price_sma50_cross_state | ema9_ema20_cross_state | rth_ema9 | rth_ema20 | rth_sma50 | rth_price_vs_ema9_ok | rth_price_vs_ema20_ok | ema9_daily | ema20_daily | sma20 | ema9_slope_1d_pct | ema20_slope_1d_pct | close_vs_ema9_pct | close_vs_ema20_pct | ema9_vs_ema20_pct | prior_ema9 | prior_ema20 | prior_sma20 | prior_ema9_slope_1d_pct | prior_ema20_slope_1d_pct | prior_close_vs_ema9_pct | prior_close_vs_ema20_pct | prior_ema9_vs_ema20_pct | directional_prior_close_vs_ema9_pct | directional_prior_close_vs_ema20_pct | directional_prior_ema9_vs_ema20_pct | directional_prior_ema9_slope_1d_pct | directional_prior_ema20_slope_1d_pct | directional_prior_close_vs_ema9_pct__state | directional_prior_close_vs_ema20_pct__state | directional_prior_ema9_vs_ema20_pct__state | directional_prior_ema9_slope_1d_pct__state | directional_prior_ema20_slope_1d_pct__state
data\second1m_alt_entry_research_v1\ae2_daily_trend_v1\ae2_daily_trend_features_v1.parquet,8307,174,DAILY_WEEKLY_TREND,ema9_daily | ema20_daily | prior_ret_1d_pct | prior_ret_3d_pct | prior_ret_5d_pct | prior_ret_10d_pct | prior_ret_20d_pct | directional_prior_ret_1d_pct | directional_prior_ret_3d_pct | directional_prior_ret_5d_pct | directional_prior_ret_10d_pct | directional_prior_ret_20d_pct | directional_prior_ret_1d_pct__state | directional_prior_ret_3d_pct__state | directional_prior_ret_5d_pct__state | directional_prior_ret_10d_pct__state | directional_prior_ret_20d_pct__state | daily_trend_score | daily_trend_state
data\second1m_alt_entry_research_v1\ae2_daily_trend_v1\ae2_daily_trend_features_v1.parquet,8307,174,VOLUME_PARTICIPATION,c1_volume | c2_volume | c3_volume | c2_to_c1_volume_ratio | c2_to_c1_volume_ratio__bucket | volume
data\second1m_alt_entry_research_v1\ae2_daily_trend_v1\ae2_daily_trend_features_v1.parquet,8307,174,PREMARKET_GAP,gap_from_prior_close_pct | directional_gap_from_prior_close_pct | directional_gap_from_prior_close_pct__state
data\second1m_alt_entry_research_v1\ae2_daily_trend_v1\ae2_daily_trend_features_v1.parquet,8307,174,CALENDAR_TIME,trade_date
data\second1m_alt_entry_research_v1\ae2_daily_trend_v1\ae2_daily_trend_features_v1.parquet,8307,174,POST_SIGNAL_PATH,c3_open | c3_high | c3_low | c3_close | c3_volume | c3_vwap | c3_directional_confirmation | c3_confirmed
data\second1m_alt_entry_research_v1\ae2_daily_trend_v1\ae2_daily_trend_features_v1.parquet,8307,174,GEOMETRY_TIMING,c2_vwap_penetration_pct | c2_vwap_penetration_pct__bucket
data\second1m_alt_entry_research_v1\ae2_interactions_v1\ae2_interaction_events_v1.parquet,8307,21,CANDLE_MORPHOLOGY,c2_break_count_state
data\second1m_alt_entry_research_v1\ae2_interactions_v1\ae2_interaction_events_v1.parquet,8307,21,MARKET_REGIME,directional_stock_vs_market_avg_5d_pct__state | market_3idx_prior_5d_state | market_prior_5d_consensus | premarket_rvol_20d_discovery_state
data\second1m_alt_entry_research_v1\ae2_interactions_v1\ae2_interaction_events_v1.parquet,8307,21,RELATIVE_STRENGTH,directional_stock_vs_market_avg_5d_pct__state | relative_multi_horizon_state
data\second1m_alt_entry_research_v1\ae2_interactions_v1\ae2_interaction_events_v1.parquet,8307,21,VOLUME_PARTICIPATION,premarket_rvol_20d_discovery_state
data\second1m_alt_entry_research_v1\ae2_interactions_v1\ae2_interaction_events_v1.parquet,8307,21,PREMARKET_GAP,premarket_rvol_20d_discovery_state
