model_id,symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
M2_POSITIVE_ONLY,SPY,1,0,0,0,0,1,,0.24271447829764528,0.4617966222111201,0.24271447829764528,0.4617966222111201,1,1
M2_POSITIVE_ONLY,T,2,2,0,2,0,0,0.0,0.5910615295585295,3.366153750837091,0.5910615295585295,3.366153750837091,1,2
M2_POSITIVE_ONLY,TEAM,4,4,3,1,0,0,75.0,4.5090744999713985,1.9381824324157926,4.577574494278413,2.233654513045781,1,4
M2_POSITIVE_ONLY,TGT,1,1,0,1,0,0,0.0,0.5427068548050359,1.536277865909663,0.5427068548050359,1.536277865909663,1,1
M2_POSITIVE_ONLY,TMO,5,5,4,1,0,0,80.0,2.37439406160048,0.6881739589556222,2.5795997892581335,0.3677601060304966,1,5
M2_POSITIVE_ONLY,TMUS,1,1,0,1,0,0,0.0,0.8234318872616638,1.9148936170212787,0.8234318872616638,1.9148936170212787,1,1
M2_POSITIVE_ONLY,TQQQ,1,1,1,0,0,0,100.0,0.686250084931951,3.9637736960115815,0.686250084931951,3.9637736960115815,1,1
M2_POSITIVE_ONLY,TSLA,3,3,1,2,0,0,33.333333333333336,1.2925242285943424,1.2884984652030635,0.9541106370274489,1.2874895819079752,1,3
M2_POSITIVE_ONLY,TXN,2,2,2,0,0,0,100.0,2.605874395080218,0.6146971017448863,2.605874395080218,0.6146971017448863,1,2
M2_POSITIVE_ONLY,UBER,4,4,2,2,0,0,50.0,1.241005189457318,1.7447811105963968,1.1561592042455313,1.730455374383088,1,4
M2_POSITIVE_ONLY,UNH,3,3,2,1,0,0,66.66666666666667,1.2296494160901745,0.9915282987200221,1.33611214206184,0.4571483107463249,1,3
M2_POSITIVE_ONLY,UPS,1,1,0,1,0,0,0.0,2.9098785196346206,0.6026932856201155,2.9098785196346206,0.6026932856201155,1,1
M2_POSITIVE_ONLY,URI,1,1,1,0,0,0,100.0,1.1729988933972517,0.428347473257099,1.1729988933972517,0.428347473257099,1,1
M2_POSITIVE_ONLY,V,6,6,3,3,0,0,50.0,1.2216464039566466,1.1271350107113618,0.8898731978461049,0.7428869718655836,1,6
M2_POSITIVE_ONLY,VRTX,2,2,2,0,0,0,100.0,1.1238585928136389,0.860773523010122,1.1238585928136389,0.860773523010122,1,2
M2_POSITIVE_ONLY,VZ,4,4,2,2,0,0,50.0,1.0450464581630745,0.5942490888529585,1.149658404647024,0.48175829799345493,1,4
M2_POSITIVE_ONLY,WMT,4,4,2,2,0,0,50.0,1.0469197851832228,1.788041456932916,1.207403634677013,1.2427908069255416,1,4
M2_POSITIVE_ONLY,XOM,7,7,6,1,0,0,85.71428571428571,1.3881244865263198,1.392517576659155,1.409722222222223,1.6062142057797366,1,7
M3_TRIAGE_PREFERRED,AAPL,1,1,0,1,0,0,0.0,0.2865859295553422,0.8042895442359291,0.2865859295553422,0.8042895442359291,1,1
M3_TRIAGE_PREFERRED,ABBV,6,6,3,3,0,0,50.0,1.0330998189583624,0.9753403190433044,1.18363291369432,0.9444122042649048,1,6
M3_TRIAGE_PREFERRED,ABNB,2,2,1,1,0,0,50.0,0.8473471900480013,1.6672070472410567,0.8473471900480013,1.6672070472410567,1,2
M3_TRIAGE_PREFERRED,ADBE,6,6,4,2,0,0,66.66666666666667,2.8199046765738323,0.9613864721813563,2.9990290316667574,0.6230175672048638,1,6
M3_TRIAGE_PREFERRED,AMAT,3,3,1,2,0,0,33.333333333333336,0.699389262527082,3.152638629751665,0.6004454547541983,3.887102140401459,1,3
