research_period,ma_stack_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
DISCOVERY,FULL_FAVORABLE,1273,1248,666,582,2,23,53.36538461538461,617,48.46818538884525,1.3434741467540223,1.2231204770185296,0.9621340380724337,0.8639787328311931,112,161,BULL
DISCOVERY,FULL_OPPOSING,102,99,49,50,1,2,49.494949494949495,46,45.09803921568628,1.0915352441580617,1.169153331080687,0.8260578697094868,0.7169878898040651,64,73,BULL
DISCOVERY,MIXED,186,183,88,95,0,3,48.08743169398907,81,43.54838709677419,1.1735076578486376,1.2441336708321917,0.8507790620838322,0.8119644396578298,88,110,BULL
DISCOVERY,MOSTLY_FAVORABLE,356,350,192,158,0,6,54.857142857142854,168,47.19101123595506,1.2523418921977496,1.2008391739162447,0.9218768668823019,0.8312260841246768,107,139,BULL
DISCOVERY,MOSTLY_OPPOSING,177,168,82,86,0,9,48.80952380952381,79,44.632768361581924,1.1126401922302784,1.192806140012866,0.7464762809729963,0.8022199798183527,85,100,BULL
DISCOVERY,UNKNOWN,6,6,4,2,0,0,66.66666666666667,3,50.0,1.0201136803746682,0.38497809743454986,1.0835396173031384,0.24609331127464673,6,1,BULL
VALIDATION,FULL_FAVORABLE,1264,1233,624,609,19,12,50.60827250608273,591,46.75632911392405,1.7389933643872102,1.562872430425337,1.2173989421943152,1.1161219792143506,112,161,BEAR
VALIDATION,FULL_OPPOSING,97,96,46,50,1,0,47.916666666666664,50,51.54639175257732,1.2963733972933025,1.4366102929858884,1.03330662596404,0.9323654390934879,61,65,BEAR
VALIDATION,MIXED,150,148,80,68,1,1,54.054054054054056,82,54.666666666666664,1.582669107507456,1.2980123107634782,1.244406891242054,0.9595040352014801,76,88,BEAR
VALIDATION,MOSTLY_FAVORABLE,341,337,165,172,2,2,48.961424332344215,165,48.38709677419355,1.5016862237326434,1.6389213780218246,1.0923788369806648,1.2113055181695904,105,139,BEAR
VALIDATION,MOSTLY_OPPOSING,180,176,84,92,3,1,47.72727272727273,85,47.22222222222222,1.3867674254705842,1.51454043448449,1.0276212555997524,1.029770574647654,83,101,BEAR
VALIDATION,FULL_FAVORABLE,1267,1239,598,641,18,10,48.264729620661825,592,46.72454617205999,1.7482581752171635,1.4850504108486169,1.2345679012345678,1.0830017055144974,112,161,BULL
VALIDATION,FULL_OPPOSING,109,106,43,63,1,2,40.56603773584906,44,40.36697247706422,1.29706560833001,1.4872702832738203,0.8808984133525695,1.1610015386767358,72,74,BULL
VALIDATION,MIXED,204,198,95,103,6,0,47.97979797979798,88,43.13725490196079,1.671019505918797,1.8260256912801924,1.0329968136187704,1.3265916473184933,91,112,BULL
VALIDATION,MOSTLY_FAVORABLE,370,361,188,173,9,0,52.0775623268698,180,48.648648648648646,1.783428587332892,1.65798939282904,1.2298735279938848,1.2028606896829128,106,137,BULL
VALIDATION,MOSTLY_OPPOSING,203,194,91,103,9,0,46.90721649484536,99,48.76847290640394,1.5463876798905651,1.5951496019204545,1.1034406276858295,1.1277842172864154,95,101,BULL
