research_period,cross_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
VALIDATION,FAVORABLE_CROSS,257,251,128,123,3,3,50.99601593625498,133,51.750972762645915,1.5435119981859444,1.447715021027548,1.207674943566584,1.0778947730487634,103,118,BEAR,price_ema20_cross_state
VALIDATION,FAVORABLE_HOLD,1577,1545,786,759,20,12,50.87378640776699,742,47.05136334812936,1.6949795860835424,1.566042457261139,1.1830565403993272,1.1215519854501503,112,160,BEAR,price_ema20_cross_state
VALIDATION,OPPOSING_HOLD,187,183,79,104,3,1,43.169398907103826,91,48.663101604278076,1.2519833121695703,1.4946839744380682,1.0021551724137803,1.0066793893129837,89,104,BEAR,price_ema20_cross_state
VALIDATION,ADVERSE_CROSS,5,5,2,3,0,0,40.0,3,60.0,1.168085659579007,1.3909239457875877,0.7200435401153558,0.8691588785046793,5,4,BULL,price_ema20_cross_state
VALIDATION,FAVORABLE_CROSS,230,216,107,109,14,0,49.53703703703704,105,45.65217391304348,1.7380825701179456,1.7323621480396518,1.1602338722782015,1.249110780676129,97,116,BULL,price_ema20_cross_state
VALIDATION,FAVORABLE_HOLD,1712,1676,815,861,26,10,48.627684964200476,801,46.78738317757009,1.7506302141478083,1.5342633097841212,1.2235761594565098,1.0977611128953724,112,161,BULL,price_ema20_cross_state
VALIDATION,OPPOSING_HOLD,206,201,91,110,3,2,45.27363184079602,94,45.63106796116505,1.3030008194195966,1.560171441025859,0.8987726541975756,1.2402715888627756,94,104,BULL,price_ema20_cross_state
DISCOVERY,ADVERSE_CROSS,15,15,8,7,0,0,53.333333333333336,5,33.333333333333336,1.182500453566434,1.2874166252078296,0.9362064296491222,0.6306997357879441,13,15,ALL,price_sma50_cross_state
DISCOVERY,FAVORABLE_CROSS,466,458,234,224,1,7,51.09170305676856,220,47.21030042918455,1.2492707501485443,1.2708198938054764,0.9203422930045901,0.9695577312511626,109,150,ALL,price_sma50_cross_state
DISCOVERY,FAVORABLE_HOLD,3184,3117,1607,1510,12,55,51.55598331729227,1473,46.26256281407035,1.336124323402542,1.254320343029311,0.9541375187256911,0.8857268657704382,112,161,ALL,price_sma50_cross_state
DISCOVERY,OPPOSING_HOLD,596,576,281,295,1,19,48.78472222222222,283,47.48322147651007,1.1155617088358836,1.1575110348207749,0.7772911648928706,0.8340269948454841,111,159,ALL,price_sma50_cross_state
DISCOVERY,UNKNOWN,11,11,4,7,0,0,36.36363636363637,4,36.36363636363637,0.6351344885550589,0.9040626161026197,0.21525946997328796,0.6981896498459819,11,1,ALL,price_sma50_cross_state
VALIDATION,ADVERSE_CROSS,5,5,3,2,0,0,60.0,3,60.0,1.4810194364812963,0.8508387785867487,1.2284716367577937,0.6112248584848767,5,5,ALL,price_sma50_cross_state
VALIDATION,FAVORABLE_CROSS,474,459,235,224,14,1,51.19825708061002,233,49.15611814345991,1.7475965848998436,1.6197977749576522,1.2185611216794356,1.1702447906615983,108,150,ALL,price_sma50_cross_state
VALIDATION,FAVORABLE_HOLD,3105,3040,1504,1536,41,24,49.473684210526315,1453,46.79549114331723,1.7098815906821039,1.5474231213071843,1.1903637222484564,1.1225567881669358,112,161,ALL,price_sma50_cross_state
VALIDATION,OPPOSING_HOLD,601,584,272,312,14,3,46.57534246575342,287,47.75374376039933,1.4127747661899845,1.5269187209693214,1.0117833201482314,1.070882202957683,112,152,ALL,price_sma50_cross_state
DISCOVERY,ADVERSE_CROSS,3,3,0,3,0,0,0.0,0,0.0,0.2561109740506678,2.1207283802897647,0.09769216623758017,2.524457897573544,3,3,BEAR,price_sma50_cross_state
DISCOVERY,FAVORABLE_CROSS,241,236,117,119,1,4,49.57627118644068,115,47.71784232365145,1.2382666266473663,1.3637174010471291,0.8809717525615894,1.0427681162680902,95,122,BEAR,price_sma50_cross_state
DISCOVERY,FAVORABLE_HOLD,1604,1567,783,784,10,27,49.968091895341416,718,44.763092269326684,1.3544089228286817,1.2786163240679616,0.9628748181981157,0.9137987680108368,112,161,BEAR,price_sma50_cross_state
DISCOVERY,OPPOSING_HOLD,319,312,153,159,0,7,49.03846153846154,157,49.21630094043887,1.1432826415743838,1.1376391967575998,0.7942916158107041,0.8449648920425614,104,139,BEAR,price_sma50_cross_state
DISCOVERY,UNKNOWN,5,5,0,5,0,0,0.0,1,20.0,0.17315945837152807,1.5269640385043035,0.13144717075612142,1.636083664827398,5,1,BEAR,price_sma50_cross_state
