research_period,market_state,stock_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,market_feature,stock_feature
VALIDATION,MIXED,NONE,247,241,102,139,0,6,42.32365145228216,112,45.34412955465587,1.2701719766611348,1.5291246120786521,0.9484176908932584,1.1471836641046234,100,17,market_daily_regime_state,aligned_exhaustion_state
VALIDATION,MIXED,ONE,88,83,34,49,5,0,40.963855421686745,39,44.31818181818182,1.8666710346142883,1.5291599221448862,1.4133130735334607,1.2304621396732898,56,17,market_daily_regime_state,aligned_exhaustion_state
VALIDATION,OPPOSING,MULTIPLE,380,374,167,207,6,0,44.6524064171123,157,41.31578947368421,2.0008521510929076,1.6845464260331462,1.5005360174819034,1.1480616461260362,99,122,market_daily_regime_state,aligned_exhaustion_state
VALIDATION,OPPOSING,NONE,1079,1047,571,476,18,14,54.5367717287488,568,52.64133456904541,1.6398152568394426,1.4477629021100944,1.2150723582415524,1.0240388787642167,112,142,market_daily_regime_state,aligned_exhaustion_state
VALIDATION,OPPOSING,ONE,320,318,181,137,2,0,56.918238993710695,162,50.625,1.9861634572254872,1.574500126466563,1.3894631064453429,1.1919628361520729,102,115,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,ALIGNED,ALIGNED,340,331,155,176,0,9,46.82779456193354,163,47.94117647058823,1.1930410766535455,1.4681099642309852,0.771800597945967,1.0503228408235765,78,58,market_weekly_regime_state,weekly_trend_state
DISCOVERY,ALIGNED,MIXED,311,298,165,133,2,11,55.369127516778526,151,48.553054662379424,1.1971482496900596,1.2531369681964781,0.8542576026045585,0.8280448578631666,95,57,market_weekly_regime_state,weekly_trend_state
DISCOVERY,ALIGNED,OPPOSING,151,146,79,67,0,5,54.10958904109589,68,45.033112582781456,1.1431476868035626,1.228059763544634,0.9176316364430731,0.7981825996193354,45,54,market_weekly_regime_state,weekly_trend_state
DISCOVERY,MIXED,ALIGNED,67,67,45,22,0,0,67.16417910447761,39,58.208955223880594,1.6973200422697905,1.0774891804315538,1.4022188242183695,0.731730697540661,49,8,market_weekly_regime_state,weekly_trend_state
DISCOVERY,MIXED,MIXED,99,99,57,42,0,0,57.57575757575758,45,45.45454545454545,1.7166850760746886,1.2493656431806421,1.3273365511189206,0.8204990248167321,55,8,market_weekly_regime_state,weekly_trend_state
DISCOVERY,MIXED,OPPOSING,55,55,40,15,0,0,72.72727272727273,26,47.27272727272727,2.018840708448262,0.9080204238362697,1.7604784642839943,0.6068543986029357,42,8,market_weekly_regime_state,weekly_trend_state
DISCOVERY,OPPOSING,ALIGNED,154,152,82,70,0,2,53.94736842105263,69,44.8051948051948,1.3533222470547057,1.2403763320106553,0.8981898188815066,0.8677986011278225,49,52,market_weekly_regime_state,weekly_trend_state
DISCOVERY,OPPOSING,MIXED,270,263,139,124,2,5,52.851711026615966,132,48.888888888888886,1.649108668578045,1.2329572583397632,1.2255169254882121,0.8463446555469678,92,57,market_weekly_regime_state,weekly_trend_state
DISCOVERY,OPPOSING,OPPOSING,339,328,178,150,1,10,54.26829268292683,172,50.73746312684366,1.6901078254327218,1.3030301224052723,1.1511453896627144,0.8960651054067017,83,58,market_weekly_regime_state,weekly_trend_state
DISCOVERY,UNKNOWN,UNKNOWN,2387,2339,1140,1199,9,39,48.73877725523728,1066,44.6585672392124,1.1768102937782128,1.2153377889220076,0.8602150537634307,0.8911767961917489,112,92,market_weekly_regime_state,weekly_trend_state
VALIDATION,ALIGNED,ALIGNED,686,673,339,334,7,6,50.37147102526003,330,48.10495626822158,1.723402025518542,1.4931146012046668,1.1361033414597759,1.0132187264139114,111,129,market_weekly_regime_state,weekly_trend_state
VALIDATION,ALIGNED,MIXED,695,677,329,348,16,2,48.59675036927622,295,42.44604316546763,1.4962642796384322,1.554472302221457,1.1392811296534053,1.1735887686458164,112,132,market_weekly_regime_state,weekly_trend_state
VALIDATION,ALIGNED,OPPOSING,367,361,171,190,6,0,47.36842105263158,176,47.956403269754766,1.750711026450283,1.3981271511900606,1.2153906977337328,1.041235172283934,87,110,market_weekly_regime_state,weekly_trend_state
VALIDATION,MIXED,ALIGNED,197,192,91,101,5,0,47.395833333333336,84,42.63959390862944,1.9581494155007122,1.5872297257895296,1.2189924132640073,1.1308547840267262,90,25,market_weekly_regime_state,weekly_trend_state
VALIDATION,MIXED,MIXED,240,233,107,126,6,1,45.92274678111588,128,53.333333333333336,1.5988579416967221,1.5346475365890155,1.086115940237653,1.1838509994254067,87,25,market_weekly_regime_state,weekly_trend_state
VALIDATION,MIXED,OPPOSING,198,193,93,100,5,0,48.18652849740933,91,45.95959595959596,1.7862011910839102,1.774753139852052,1.167770979076725,1.2327244543626665,91,24,market_weekly_regime_state,weekly_trend_state
VALIDATION,OPPOSING,ALIGNED,382,379,177,202,3,0,46.70184696569921,178,46.596858638743456,1.5524937382523554,1.8275757432238784,1.1490377388848139,1.3216695708839659,91,121,market_weekly_regime_state,weekly_trend_state
VALIDATION,OPPOSING,MIXED,680,667,328,339,8,5,49.17541229385307,328,48.23529411764706,1.6493336162668888,1.5603988244619957,1.1581714509857615,1.1250943805119658,111,132,market_weekly_regime_state,weekly_trend_state
VALIDATION,OPPOSING,OPPOSING,689,665,363,302,11,13,54.58646616541353,349,50.653120464441216,1.7433080501244909,1.4566966378477195,1.2924348983083027,1.0941593465865433,107,133,market_weekly_regime_state,weekly_trend_state
DISCOVERY,ALIGNED,ALIGNED,1020,994,494,500,0,26,49.69818913480885,435,42.64705882352941,1.3443087947737409,1.2319906620181706,0.9187952944877807,0.8827749165990846,112,121,market_daily_regime_state,trend_5d_binary_state
DISCOVERY,ALIGNED,FLAT,1,1,1,0,0,0,100.0,0,0.0,1.375475563359669,0.8892512228772145,1.375475563359669,0.8892512228772145,1,1,market_daily_regime_state,trend_5d_binary_state
DISCOVERY,ALIGNED,OPPOSING,567,555,285,270,0,12,51.351351351351354,267,47.08994708994709,1.173866056376003,1.1731872390882174,0.8649367930805115,0.8259615854552691,107,117,market_daily_regime_state,trend_5d_binary_state
DISCOVERY,MIXED,ALIGNED,240,236,118,118,2,2,50.0,97,40.416666666666664,1.4976811936994117,1.3047805571683257,0.951137335768061,0.8745671417126575,101,17,market_daily_regime_state,trend_5d_binary_state
DISCOVERY,MIXED,OPPOSING,209,207,109,98,2,0,52.65700483091788,97,46.411483253588514,1.4351946923382344,1.4176136501937082,1.1433077074709266,1.1275916420805967,91,17,market_daily_regime_state,trend_5d_binary_state
DISCOVERY,OPPOSING,ALIGNED,581,572,283,289,2,7,49.47552447552447,264,45.438898450946645,1.195850169415706,1.2196399292035416,0.9066681996805301,0.912358937022204,108,117,market_daily_regime_state,trend_5d_binary_state
DISCOVERY,OPPOSING,OPPOSING,1038,1005,519,486,8,25,51.64179104477612,497,47.88053949903661,1.3251141467600147,1.2766366378125698,0.9101048218164156,0.8622235736946289,112,121,market_daily_regime_state,trend_5d_binary_state
DISCOVERY,UNKNOWN,ALIGNED,188,187,89,98,0,1,47.593582887700535,88,46.808510638297875,1.2561137023965203,1.3323709376443538,0.875530643245394,0.9423623904200362,91,14,market_daily_regime_state,trend_5d_binary_state
DISCOVERY,UNKNOWN,FLAT,1,1,0,1,0,0,0.0,0,0.0,0.0,3.226036431041248,0.0,3.226036431041248,1,1,market_daily_regime_state,trend_5d_binary_state
DISCOVERY,UNKNOWN,OPPOSING,185,179,91,88,0,6,50.83798882681564,99,53.513513513513516,1.0865125918712586,1.1825376098203415,0.793790792026805,0.9144548031159192,90,14,market_daily_regime_state,trend_5d_binary_state
DISCOVERY,UNKNOWN,UNKNOWN,143,141,91,50,0,2,64.53900709219859,87,60.83916083916084,1.230568193605538,1.0378230612189279,0.9549312853678329,0.7626422621142857,83,6,market_daily_regime_state,trend_5d_binary_state
VALIDATION,ALIGNED,ALIGNED,1146,1119,524,595,20,7,46.82752457551385,518,45.20069808027923,1.6344430293627072,1.6223939144870312,1.1145192032684288,1.1597001057832084,112,141,market_daily_regime_state,trend_5d_binary_state
VALIDATION,ALIGNED,OPPOSING,744,733,346,387,11,0,47.203274215552526,338,45.43010752688172,1.4921837580091357,1.4885520749706502,1.0691984675058626,1.071559386000879,111,140,market_daily_regime_state,trend_5d_binary_state
VALIDATION,MIXED,ALIGNED,229,216,96,120,8,5,44.44444444444444,100,43.66812227074236,1.645072199862174,1.589720629927635,1.134476647642437,1.3102995967235516,91,17,market_daily_regime_state,trend_5d_binary_state
VALIDATION,MIXED,OPPOSING,236,233,113,120,2,1,48.497854077253216,116,49.152542372881356,1.6030574306470065,1.5937346934746346,1.0873999699166363,1.1165286065717996,102,17,market_daily_regime_state,trend_5d_binary_state
VALIDATION,OPPOSING,ALIGNED,690,680,346,334,7,3,50.88235294117647,322,46.666666666666664,1.70990647682144,1.4612238473527213,1.2263038679751055,1.0100717904552092,109,140,market_daily_regime_state,trend_5d_binary_state
VALIDATION,OPPOSING,OPPOSING,1089,1059,573,486,19,11,54.107648725212464,565,51.882460973370065,1.8231600705697204,1.5590995400048762,1.315222078482103,1.1143062544931617,112,141,market_daily_regime_state,trend_5d_binary_state
