symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,pm_directional_level,ah_directional_level,pd_directional_level,ema9,ema20,c2_vwap,a47_structural_center_price,a47_center_to_ema9_abs_pct,a47_center_to_ema20_abs_pct,a47_center_to_vwap_abs_pct,a47_center_to_nearest_tech_abs_pct,a47_center_to_mean_tech_abs_pct
PFE,2026-07-01,BULL,AE2_RECLAIM,2,2026-07-01 13:31:00+00:00,24.16,24.1,24.46,24.152542139595187,24.13639892834464,24.16525430883892,24.24,0.3607997541452602,0.42739716029438274,0.3083568117206142,0.3083568117206142,0.3655179087200857
PFE,2026-07-06,BEAR,AE2_RECLAIM,2,2026-07-06 13:31:00+00:00,24.11,24.25,24.13,24.115218474575986,24.14905215391763,24.05213101431599,24.16333333333333,0.1991234325728142,0.05910268760808598,0.46021100434821777,0.05910268760808598,0.23947904150970598
PFE,2026-07-10,BEAR,AE2_RECLAIM,2,2026-07-10 13:31:00+00:00,24.25,24.22,24.01,24.311999461295706,24.325558880478226,24.26826445366187,24.16,0.6291368431113643,0.6852602668800754,0.4481144605209887,0.4481144605209887,0.5875038568374761
PFE,2026-07-14,BEAR,AE2_RECLAIM,2,2026-07-14 13:31:00+00:00,24.36,24.4501,24.23,24.391422239534393,24.433081638925678,24.35124068748659,24.3467,0.18368912228102474,0.3547981407159071,0.01865011474488342,0.01865011474488342,0.18571245924727176
PFE,2026-07-24,BULL,AE2_RECLAIM,2,2026-07-24 13:31:00+00:00,24.77,25.05,25.1,24.635544015297878,24.640838447243837,24.639844371477512,24.973333333333333,1.352600045523711,1.3313997040422945,1.3353802530265115,1.3313997040422945,1.3397933341975057
PFE,2026-08-05,BULL,AE2_RECLAIM,2,2026-08-05 13:31:00+00:00,25.57,25.42,25.64,25.55065255576723,25.523635235287582,25.59202820170762,25.543333333333333,0.028654139764698074,0.07711639584660472,0.1906363110046485,0.028654139764698074,0.0988022822053171
PFE,2026-08-12,BEAR,AE2_RECLAIM,2,2026-08-12 13:31:00+00:00,26.32,26.56,26.47,26.32624915546853,26.35576433984606,26.29087364484805,26.45,0.4678670870754939,0.35627848829466174,0.6016119287408358,0.35627848829466174,0.47525250137033054
PFE,2026-08-19,BULL,AE2_RECLAIM,2,2026-08-19 13:31:00+00:00,27.6,27.25,27.395,27.60513612651892,27.541935110454958,27.732327259187542,27.415000000000003,0.6935477896002873,0.4630133520151558,1.1574950180103576,0.4630133520151558,0.7713520532086001
PFE,2026-08-24,BEAR,AE2_RECLAIM,2,2026-08-24 13:31:00+00:00,27.83,28.0099,27.655,28.070004756453272,28.10816230044138,28.06214167087307,27.831633333333333,0.8564765864260206,0.9935779326930603,0.828224253959483,0.828224253959483,0.892759591026188
PFE,2026-08-25,BULL,AE2_RECLAIM,2,2026-08-25 13:31:00+00:00,28.09,28.0,28.1561,27.93570015439846,27.91778862197838,27.930532615347836,28.08203333333333,0.5210918212292465,0.5848747111912009,0.5394934055778089,0.5210918212292465,0.5484866459994188
PFE,2026-08-27,BEAR,AE2_RECLAIM,2,2026-08-27 13:31:00+00:00,27.9,28.23,28.145,27.925845125423645,27.934397406174817,27.917216272962758,28.091666666666665,0.5902873019626919,0.5598431106206395,0.6210040713280583,0.5598431106206395,0.5903781613037965
PLTR,2025-05-23,BULL,AE2_RECLAIM,2,2025-05-23 13:31:00+00:00,124.44,,,120.84106354324923,120.53092977356975,121.2031117638086,,,,,,
PLTR,2025-05-30,BULL,AE2_RECLAIM,2,2025-05-30 13:31:00+00:00,124.3,122.41,126.47,123.77523350690971,123.42075716547016,124.39272420438863,124.39333333333332,0.4968914409322063,0.7818555398438981,0.0004896797347300745,0.0004896797347300745,0.4264122201702781
PLTR,2025-06-03,BEAR,AE2_RECLAIM,2,2025-06-03 13:31:00+00:00,131.0,131.49,128.86,132.82348603518548,132.8228323394381,132.98733488674685,130.45000000000002,1.819460356600586,1.818959248323554,1.9450631558043951,1.818959248323554,1.8611609202428452
PLTR,2025-06-16,BULL,AE2_RECLAIM,2,2025-06-16 13:31:00+00:00,140.75,137.6,139.99,140.6374871061247,140.45695660756354,140.9312207729376,139.4466666666667,0.853961208197644,0.7244991687838986,1.0646035088236165,0.7244991687838986,0.8810212952683864
PLTR,2025-06-24,BEAR,AE2_RECLAIM,2,2025-06-24 13:31:00+00:00,140.6,139.6,135.96,140.83020193552508,141.04819777116543,140.5214288482579,138.72,1.5211951669010115,1.6783432606440563,1.2986078779252443,1.2986078779252443,1.4993821018234375
